Successfully processed folder: Facilitators of Cultural Exchange and Community Engagement(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Contrasting Approaches(country, city, relation, NA, English), testid: 2
Successfully processed folder: Contrasting Approaches(country, city, relation, NA, English), testid: 3
Successfully processed folder: Expressions of Lifestyle(country, city, relation, NA, English), testid: 0
Successfully processed folder: Expressions of Lifestyle(country, city, relation, NA, English), testid: 1
Successfully processed folder: Expressions of Lifestyle(country, city, relation, NA, English), testid: 2
Successfully processed folder: Expressions of Lifestyle(country, city, relation, NA, English), testid: 3
Successfully processed folder: Contrasting Social Dynamics(country, city, relation, NA, English), testid: 0
Successfully processed folder: Contrasting Social Dynamics(country, city, relation, NA, English), testid: 1
Successfully processed folder: Contrasting Social Dynamics(country, city, relation, NA, English), testid: 2
Successfully processed folder: Contrasting Social Dynamics(country, city, relation, NA, English), testid: 3
Successfully processed folder: Contrasting Attitudes Toward Consumption(country, city, relation, NA, English), testid: 0
Successfully processed folder: Contrasting Attitudes Toward Consumption(country, city, relation, NA, English), testid: 1
Successfully processed folder: Contrasting Attitudes Toward Consumption(country, city, relation, NA, English), testid: 2
Successfully processed folder: Contrasting Attitudes Toward Consumption(country, city, relation, NA, English), testid: 3
Successfully processed folder: Forms of Leisure Enjoyment(country, city, relation, NA, English), testid: 0
Successfully processed folder: Forms of Leisure Enjoyment(country, city, relation, NA, English), testid: 1
Successfully processed folder: Forms of Leisure Enjoyment(country, city, relation, NA, English), testid: 2
Successfully processed folder: Forms of Leisure Enjoyment(country, city, relation, NA, English), testid: 3
Successfully processed folder: Celebration of Unity in Differences(country, city, relation, NA, English), testid: 0
Successfully processed folder: Celebration of Unity in Differences(country, city, relation, NA, English), testid: 1
Successfully processed folder: Celebration of Unity in Differences(country, city, relation, NA, English), testid: 2
Successfully processed folder: Celebration of Unity in Differences(country, city, relation, NA, English), testid: 3
Successfully processed folder: Contributions to the Economy(country, city, relation, NA, English), testid: 0
Successfully processed folder: Contributions to the Economy(country, city, relation, NA, English), testid: 1
Successfully processed folder: Contributions to the Economy(country, city, relation, NA, English), testid: 2
Successfully processed folder: Contributions to the Economy(country, city, relation, NA, English), testid: 3
Successfully processed folder: Growth and Development(country, city, relation, NA, English), testid: 0
Successfully processed folder: Growth and Development(country, city, relation, NA, English), testid: 1
Successfully processed folder: Growth and Development(country, city, relation, NA, English), testid: 2
Successfully processed folder: Growth and Development(country, city, relation, NA, English), testid: 3
Successfully processed folder: Emotional States(country, city, relation, NA, English), testid: 0
Successfully processed folder: Emotional States(country, city, relation, NA, English), testid: 1
Successfully processed folder: Emotional States(country, city, relation, NA, English), testid: 2
Successfully processed folder: Emotional States(country, city, relation, NA, English), testid: 3
Successfully processed folder: Cultural Dynamics(country, city, relation, NA, English), testid: 0
Successfully processed folder: Cultural Dynamics(country, city, relation, NA, English), testid: 1
Successfully processed folder: Cultural Dynamics(country, city, relation, NA, English), testid: 2
Successfully processed folder: Cultural Dynamics(country, city, relation, NA, English), testid: 3
Successfully processed folder: Economic and Social Structures(country, city, relation, NA, English), testid: 0
Successfully processed folder: Economic and Social Structures(country, city, relation, NA, English), testid: 1
Successfully processed folder: Economic and Social Structures(country, city, relation, NA, English), testid: 2
Successfully processed folder: Economic and Social Structures(country, city, relation, NA, English), testid: 3
Successfully processed folder: Coexistence of Elements(country, city, relation, NA, English), testid: 0
Successfully processed folder: Coexistence of Elements(country, city, relation, NA, English), testid: 1
Successfully processed folder: Coexistence of Elements(country, city, relation, NA, English), testid: 2
Successfully processed folder: Coexistence of Elements(country, city, relation, NA, English), testid: 3
Successfully processed folder: Social Structures(country, city, relation, NA, English), testid: 0
Successfully processed folder: Social Structures(country, city, relation, NA, English), testid: 1
Successfully processed folder: Social Structures(country, city, relation, NA, English), testid: 2
Successfully processed folder: Social Structures(country, city, relation, NA, English), testid: 3
Successfully processed folder: Economic Systems(country, city, relation, NA, English), testid: 0
Successfully processed folder: Economic Systems(country, city, relation, NA, English), testid: 1
Successfully processed folder: Economic Systems(country, city, relation, NA, English), testid: 2
Successfully processed folder: Economic Systems(country, city, relation, NA, English), testid: 3
Successfully processed folder: Emotional Atmospheres(country, city, relation, NA, English), testid: 0
Successfully processed folder: Emotional Atmospheres(country, city, relation, NA, English), testid: 1
Successfully processed folder: Emotional Atmospheres(country, city, relation, NA, English), testid: 2
Successfully processed folder: Emotional Atmospheres(country, city, relation, NA, English), testid: 3
Successfully processed folder: Advancements in Agriculture(country, STEM, relation, NA, English), testid: 0
Successfully processed folder: Advancements in Agriculture(country, STEM, relation, NA, English), testid: 1
Successfully processed folder: Advancements in Agriculture(country, STEM, relation, NA, English), testid: 2
Successfully processed folder: Advancements in Agriculture(country, STEM, relation, NA, English), testid: 3
Successfully processed folder: Environmental Practices(country, STEM, relation, NA, English), testid: 0
Successfully processed folder: Environmental Practices(country, STEM, relation, NA, English), testid: 1
Successfully processed folder: Environmental Practices(country, STEM, relation, NA, English), testid: 2
Successfully processed folder: Environmental Practices(country, STEM, relation, NA, English), testid: 3
Successfully processed folder: Communication Infrastructure(country, STEM, relation, NA, English), testid: 0
Successfully processed folder: Communication Infrastructure(country, STEM, relation, NA, English), testid: 1
Successfully processed folder: Communication Infrastructure(country, STEM, relation, NA, English), testid: 2
Successfully processed folder: Communication Infrastructure(country, STEM, relation, NA, English), testid: 3
Successfully processed folder: Environmental Protection(country, STEM, relation, NA, English), testid: 0
Successfully processed folder: Environmental Protection(country, STEM, relation, NA, English), testid: 1
Successfully processed folder: Environmental Protection(country, STEM, relation, NA, English), testid: 2
Successfully processed folder: Environmental Protection(country, STEM, relation, NA, English), testid: 3
Successfully processed folder: Socioeconomic Growth(country, STEM, relation, NA, English), testid: 0
Successfully processed folder: Socioeconomic Growth(country, STEM, relation, NA, English), testid: 1
Successfully processed folder: Socioeconomic Growth(country, STEM, relation, NA, English), testid: 2
Successfully processed folder: Socioeconomic Growth(country, STEM, relation, NA, English), testid: 3
Successfully processed folder: Advancements in Food Production(country, STEM, relation, NA, English), testid: 0
Successfully processed folder: Advancements in Food Production(country, STEM, relation, NA, English), testid: 1
Successfully processed folder: Advancements in Food Production(country, STEM, relation, NA, English), testid: 2
Successfully processed folder: Advancements in Food Production(country, STEM, relation, NA, English), testid: 3
Successfully processed folder: Promoting Knowledge and Skills(country, STEM, relation, NA, English), testid: 0
Successfully processed folder: Promoting Knowledge and Skills(country, STEM, relation, NA, English), testid: 1
Successfully processed folder: Promoting Knowledge and Skills(country, STEM, relation, NA, English), testid: 2
Successfully processed folder: Promoting Knowledge and Skills(country, STEM, relation, NA, English), testid: 3
Successfully processed folder: Technological Applications in Agriculture(country, STEM, relation, NA, English), testid: 0
Successfully processed folder: Technological Applications in Agriculture(country, STEM, relation, NA, English), testid: 1
Successfully processed folder: Technological Applications in Agriculture(country, STEM, relation, NA, English), testid: 2
Successfully processed folder: Technological Applications in Agriculture(country, STEM, relation, NA, English), testid: 3
Successfully processed folder: Journey and Progress(country, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Journey and Progress(country, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Journey and Progress(country, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Journey and Progress(country, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Nature as a Source of Knowledge(country, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Nature as a Source of Knowledge(country, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Nature as a Source of Knowledge(country, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Nature as a Source of Knowledge(country, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Bridges as Symbols of Connection(country, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Bridges as Symbols of Connection(country, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Bridges as Symbols of Connection(country, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Bridges as Symbols of Connection(country, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Growth from Initial Ideas(country, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Growth from Initial Ideas(country, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Growth from Initial Ideas(country, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Growth from Initial Ideas(country, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Nature as a Source of Artistic Expression(country, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Nature as a Source of Artistic Expression(country, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Nature as a Source of Artistic Expression(country, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Nature as a Source of Artistic Expression(country, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: The Exchange and Growth of Ideas(country, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: The Exchange and Growth of Ideas(country, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: The Exchange and Growth of Ideas(country, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: The Exchange and Growth of Ideas(country, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Innovation in Agricultural Practices(country, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Innovation in Agricultural Practices(country, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Innovation in Agricultural Practices(country, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Innovation in Agricultural Practices(country, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: The Process of Acquiring and Utilizing Knowledge(country, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: The Process of Acquiring and Utilizing Knowledge(country, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: The Process of Acquiring and Utilizing Knowledge(country, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: The Process of Acquiring and Utilizing Knowledge(country, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Interconnected Systems of Life(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Interconnected Systems of Life(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Interconnected Systems of Life(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Interconnected Systems of Life(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: The Role of Data in Sustaining Life(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: The Role of Data in Sustaining Life(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: The Role of Data in Sustaining Life(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: The Role of Data in Sustaining Life(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: The Growth Cycle of Innovation(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: The Growth Cycle of Innovation(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: The Growth Cycle of Innovation(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: The Growth Cycle of Innovation(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: The Pursuit of Goals and Dreams(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: The Pursuit of Goals and Dreams(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: The Pursuit of Goals and Dreams(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: The Pursuit of Goals and Dreams(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Essential Systems for Sustaining Urban Life(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Essential Systems for Sustaining Urban Life(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Essential Systems for Sustaining Urban Life(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Essential Systems for Sustaining Urban Life(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Illumination and Guidance Through Technology(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Illumination and Guidance Through Technology(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Illumination and Guidance Through Technology(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Illumination and Guidance Through Technology(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: The Art of Narration Through Structure(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: The Art of Narration Through Structure(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: The Art of Narration Through Structure(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: The Art of Narration Through Structure(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Interconnected Systems of Functionality(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Interconnected Systems of Functionality(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Interconnected Systems of Functionality(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Interconnected Systems of Functionality(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Integration of smart technology for improved urban living(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Integration of smart technology for improved urban living(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Integration of smart technology for improved urban living(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Integration of smart technology for improved urban living(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Utilization of data analytics for effective traffic management(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Utilization of data analytics for effective traffic management(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Utilization of data analytics for effective traffic management(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Utilization of data analytics for effective traffic management(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Integration of renewable energy in urban infrastructure(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Integration of renewable energy in urban infrastructure(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Integration of renewable energy in urban infrastructure(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Integration of renewable energy in urban infrastructure(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Integration of public health technologies with city services(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Integration of public health technologies with city services(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Integration of public health technologies with city services(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Integration of public health technologies with city services(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: The role of green spaces in supporting environmental science(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: The role of green spaces in supporting environmental science(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: The role of green spaces in supporting environmental science(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: The role of green spaces in supporting environmental science(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Integration of autonomous vehicles into transportation systems(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Integration of autonomous vehicles into transportation systems(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Integration of autonomous vehicles into transportation systems(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Integration of autonomous vehicles into transportation systems(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Enhancing community participation through technology(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Enhancing community participation through technology(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Enhancing community participation through technology(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Enhancing community participation through technology(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Integration of agricultural technology in urban farming practices(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Integration of agricultural technology in urban farming practices(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Integration of agricultural technology in urban farming practices(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Integration of agricultural technology in urban farming practices(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Integration of engineering in waste management solutions(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Integration of engineering in waste management solutions(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Integration of engineering in waste management solutions(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Integration of engineering in waste management solutions(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Enhancing STEM workforce development through educational programs(city, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Enhancing STEM workforce development through educational programs(city, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Enhancing STEM workforce development through educational programs(city, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Enhancing STEM workforce development through educational programs(city, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Synergy between sustainable agriculture and environmental science(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Synergy between sustainable agriculture and environmental science(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Synergy between sustainable agriculture and environmental science(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Synergy between sustainable agriculture and environmental science(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Utilization of renewable energy for rural electrification(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Utilization of renewable energy for rural electrification(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Utilization of renewable energy for rural electrification(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Utilization of renewable energy for rural electrification(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Application of biotechnology for improving crop traits(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Application of biotechnology for improving crop traits(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Application of biotechnology for improving crop traits(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Application of biotechnology for improving crop traits(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: The integration of hydrology in effective water management systems(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: The integration of hydrology in effective water management systems(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: The integration of hydrology in effective water management systems(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: The integration of hydrology in effective water management systems(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Utilization of data analytics in precision farming techniques(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Utilization of data analytics in precision farming techniques(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Utilization of data analytics in precision farming techniques(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Utilization of data analytics in precision farming techniques(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Application of soil science in fertility management practices(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Application of soil science in fertility management practices(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Application of soil science in fertility management practices(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Application of soil science in fertility management practices(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Role in Enhancing Accessibility(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Role in Enhancing Accessibility(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Role in Enhancing Accessibility(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Role in Enhancing Accessibility(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Bridging the digital divide through telecommunications advancements(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Bridging the digital divide through telecommunications advancements(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Bridging the digital divide through telecommunications advancements(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Bridging the digital divide through telecommunications advancements(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Interconnection in Conservation Efforts(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Interconnection in Conservation Efforts(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Interconnection in Conservation Efforts(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Interconnection in Conservation Efforts(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Promoting STEM awareness through community education initiatives(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Promoting STEM awareness through community education initiatives(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Promoting STEM awareness through community education initiatives(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Promoting STEM awareness through community education initiatives(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Precision Agriculture and Remote Sensing(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Precision Agriculture and Remote Sensing(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Precision Agriculture and Remote Sensing(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Precision Agriculture and Remote Sensing(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Bioinformatics and Crop Genomics(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Bioinformatics and Crop Genomics(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Bioinformatics and Crop Genomics(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Bioinformatics and Crop Genomics(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Engenharia Ecológica e Gestão de Recursos Hídricos(country, STEM, mutual elements, NA, Portuguese), testid: 0
Successfully processed folder: Engenharia Ecológica e Gestão de Recursos Hídricos(country, STEM, mutual elements, NA, Portuguese), testid: 1
Successfully processed folder: Engenharia Ecológica e Gestão de Recursos Hídricos(country, STEM, mutual elements, NA, Portuguese), testid: 2
Successfully processed folder: Engenharia Ecológica e Gestão de Recursos Hídricos(country, STEM, mutual elements, NA, Portuguese), testid: 3
Successfully processed folder: Climate Modeling and Agricultural Planning(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Climate Modeling and Agricultural Planning(country, STEM, mutual elements, NA, English), testid: 1
