Successfully processed folder: Culture and Art three(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art ten(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art ten(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art eleven(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art eleven(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art eleven(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art eleven(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art twelve(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art twelve(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art twelve(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art twelve(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art thirteen(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art thirteen(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art thirteen(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art thirteen(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art fourteen(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art fourteen(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art fourteen(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art fourteen(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Culture and Art fifthteen(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art fifthteen(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art fifthteen(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art fifthteen(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Animals and City(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Animals and City(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Animals and City(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Animals and City(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Culture and Art sixteen(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culture and Art sixteen(animal, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culture and Art sixteen(animal, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culture and Art sixteen(animal, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Specific Habitat Preferences and Their Climate Patterns(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Specific Habitat Preferences and Their Climate Patterns(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Specific Habitat Preferences and Their Climate Patterns(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Specific Habitat Preferences and Their Climate Patterns(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Cultural Representation of Endangered Species from China(animal, people, relation, East Asia, English), testid: 0
Successfully processed folder: Cultural Representation of Endangered Species from China(animal, people, relation, East Asia, English), testid: 1
Successfully processed folder: Cultural Representation of Endangered Species from China(animal, people, relation, East Asia, English), testid: 2
Successfully processed folder: Cultural Representation of Endangered Species from China(animal, people, relation, East Asia, English), testid: 3
Successfully processed folder: Geographical Origin of Celebrities and Their Associated Climate Patterns(city, people, relation, East Asia, English), testid: 0
Successfully processed folder: Geographical Origin of Celebrities and Their Associated Climate Patterns(city, people, relation, East Asia, English), testid: 1
Successfully processed folder: Geographical Origin of Celebrities and Their Associated Climate Patterns(city, people, relation, East Asia, English), testid: 2
Successfully processed folder: Geographical Origin of Celebrities and Their Associated Climate Patterns(city, people, relation, East Asia, English), testid: 3
Successfully processed folder: Geographical Significance(city, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Geographical Significance(city, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Geographical Significance(city, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Geographical Significance(city, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Significance and Population Centers(city, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Significance and Population Centers(city, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Significance and Population Centers(city, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Significance and Population Centers(city, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbolism and Environmental Influences(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbolism and Environmental Influences(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbolism and Environmental Influences(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbolism and Environmental Influences(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Roots and Historical Influence(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Roots and Historical Influence(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Roots and Historical Influence(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Roots and Historical Influence(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Urban Infrastructure(animal, city, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Urban Infrastructure(animal, city, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Urban Infrastructure(animal, city, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Urban Infrastructure(animal, city, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Historical Contexts(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Historical Contexts(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Historical Contexts(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Historical Contexts(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Icons and National Significance two(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Icons and National Significance two(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Icons and National Significance two(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Icons and National Significance two(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Icons and Endangered Species two(people, animal, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Icons and Endangered Species two(people, animal, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Icons and Endangered Species two(people, animal, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Icons and Endangered Species two(people, animal, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Icons and National Significance three(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Icons and National Significance three(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Icons and National Significance three(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Icons and National Significance three(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals three(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals three(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals three(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals three(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals four(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals four(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals four(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals four(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals five(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals five(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals five(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals five(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals six(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals six(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals six(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals six(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals seven(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals seven(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals seven(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals seven(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals eight(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals eight(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals eight(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals eight(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals nine(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals nine(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals nine(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals nine(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals ten(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals ten(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals ten(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals ten(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals eleven(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals eleven(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals eleven(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals eleven(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals twelve(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals twelve(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals twelve(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals twelve(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals thirteen(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals thirteen(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals thirteen(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals thirteen(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Symbols and Animals forteen(animal, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Symbols and Animals forteen(animal, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Symbols and Animals forteen(animal, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Symbols and Animals forteen(animal, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: National Anthems and Their Associated Transit Systems(country, city, relation, East Asia, English), testid: 0
Successfully processed folder: National Anthems and Their Associated Transit Systems(country, city, relation, East Asia, English), testid: 1
Successfully processed folder: National Anthems and Their Associated Transit Systems(country, city, relation, East Asia, English), testid: 2
Successfully processed folder: National Anthems and Their Associated Transit Systems(country, city, relation, East Asia, English), testid: 3
Successfully processed folder: Symbolic Connections in Chinese Culture(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Symbolic Connections in Chinese Culture(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Symbolic Connections in Chinese Culture(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Symbolic Connections in Chinese Culture(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Symbolic Connections in Chinese Culture two(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Symbolic Connections in Chinese Culture two(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Symbolic Connections in Chinese Culture two(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Symbolic Connections in Chinese Culture two(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Symbolic Connections in Chinese Culture three(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Symbolic Connections in Chinese Culture three(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Symbolic Connections in Chinese Culture three(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Symbolic Connections in Chinese Culture three(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Symbolic Connections in Chinese Culture four(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Symbolic Connections in Chinese Culture four(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Symbolic Connections in Chinese Culture four(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Symbolic Connections in Chinese Culture four(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Symbolic Connections in Chinese Culture five(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Symbolic Connections in Chinese Culture five(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Symbolic Connections in Chinese Culture five(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Symbolic Connections in Chinese Culture five(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Symbolic Connections in Chinese Culture six(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Symbolic Connections in Chinese Culture six(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Symbolic Connections in Chinese Culture six(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Symbolic Connections in Chinese Culture six(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Symbolic Connections in Chinese Culture seven(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Symbolic Connections in Chinese Culture seven(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Symbolic Connections in Chinese Culture seven(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Symbolic Connections in Chinese Culture seven(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Symbolic Connections in Chinese Culture eight(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Symbolic Connections in Chinese Culture eight(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Symbolic Connections in Chinese Culture eight(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Symbolic Connections in Chinese Culture eight(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Cultural Icons and National Significance four(people, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Icons and National Significance four(people, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Icons and National Significance four(people, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Icons and National Significance four(people, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Icons and National Significance five(people, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Icons and National Significance five(people, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Icons and National Significance five(people, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Icons and National Significance five(people, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Icons and National Significance six(people, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Icons and National Significance six(people, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Icons and National Significance six(people, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Icons and National Significance six(people, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Icons and National Significance seven(people, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Icons and National Significance seven(people, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Icons and National Significance seven(people, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Icons and National Significance seven(people, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: Cultural Icons and National Significance eight(people, country, metaphor, East Asia, English), testid: 0
Successfully processed folder: Cultural Icons and National Significance eight(people, country, metaphor, East Asia, English), testid: 1
Successfully processed folder: Cultural Icons and National Significance eight(people, country, metaphor, East Asia, English), testid: 2
Successfully processed folder: Cultural Icons and National Significance eight(people, country, metaphor, East Asia, English), testid: 3
Successfully processed folder: National Anthems and Their Associated Transit Systems two(country, city, relation, East Asia, English), testid: 0
Successfully processed folder: National Anthems and Their Associated Transit Systems two(country, city, relation, East Asia, English), testid: 1
Successfully processed folder: National Anthems and Their Associated Transit Systems two(country, city, relation, East Asia, English), testid: 2
Successfully processed folder: National Anthems and Their Associated Transit Systems two(country, city, relation, East Asia, English), testid: 3
Successfully processed folder: National Anthems and Their Associated Transit Systems three(country, city, relation, Non-English European, English), testid: 0
Successfully processed folder: National Anthems and Their Associated Transit Systems three(country, city, relation, Non-English European, English), testid: 1
Successfully processed folder: National Anthems and Their Associated Transit Systems three(country, city, relation, Non-English European, English), testid: 2
Successfully processed folder: National Anthems and Their Associated Transit Systems three(country, city, relation, Non-English European, English), testid: 3
Successfully processed folder: National Anthems and Their Associated Transit Systems four(country, city, relation, other, English), testid: 0
Successfully processed folder: National Anthems and Their Associated Transit Systems four(country, city, relation, other, English), testid: 1
Successfully processed folder: National Anthems and Their Associated Transit Systems four(country, city, relation, other, English), testid: 2
Successfully processed folder: National Anthems and Their Associated Transit Systems four(country, city, relation, other, English), testid: 3
Successfully processed folder: National Anthems and Their Associated Transit Systems five(country, city, relation, South Asia and South-East Asia, English), testid: 0
Successfully processed folder: National Anthems and Their Associated Transit Systems five(country, city, relation, South Asia and South-East Asia, English), testid: 1
Successfully processed folder: National Anthems and Their Associated Transit Systems five(country, city, relation, South Asia and South-East Asia, English), testid: 2
Successfully processed folder: National Anthems and Their Associated Transit Systems five(country, city, relation, South Asia and South-East Asia, English), testid: 3
Successfully processed folder: National Anthems and Their Associated Transit Systems six(country, city, relation, East Asia, English), testid: 0
Successfully processed folder: National Anthems and Their Associated Transit Systems six(country, city, relation, East Asia, English), testid: 1
Successfully processed folder: National Anthems and Their Associated Transit Systems six(country, city, relation, East Asia, English), testid: 2
Successfully processed folder: National Anthems and Their Associated Transit Systems six(country, city, relation, East Asia, English), testid: 3
Successfully processed folder: Symbolic Representation two(country, city, relation, USAEnglish, English), testid: 0
Successfully processed folder: Symbolic Representation two(country, city, relation, USAEnglish, English), testid: 1
Successfully processed folder: Symbolic Representation two(country, city, relation, USAEnglish, English), testid: 2
Successfully processed folder: Symbolic Representation two(country, city, relation, USAEnglish, English), testid: 3
Successfully processed folder: Iconic Monuments and Transit Systems in Chinese Cities two(animal, city, relation, East Asia, English), testid: 0
Successfully processed folder: Iconic Monuments and Transit Systems in Chinese Cities two(animal, city, relation, East Asia, English), testid: 1
Successfully processed folder: Iconic Monuments and Transit Systems in Chinese Cities two(animal, city, relation, East Asia, English), testid: 2
Successfully processed folder: Iconic Monuments and Transit Systems in Chinese Cities two(animal, city, relation, East Asia, English), testid: 3
Successfully processed folder: Landmarks and Their Associated Transit Systems(country, city, relation, Non-English European, English), testid: 0
Successfully processed folder: Landmarks and Their Associated Transit Systems(country, city, relation, Non-English European, English), testid: 1
Successfully processed folder: Landmarks and Their Associated Transit Systems(country, city, relation, Non-English European, English), testid: 2
Successfully processed folder: Landmarks and Their Associated Transit Systems(country, city, relation, Non-English European, English), testid: 3
Successfully processed folder: Landmarks and Their Associated Transit Systems two(country, city, relation, East Asia, English), testid: 0
Successfully processed folder: Landmarks and Their Associated Transit Systems two(country, city, relation, East Asia, English), testid: 1
Successfully processed folder: Landmarks and Their Associated Transit Systems two(country, city, relation, East Asia, English), testid: 2
Successfully processed folder: Landmarks and Their Associated Transit Systems two(country, city, relation, East Asia, English), testid: 3
Successfully processed folder: Landmarks and Their Associated Transit Systems three(country, city, relation, Latin American, English), testid: 0
Successfully processed folder: Landmarks and Their Associated Transit Systems three(country, city, relation, Latin American, English), testid: 1
Successfully processed folder: Landmarks and Their Associated Transit Systems three(country, city, relation, Latin American, English), testid: 2
Successfully processed folder: Landmarks and Their Associated Transit Systems three(country, city, relation, Latin American, English), testid: 3
Successfully processed folder: Landmarks and Their Associated Transit System four(country, city, relation, Arabic-Islamic, English), testid: 0
Successfully processed folder: Landmarks and Their Associated Transit System four(country, city, relation, Arabic-Islamic, English), testid: 1
Successfully processed folder: Landmarks and Their Associated Transit System four(country, city, relation, Arabic-Islamic, English), testid: 2
Successfully processed folder: Landmarks and Their Associated Transit System four(country, city, relation, Arabic-Islamic, English), testid: 3
Successfully processed folder: Cultural Elements of Cameroon football(animal, country, relation, other, English), testid: 0
Successfully processed folder: Cultural Elements of Cameroon football(animal, country, relation, other, English), testid: 1
Successfully processed folder: Cultural Elements of Cameroon football(animal, country, relation, other, English), testid: 2
Successfully processed folder: Cultural Elements of Cameroon football(animal, country, relation, other, English), testid: 3
Successfully processed folder: Cultural Elements ofCameroon football(animal, country, relation, other, English), testid: 0
Successfully processed folder: Cultural Elements ofCameroon football(animal, country, relation, other, English), testid: 1
Successfully processed folder: Cultural Elements ofCameroon football(animal, country, relation, other, English), testid: 2
Successfully processed folder: Cultural Elements ofCameroon football(animal, country, relation, other, English), testid: 3
Successfully processed folder: Cultural Elements of Argentina football(animal, country, relation, Latin American, English), testid: 0
Successfully processed folder: Cultural Elements of Argentina football(animal, country, relation, Latin American, English), testid: 1
Successfully processed folder: Cultural Elements of Argentina football(animal, country, relation, Latin American, English), testid: 2
Successfully processed folder: Cultural Elements of Argentina football(animal, country, relation, Latin American, English), testid: 3
Successfully processed folder: Cultural Elements of Latin footballmap(animal, country, relation, Latin American, English), testid: 0
Successfully processed folder: Cultural Elements of Latin footballmap(animal, country, relation, Latin American, English), testid: 1
Successfully processed folder: Cultural Elements of Latin footballmap(animal, country, relation, Latin American, English), testid: 2
Successfully processed folder: Cultural Elements of Latin footballmap(animal, country, relation, Latin American, English), testid: 3
Successfully processed folder: Cultural Elements of Latin football(animal, country, relation, Latin American, English), testid: 0
Successfully processed folder: Cultural Elements of Latin football(animal, country, relation, Latin American, English), testid: 1
Successfully processed folder: Cultural Elements of Latin football(animal, country, relation, Latin American, English), testid: 2
Successfully processed folder: Cultural Elements of Latin football(animal, country, relation, Latin American, English), testid: 3
Successfully processed folder: Cultural Elements of city football(animal, city, relation, Non-English European, English), testid: 0
Successfully processed folder: Cultural Elements of city football(animal, city, relation, Non-English European, English), testid: 1
Successfully processed folder: Cultural Elements of city football(animal, city, relation, Non-English European, English), testid: 2
Successfully processed folder: Cultural Elements of city football(animal, city, relation, Non-English European, English), testid: 3
Successfully processed folder: Cultural Elements of city football2(animal, city, relation, Non-English European, English), testid: 0
Successfully processed folder: Cultural Elements of city football2(animal, city, relation, Non-English European, English), testid: 1
Successfully processed folder: Cultural Elements of city football2(animal, city, relation, Non-English European, English), testid: 2
Successfully processed folder: Cultural Elements of city football2(animal, city, relation, Non-English European, English), testid: 3
Successfully processed folder: Culture and Sports(animal, country, relation, East Asia, English), testid: 0
Successfully processed folder: Culture and Sports(animal, country, relation, East Asia, English), testid: 1
Successfully processed folder: Culture and Sports(animal, country, relation, East Asia, English), testid: 2
Successfully processed folder: Culture and Sports(animal, country, relation, East Asia, English), testid: 3
Successfully processed folder: Culture and Sports two(animal, country, relation, East Asia, English), testid: 0
Successfully processed folder: Culture and Sports two(animal, country, relation, East Asia, English), testid: 1
Successfully processed folder: Culture and Sports two(animal, country, relation, East Asia, English), testid: 2
Successfully processed folder: Culture and Sports two(animal, country, relation, East Asia, English), testid: 3
Successfully processed folder: Symbols(country, animal, relation, Latin American, English), testid: 0
Successfully processed folder: Symbols(country, animal, relation, Latin American, English), testid: 1
Successfully processed folder: Symbols(country, animal, relation, Latin American, English), testid: 2
Successfully processed folder: Symbols(country, animal, relation, Latin American, English), testid: 3
Successfully processed folder: Famous Symbols(city, animal, relation, USAEnglish, English), testid: 0
Successfully processed folder: Famous Symbols(city, animal, relation, USAEnglish, English), testid: 1
Successfully processed folder: Famous Symbols(city, animal, relation, USAEnglish, English), testid: 2
Successfully processed folder: Famous Symbols(city, animal, relation, USAEnglish, English), testid: 3
Successfully processed folder: Famous Symbols of cat(city, animal, relation, USAEnglish, English), testid: 0
Successfully processed folder: Famous Symbols of cat(city, animal, relation, USAEnglish, English), testid: 1
Successfully processed folder: Famous Symbols of cat(city, animal, relation, USAEnglish, English), testid: 2
