Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: dragon robe(invisible, animal, relation, East Asia, English), testid: 11
Successfully processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English), testid: 0
Successfully processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English), testid: 1
Successfully processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English), testid: 2
Successfully processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English), testid: 3
Successfully processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English), testid: 4
Successfully processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English), testid: 5
Successfully processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English), testid: 6
Successfully processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English), testid: 7
Successfully processed folder: 猴子捞月(visible, animal, metaphor, East Asia, Chinese), testid: 0
Successfully processed folder: 猴子捞月(visible, animal, metaphor, East Asia, Chinese), testid: 1
Successfully processed folder: 猴子捞月(visible, animal, metaphor, East Asia, Chinese), testid: 2
Successfully processed folder: 猴子捞月(visible, animal, metaphor, East Asia, Chinese), testid: 3
Successfully processed folder: 猴子捞月(visible, animal, metaphor, East Asia, Chinese), testid: 4
Successfully processed folder: 猴子捞月(visible, animal, metaphor, East Asia, Chinese), testid: 5
Successfully processed folder: 蚕丝(invisible, animal, relation, East Asia, Chinese), testid: 0
Successfully processed folder: 蚕丝(invisible, animal, relation, East Asia, Chinese), testid: 1
Successfully processed folder: 蚕丝(invisible, animal, relation, East Asia, Chinese), testid: 2
Successfully processed folder: 蚕丝(invisible, animal, relation, East Asia, Chinese), testid: 3
Successfully processed folder: SunWukong(visible, animal, metaphor, East Asia, English), testid: 0
Successfully processed folder: SunWukong(visible, animal, metaphor, East Asia, English), testid: 1
Successfully processed folder: SunWukong(visible, animal, metaphor, East Asia, English), testid: 2
Successfully processed folder: SunWukong(visible, animal, metaphor, East Asia, English), testid: 3
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 0
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 1
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 2
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 3
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 4
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 5
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 6
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 7
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 8
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 9
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 10
Successfully processed folder: predation(visible, animal, relation, NA, English), testid: 11
Successfully processed folder: Russia(invisible, animal, mutual elements, Non-English European, English), testid: 0
Successfully processed folder: Russia(invisible, animal, mutual elements, Non-English European, English), testid: 1
Successfully processed folder: Corrida de toros(visible, animal, relation, Non-English European, Spanish), testid: 0
Successfully processed folder: Corrida de toros(visible, animal, relation, Non-English European, Spanish), testid: 1
Successfully processed folder: Corrida de toros(visible, animal, relation, Non-English European, Spanish), testid: 2
Successfully processed folder: Corrida de toros(visible, animal, relation, Non-English European, Spanish), testid: 3
Successfully processed folder: Corrida de toros(visible, animal, relation, Non-English European, Spanish), testid: 4
Successfully processed folder: Corrida de toros(visible, animal, relation, Non-English European, Spanish), testid: 5
Successfully processed folder: Símbolo de paz(visible, animal, metaphor, Non-English European, Spanish), testid: 0
Successfully processed folder: Símbolo de paz(visible, animal, metaphor, Non-English European, Spanish), testid: 1
Successfully processed folder: Símbolo de paz(visible, animal, metaphor, Non-English European, Spanish), testid: 2
Successfully processed folder: Два медведя в одной берлоге не живут(invisible, animal, metaphor, Non-English European, Russian), testid: 0
Successfully processed folder: Два медведя в одной берлоге не живут(invisible, animal, metaphor, Non-English European, Russian), testid: 1
Successfully processed folder: Два медведя в одной берлоге не живут(invisible, animal, metaphor, Non-English European, Russian), testid: 2
Successfully processed folder: Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), testid: 0
Successfully processed folder: Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), testid: 1
Successfully processed folder: Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), testid: 2
Successfully processed folder: Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), testid: 3
Successfully processed folder: Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), testid: 4
Successfully processed folder: Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian), testid: 5
Successfully processed folder: Bee and honeycomb(visible, animal, relation, NA, English), testid: 0
Successfully processed folder: Bee and honeycomb(visible, animal, relation, NA, English), testid: 1
Successfully processed folder: Bee and honeycomb(visible, animal, relation, NA, English), testid: 2
Successfully processed folder: Bee and honeycomb(visible, animal, relation, NA, English), testid: 3
Successfully processed folder: Bee and honeycomb(visible, animal, relation, NA, English), testid: 4
Successfully processed folder: Bee and honeycomb(visible, animal, relation, NA, English), testid: 5
Successfully processed folder: nest(invisible, animal, relation, NA, English), testid: 0
Successfully processed folder: nest(invisible, animal, relation, NA, English), testid: 1
Successfully processed folder: nest(invisible, animal, relation, NA, English), testid: 2
Successfully processed folder: nest(invisible, animal, relation, NA, English), testid: 3
Successfully processed folder: nest(invisible, animal, relation, NA, English), testid: 4
Successfully processed folder: nest(invisible, animal, relation, NA, English), testid: 5
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English), testid: 4
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English), testid: 5
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English), testid: 6
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English), testid: 7
Successfully processed folder: curve(visible, STEM, mutual elements, NA, English), testid: 8
Successfully processed folder: irrational number(visible, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: irrational number(visible, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: irrational number(visible, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 0
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 1
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 2
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 3
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 4
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 5
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 6
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 7
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 8
Successfully processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English), testid: 9
Successfully processed folder: Abanico flamenco(invisible, STEM, relation, Non-English European, Spanish), testid: 0
Successfully processed folder: Abanico flamenco(invisible, STEM, relation, Non-English European, Spanish), testid: 1
Successfully processed folder: Abanico flamenco(invisible, STEM, relation, Non-English European, Spanish), testid: 2
Successfully processed folder: Abanico flamenco(invisible, STEM, relation, Non-English European, Spanish), testid: 3
Successfully processed folder: Abanico flamenco(invisible, STEM, relation, Non-English European, Spanish), testid: 4
Successfully processed folder: Abanico flamenco(invisible, STEM, relation, Non-English European, Spanish), testid: 5
Successfully processed folder: Cryptography(invisible, STEM, relation, NA, English), testid: 0
Successfully processed folder: Cryptography(invisible, STEM, relation, NA, English), testid: 1
Successfully processed folder: Cryptography(invisible, STEM, relation, NA, English), testid: 2
Successfully processed folder: Cryptography(invisible, STEM, relation, NA, English), testid: 3
Successfully processed folder: Cryptography(invisible, STEM, relation, NA, English), testid: 4
Successfully processed folder: Cryptography(invisible, STEM, relation, NA, English), testid: 5
Successfully processed folder: Ellipsoid(visible, STEM, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Ellipsoid(visible, STEM, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Ellipsoid(visible, STEM, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Ellipsoid(visible, STEM, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Ellipsoid(visible, STEM, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Ellipsoid(visible, STEM, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: Calculus(visible, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Calculus(visible, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish), testid: 0
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish), testid: 1
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish), testid: 2
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish), testid: 3
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish), testid: 4
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish), testid: 5
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish), testid: 6
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish), testid: 7
Successfully processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish), testid: 8
Successfully processed folder: Paella de Mariscos(invisible, food, metaphor, Non-English European, Spanish), testid: 0
Successfully processed folder: Paella de Mariscos(invisible, food, metaphor, Non-English European, Spanish), testid: 1
Successfully processed folder: Paella de Mariscos(invisible, food, metaphor, Non-English European, Spanish), testid: 2
Successfully processed folder: Paella de Mariscos(invisible, food, metaphor, Non-English European, Spanish), testid: 3
Successfully processed folder: Pasta con Gambas Rojas del Mediterráneo(visible, food, metaphor, Non-English European, Spanish), testid: 0
Successfully processed folder: Pasta con Gambas Rojas del Mediterráneo(visible, food, metaphor, Non-English European, Spanish), testid: 1
Successfully processed folder: Pasta con Gambas Rojas del Mediterráneo(visible, food, metaphor, Non-English European, Spanish), testid: 2
Successfully processed folder: Pasta con Gambas Rojas del Mediterráneo(visible, food, metaphor, Non-English European, Spanish), testid: 3
Successfully processed folder: Pasta con Gambas Rojas del Mediterráneo(visible, food, metaphor, Non-English European, Spanish), testid: 4
Successfully processed folder: Pasta con Gambas Rojas del Mediterráneo(visible, food, metaphor, Non-English European, Spanish), testid: 5
Successfully processed folder: Tomahawk Steak(visible, food, relation, NA, English), testid: 0
Successfully processed folder: Tomahawk Steak(visible, food, relation, NA, English), testid: 1
Successfully processed folder: Tomahawk Steak(visible, food, relation, NA, English), testid: 2
Successfully processed folder: Tomahawk Steak(visible, food, relation, NA, English), testid: 3
Successfully processed folder: Tomahawk Steak(visible, food, relation, NA, English), testid: 4
Successfully processed folder: Tomahawk Steak(visible, food, relation, NA, English), testid: 5
Successfully processed folder: Peking Duck(invisible, food, mutual elements, East Asia, English), testid: 0
Successfully processed folder: Peking Duck(invisible, food, mutual elements, East Asia, English), testid: 1
Successfully processed folder: Peking Duck(invisible, food, mutual elements, East Asia, English), testid: 2
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese), testid: 0
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese), testid: 1
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese), testid: 2
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese), testid: 3
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese), testid: 4
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese), testid: 5
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese), testid: 6
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese), testid: 7
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese), testid: 8
Successfully processed folder: Egg(visible, food, relation, NA, English), testid: 0
Successfully processed folder: Egg(visible, food, relation, NA, English), testid: 1
Successfully processed folder: Egg(visible, food, relation, NA, English), testid: 2
Successfully processed folder: Egg(visible, food, relation, NA, English), testid: 3
Successfully processed folder: Egg(visible, food, relation, NA, English), testid: 4
Successfully processed folder: Egg(visible, food, relation, NA, English), testid: 5
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), testid: 0
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), testid: 1
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), testid: 2
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), testid: 3
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), testid: 4
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), testid: 5
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), testid: 6
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), testid: 7
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), testid: 8
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 6
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 7
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 8
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 9
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 10
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English), testid: 11
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English), testid: 6
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English), testid: 7
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English), testid: 8
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English), testid: 0
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English), testid: 1
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English), testid: 2
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English), testid: 3
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English), testid: 4
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English), testid: 5
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English), testid: 6
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English), testid: 7
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English), testid: 8
Successfully processed folder: Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), testid: 0
Successfully processed folder: Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), testid: 1
Successfully processed folder: Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), testid: 2
Successfully processed folder: Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), testid: 3
Successfully processed folder: Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), testid: 4
Successfully processed folder: Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), testid: 5
Successfully processed folder: España(invisible, country, metaphor, Non-English European, Spanish), testid: 0
Successfully processed folder: España(invisible, country, metaphor, Non-English European, Spanish), testid: 1
Successfully processed folder: España(invisible, country, metaphor, Non-English European, Spanish), testid: 2
Successfully processed folder: España(invisible, country, metaphor, Non-English European, Spanish), testid: 3
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), testid: 0
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), testid: 1
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), testid: 2
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), testid: 3
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), testid: 4
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), testid: 5
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), testid: 6
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), testid: 7
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), testid: 8
Successfully processed folder: Россия(visible, country, mutual elements, Non-English European, Russian), testid: 0
Successfully processed folder: Россия(visible, country, mutual elements, Non-English European, Russian), testid: 1
Successfully processed folder: Россия(visible, country, mutual elements, Non-English European, Russian), testid: 2
Successfully processed folder: Россия(visible, country, mutual elements, Non-English European, Russian), testid: 3
Successfully processed folder: Россия(visible, country, mutual elements, Non-English European, Russian), testid: 4
Successfully processed folder: Россия(visible, country, mutual elements, Non-English European, Russian), testid: 5
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 6
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 7
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 8
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 9
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 10
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English), testid: 11
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English), testid: 6
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English), testid: 7
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English), testid: 8
Successfully processed folder: Korea(invisible, country, mutual elements, East Asia, English), testid: 0
Successfully processed folder: Korea(invisible, country, mutual elements, East Asia, English), testid: 1
Successfully processed folder: Korea(invisible, country, mutual elements, East Asia, English), testid: 2
Successfully processed folder: Korea(invisible, country, mutual elements, East Asia, English), testid: 3
Successfully processed folder: Korea(invisible, country, mutual elements, East Asia, English), testid: 4
Successfully processed folder: Korea(invisible, country, mutual elements, East Asia, English), testid: 5
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 0
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 1
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 2
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 3
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 4
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 5
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 6
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 7
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 8
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 9
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 10
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian), testid: 11
Successfully processed folder: Italy(invisible, country, mutual elements, Non-English European, English), testid: 0
Successfully processed folder: Italy(invisible, country, mutual elements, Non-English European, English), testid: 1
Successfully processed folder: Italy(invisible, country, mutual elements, Non-English European, English), testid: 2
Successfully processed folder: Italy(invisible, country, mutual elements, Non-English European, English), testid: 3
Successfully processed folder: Italy(invisible, country, mutual elements, Non-English European, English), testid: 4
Successfully processed folder: Italy(invisible, country, mutual elements, Non-English European, English), testid: 5
Successfully processed folder: Netherlands(invisible, country, mutual elements, Non-English European, English), testid: 0
Successfully processed folder: Netherlands(invisible, country, mutual elements, Non-English European, English), testid: 1
Successfully processed folder: Netherlands(invisible, country, mutual elements, Non-English European, English), testid: 2
Successfully processed folder: Netherlands(invisible, country, mutual elements, Non-English European, English), testid: 3
Successfully processed folder: Los Angeles(invisible, city, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Los Angeles(invisible, city, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Los Angeles(invisible, city, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Los Angeles(invisible, city, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Los Angeles(invisible, city, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Los Angeles(invisible, city, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: Los Angeles(invisible, city, mutual elements, USAEnglish, English), testid: 6
