Judge results for folder BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder 汤圆(invisible, food, mutual elements, East Asia, Chinese), judgeid 4 updated.
Judge results for folder 汤圆(invisible, food, mutual elements, East Asia, Chinese), judgeid 5 updated.
Judge results for folder 汤圆(invisible, food, mutual elements, East Asia, Chinese), judgeid 6 updated.
Judge results for folder 汤圆(invisible, food, mutual elements, East Asia, Chinese), judgeid 7 updated.
Judge results for folder 汤圆(invisible, food, mutual elements, East Asia, Chinese), judgeid 8 updated.
Judge results for folder Egg(visible, food, relation, NA, English), judgeid 1 updated.
Judge results for folder Egg(visible, food, relation, NA, English), judgeid 2 updated.
Judge results for folder Egg(visible, food, relation, NA, English), judgeid 3 updated.
Judge results for folder Egg(visible, food, relation, NA, English), judgeid 4 updated.
Judge results for folder Egg(visible, food, relation, NA, English), judgeid 5 updated.
Judge results for folder 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), judgeid 1 updated.
Judge results for folder 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), judgeid 2 updated.
Judge results for folder 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), judgeid 3 updated.
Judge results for folder 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), judgeid 4 updated.
Judge results for folder 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), judgeid 5 updated.
Judge results for folder 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), judgeid 6 updated.
Judge results for folder 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), judgeid 7 updated.
Judge results for folder 清水煮白菜(invisible, food, metaphor, East Asia, Chinese), judgeid 8 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 6 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 7 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 8 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 9 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 10 updated.
Judge results for folder Hamburger(visible, food, mutual elements, USAEnglish, English), judgeid 11 updated.
Judge results for folder Fish and Chips(visible, food, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Fish and Chips(visible, food, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Fish and Chips(visible, food, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Fish and Chips(visible, food, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Fish and Chips(visible, food, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Fish and Chips(visible, food, mutual elements, USAEnglish, English), judgeid 6 updated.
Judge results for folder Fish and Chips(visible, food, mutual elements, USAEnglish, English), judgeid 7 updated.
Judge results for folder Fish and Chips(visible, food, mutual elements, USAEnglish, English), judgeid 8 updated.
Judge results for folder breakfast(visible, food, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder breakfast(visible, food, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder breakfast(visible, food, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder breakfast(visible, food, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder breakfast(visible, food, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder breakfast(visible, food, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder breakfast(visible, food, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder breakfast(visible, food, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), judgeid 1 updated.
Judge results for folder Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), judgeid 2 updated.
Judge results for folder Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), judgeid 3 updated.
Judge results for folder Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), judgeid 4 updated.
Judge results for folder Flying Roti(invisible, food, relation, South Asia and South-East Asia, English), judgeid 5 updated.
Judge results for folder España(invisible, country, metaphor, Non-English European, Spanish), judgeid 1 updated.
Judge results for folder España(invisible, country, metaphor, Non-English European, Spanish), judgeid 2 updated.
Judge results for folder España(invisible, country, metaphor, Non-English European, Spanish), judgeid 3 updated.
Judge results for folder El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), judgeid 1 updated.
Judge results for folder El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), judgeid 2 updated.
Judge results for folder El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), judgeid 3 updated.
Judge results for folder El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), judgeid 4 updated.
Judge results for folder El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), judgeid 5 updated.
Judge results for folder El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), judgeid 6 updated.
Judge results for folder El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), judgeid 7 updated.
Judge results for folder El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish), judgeid 8 updated.
Judge results for folder Россия(visible, country, mutual elements, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Россия(visible, country, mutual elements, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Россия(visible, country, mutual elements, Non-English European, Russian), judgeid 3 updated.
Judge results for folder Россия(visible, country, mutual elements, Non-English European, Russian), judgeid 4 updated.
Judge results for folder Россия(visible, country, mutual elements, Non-English European, Russian), judgeid 5 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 6 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 7 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 8 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 9 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 10 updated.
Judge results for folder Ameirica(invisible, country, mutual elements, USAEnglish, English), judgeid 11 updated.
Judge results for folder Canada(invisible, country, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Canada(invisible, country, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Canada(invisible, country, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Canada(invisible, country, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Canada(invisible, country, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Canada(invisible, country, mutual elements, USAEnglish, English), judgeid 6 updated.
Judge results for folder Canada(invisible, country, mutual elements, USAEnglish, English), judgeid 7 updated.
Judge results for folder Canada(invisible, country, mutual elements, USAEnglish, English), judgeid 8 updated.
Judge results for folder Korea(invisible, country, mutual elements, East Asia, English), judgeid 1 updated.
Judge results for folder Korea(invisible, country, mutual elements, East Asia, English), judgeid 2 updated.
Judge results for folder Korea(invisible, country, mutual elements, East Asia, English), judgeid 3 updated.
Judge results for folder Korea(invisible, country, mutual elements, East Asia, English), judgeid 4 updated.
Judge results for folder Korea(invisible, country, mutual elements, East Asia, English), judgeid 5 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 1 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 2 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 3 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 4 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 5 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 6 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 7 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 8 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 9 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 10 updated.
Judge results for folder Япония(invisible, country, metaphor, East Asia, Russian), judgeid 11 updated.
Judge results for folder Italy(invisible, country, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Italy(invisible, country, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Italy(invisible, country, mutual elements, Non-English European, English), judgeid 3 updated.
Judge results for folder Italy(invisible, country, mutual elements, Non-English European, English), judgeid 4 updated.
Judge results for folder Italy(invisible, country, mutual elements, Non-English European, English), judgeid 5 updated.
Judge results for folder Netherlands(invisible, country, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Netherlands(invisible, country, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Netherlands(invisible, country, mutual elements, Non-English European, English), judgeid 3 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 6 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 7 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 8 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 9 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 10 updated.
Judge results for folder Los Angeles(invisible, city, mutual elements, USAEnglish, English), judgeid 11 updated.
Judge results for folder New York(invisible, city, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder New York(invisible, city, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder New York(invisible, city, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder New York(invisible, city, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder New York(invisible, city, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder New York(invisible, city, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder New York(invisible, city, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder New York(invisible, city, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Beijing(invisible, city, metaphor, East Asia, English), judgeid 1 updated.
Judge results for folder Beijing(invisible, city, metaphor, East Asia, English), judgeid 2 updated.
Judge results for folder Beijing(invisible, city, metaphor, East Asia, English), judgeid 3 updated.
Judge results for folder Paris(invisible, city, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Paris(invisible, city, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Paris(invisible, city, mutual elements, Non-English European, English), judgeid 3 updated.
Judge results for folder Paris(invisible, city, mutual elements, Non-English European, English), judgeid 4 updated.
Judge results for folder Paris(invisible, city, mutual elements, Non-English European, English), judgeid 5 updated.
Judge results for folder Paris(invisible, city, mutual elements, Non-English European, English), judgeid 6 updated.
Judge results for folder Paris(invisible, city, mutual elements, Non-English European, English), judgeid 7 updated.
Judge results for folder Paris(invisible, city, mutual elements, Non-English European, English), judgeid 8 updated.
Judge results for folder Singapore(invisible, city, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Singapore(invisible, city, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Singapore(invisible, city, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Singapore(invisible, city, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Singapore(invisible, city, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Egypt(invisible, country, metaphor, other, English), judgeid 1 updated.
Judge results for folder Egypt(invisible, country, metaphor, other, English), judgeid 2 updated.
Judge results for folder Egypt(invisible, country, metaphor, other, English), judgeid 3 updated.
Judge results for folder Urban Transportation(invisible, city, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Urban Transportation(invisible, city, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Urban Transportation(invisible, city, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Urban Transportation(invisible, city, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Urban Transportation(invisible, city, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Urban Transportation(invisible, city, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Urban Transportation(invisible, city, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Urban Transportation(invisible, city, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 9 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 10 updated.
Judge results for folder Urban Landmarks(invisible, city, mutual elements, NA, English), judgeid 11 updated.
Judge results for folder City Nightlife(invisible, city, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder City Nightlife(invisible, city, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder City Nightlife(invisible, city, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder City Nightlife(invisible, city, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder City Nightlife(invisible, city, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder City Nightlife(invisible, city, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder City Nightlife(invisible, city, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder City Nightlife(invisible, city, mutual elements, NA, English), judgeid 8 updated.
Finish: Judge results all saved to ./yi-vision_multi_judge.json
Finish: Combined results all saved to ./yi-vision_multi_test_and_judge.json
