Successfully processed folder: Perfect pitch (visible, ability, mutual elements, NA, English)
Successfully processed folder: Sydney Opera House (invisible, location, metaphor, other, English)
Successfully processed folder: Statue of Liberty (invisible, people, metaphor, USAEnglish, English)
Successfully processed folder: Great Wall of China (invisible, location, metaphor, East Asia, English)
Successfully processed folder: Torre de Belém (visible, location, relation, Non-English European, Portuguese)
Successfully processed folder: Palácio Pena (visible, location, relation, Non-English European, Portuguese)
Successfully processed folder: Luís de Camões (visible, people, relation, Non-English European, Portuguese)
Successfully processed folder: Lisboa (visible, location, metaphor, Non-English European, Portuguese)
Successfully processed folder: Colónias Portuguesas (visible, location, metaphor, Non-English European, Portuguese)
Successfully processed folder: Cristiano Ronaldo (visible, people, metaphor, Non-English European, Portuguese)
Successfully processed folder: صلاح الدين (visible, people, mutual elements, Arabic-Islamic, Arabic)
Successfully processed folder: الإمارات العربية المتحدة (invisible, location, mutual elements, Arabic-Islamic, Arabic)
Successfully processed folder: المغرب (invisible, location, mutual elements, Arabic-Islamic, Arabic)
Successfully processed folder: العراق (visible, location, mutual elements, Arabic-Islamic, Arabic)
Successfully processed folder: فلسطين (visible, loction, mutual elements, Arabic-Islamic, Arabic)
Successfully processed folder: سوريا (visible, location, mutual elements, Arabic-Islamic, Arabic)
Successfully processed folder: مصر (visible, location, mutual elements, Arabic-Islamic, Arabic)
Successfully processed folder: منطقة الشرق الأوسط (visible, location, mutual elements, Arabic-Islamic, Arabic)
Successfully processed folder: محمد (visible, people, mutual elements, Arabic-Islamic, Arabic)
Successfully processed folder: Passion (visible, sense, mutual elements, NA, English)
Successfully processed folder: Nostalgic (visible, sense, mutual elements, NA, English)
Successfully processed folder: Vibrant Colors (visible, sense, mutual elements, NA, English)
Successfully processed folder: Minimal Visual Effect (visible, sense, mutual elements, NA, English)
Successfully processed folder: Intense Light (visible, sense, mutual elements, NA, English)
Successfully processed folder: Soft Tones (visible, sense, mutual elements, NA, English)
Successfully processed folder: Fresh (visible, sense, mutual elements, NA, English)
Successfully processed folder: Spicy (visible, sense, mutual elements, NA, English)
Successfully processed folder: Healing Sounds of Nature (visible, sense, mutual elements, NA, English)
Successfully processed folder: Pungent (visible, sense, mutual elements, NA, English)
Successfully processed folder: Foul Smelling (visible, sense, mutual elements, NA, English)
Successfully processed folder: Frustrated (visible, sense, relation, NA, English)
Successfully processed folder: Anxious (visible, sense, relation, NA, English)
Successfully processed folder: Grateful (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Blurred (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Rhythmic (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Harmonious (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Calm (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Satisfied (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Lonely (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Angry (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Fragrant (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Rotten (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Smoky (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Deep (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Nauseating (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Fishy (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Bitter (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Salty (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Gorgeous (invisible, sense, mutual elements, NA, English)
Successfully processed folder: Tense (invisible, sense, mutual elements, NA, English)
Successfully processed folder: 1997(invisible, time, mutual elements, East Asia, English)
Successfully processed folder: 911(invisible, number, mutual elements, NA, English)
Successfully processed folder: A story of Duke Willington(invisible, history, mutual elements, USAEnglish, English)
Successfully processed folder: Actors in Ironman(visible, movie, mutual elements, USAEnglish, English)
Successfully processed folder: Actors of joker(visible, movie, mutual elements, USAEnglish, English)
Successfully processed folder: Animals as vehicle(visible, phenomenon, mutual elements, NA, English)
Successfully processed folder: Arabian culture(invisible, culture, mutual elements, other, English)
Successfully processed folder: Asian mathematician(visible, people, mutual elements, East Asia, English)
Successfully processed folder: Astringent(invisible, sense, mutual elements, NA, English)
Successfully processed folder: Barcelona(invisible, location, mutual elements, other, English)
Successfully processed folder: Basketball players got first pick by spurs(invisible, sports, mutual elements, NA, English)
Successfully processed folder: Batman(visible, movie, mutual elements, USAEnglish, English)
Successfully processed folder: Beef(visible, animal, mutual elements, NA, English)
Successfully processed folder: Berserk(visible, cartoon or game, mutual elements, East Asia, English)
Successfully processed folder: Basketball players exploring other sports(visible, sports, mutual elements, NA, English)
Successfully processed folder: Bolivia culture(invisible, culture, mutual elements, other, English)
Successfully processed folder: Brand ambassador(invisible, business, mutual elements, NA, English)
Successfully processed folder: Bubble economy(invisible, business, mutual elements, NA, English)
Successfully processed folder: Bull(invisible, animal, mutual elements, NA, English)
Successfully processed folder: Card games with three-kingdom theme(visible, cartoon or game, mutual elements, USAEnglish culture, English)
Successfully processed folder: Combinatoric problems(visible, STEM, mutual elements, NA, English)
Successfully processed folder: Drunken Master(visible, movie, mutual elements, East Asia, English)
Successfully processed folder: Economic crisis(invisible, business, mutual elements, NA, English)
Successfully processed folder: Egypt(invisible, culture, mutual elements, other, English)
Successfully processed folder: Elton John(invisible, music, mutual elements, USAEnglish culture, English)
Successfully processed folder: Fengshui(invisible, culture, mutual elements, East Asia, English)
Successfully processed folder: Food made by Soybean or Soy protein(visible, food, mutual elements, NA, English)
Successfully processed folder: French(invisible, country, mutual elements, Non-English European, English)
Successfully processed folder: French culture(invisible, culture, mutual elements, Non-English European, English)
Successfully processed folder: Game designed by Miyazaki Hidetaka(invisible, cartoon or game, mutual elements, East Asia, English)
Successfully processed folder: German(visible, country, mutual elements, Non-English European, English)
Successfully processed folder: German celerity(invisible, people, mutual elements, Non-English European, English)
Successfully processed folder: GOAT in some sport fields(invisible, people, mutual elements, NA, English)
Successfully processed folder: Greco-Persian Wars(invisible, history, mutual elements, other, English)
Successfully processed folder: Gundam drivers(visible, cartoon or game, mutual elements, East Asia, English)
Successfully processed folder: Hidden symbols(visible, sense, mutual elements, NA, English)
Successfully processed folder: Hidden words(visible, sense, mutual elements, NA, English)
Successfully processed folder: High-dimension geometry(visible, STEM, mutual elements, NA, English)
Successfully processed folder: Horrible games(visible, cartoon or game, mutual elements, NA, English)
Successfully processed folder: Illumination(invisible, ability, mutual elements, NA, English)
Successfully processed folder: Indian(invisible, country, mutual elements, other, English)
Successfully processed folder: Invention by French(invisible, history, mutual elements, Non-English European, English)
Successfully processed folder: Invention by Italians(invisible, STEM, mutual elements, NA, English)
Successfully processed folder: IT tycoons dropped their education from Harvard(visible, people, mutual elements, NA, English)
Successfully processed folder: K-pop female singers(visible, music, mutual elements, East Asia, English)
Successfully processed folder: Ka-shing Li(visible, business, mutual elements, NA, English)
Successfully processed folder: Kamikaze suicide attack(invisible, ability, mutual elements, NA, English)
Successfully processed folder: Kung fu(invisible, culture, mutual elements, East Asia, English)
Successfully processed folder: Kusanagi-no-Tsurugi sword(visible, culture, mutual elements, East Asia, English)
Successfully processed folder: Lands in the Arctic Circle(visible, location, mutual elements, other, English)
Successfully processed folder: Lion in their Icons(visible, animal, mutual elements, NA, English)
Successfully processed folder: Louis Vuitton(visible, business, mutual elements, NA, English)
Successfully processed folder: Mammals that can swim(visible, animal, mutual elements, NA, English)
Successfully processed folder: Michelle Yeoh(visible, movie, mutual elements, East Asia, English)
Successfully processed folder: Millennium Prize Problems(invisible, STEM, mutual elements, NA, English)
Successfully processed folder: Movie directed by Ang Lee(invisible, movie, mutual elements, East Asia, English)
Successfully processed folder: Ne pas réveiller le chat qui dort(invisible, art, mutual elements, Non-English European, English)
Successfully processed folder: Ninja(visible, culture, mutual elements, East Asia, English)
Successfully processed folder: Nintendo games(visible, cartoon or game, mutual elements, East Asia, English)
Successfully processed folder: Nuclear power(invisible, STEM, mutual elements, NA, English)
Successfully processed folder: Numbing(invisible, smell or taste, mutual elements, NA, English)
Successfully processed folder: Picaso self-potrait(visible, art, mutual elements, Non-English European, English)
Successfully processed folder: Poisoning in tails(visible, animals, mutual elements, NA, English)
Successfully processed folder: Pokemon with dragon and electric attributes(invisible, cartoon or game, mutual elements, East Asia, English)
Successfully processed folder: Political leaders that were actors(visible, people, mutual elements, NA, English)
Successfully processed folder: Portuguesa culture(invisible, culture, mutual elements, Non-English European, English)
Successfully processed folder: Prada(visible, business, mutual elements, NA, English)
Successfully processed folder: PVC(invisible, material, mutual elements, NA, English)
Successfully processed folder: Qin dynasty(invisible, history, mutual elements, East Asia, English)
Successfully processed folder: Religion city(visible, city, mutual elements, NA, English)
Successfully processed folder: Rihanna(invisible, musics, mutual elements, USAEnglish, English)
Successfully processed folder: Royal couple(visible, people, mutual elements, NA, English)
Successfully processed folder: Russia(visible, country, mutual elements, other, English)
Successfully processed folder: Shared economy(visible, business, mutual elements, NA, English)
Successfully processed folder: Solar power(invisible, STEM, mutual elements, NA, English)
Successfully processed folder: Sour(invisible, sense, mutual elements, NA, English)
Successfully processed folder: Spain(visible, culture, mutual elements, Non-English European, English)
Successfully processed folder: Stealth(invisible, ability, mutual elements, NA, English)
Successfully processed folder: Stinky smell(invisible, sense, mutual elements, NA, English)
Successfully processed folder: Sun Wukong(visible, myth, mutual elements, East Asia, English)
Successfully processed folder: Symbol of rabbit(visible, sense, mutual elements, NA, English)
Successfully processed folder: Symbols of Unforturenateness(invisible, myth, mutual elements, USAEnglish, English)
Successfully processed folder: The Old Summer Palace(invisible, history, mutual elements, East Asia, English)
Successfully processed folder: Time control(invisible, ability, mutual elements, NA, English)
Successfully processed folder: Topics about hero(invisible, cartoon or game, mutual elements, East Asia, English)
Successfully processed folder: Transformer(invisible, sense, mutual elements, NA, English)
Successfully processed folder: Tsunami cause(invisible, history, mutual elements, East Asia, English)
Successfully processed folder: UCLA(invisible, location, mutual elements, USAEnglish, English)
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, English)
Successfully processed folder: Uncomfortable noise(invisible, sense, mutual elements, NA, English)
Successfully processed folder: Waterproof accessory(visible, stuff, mutual elements, NA, English)
Successfully processed folder: Zombie(visible, myth, mutual elements, USAEnglish, English)
Successfully processed folder: 21 can be divided by 7 exactly(invisible, number, relation, NA, English)
Successfully processed folder: A movie clip of Titanic(invisible, movie, relation, USAEnglish, English)
Successfully processed folder: A movie clip of Wolf of Wall street(invisible, movie, relation, USAEnglish, English)
Successfully processed folder: A storyline of Godzilla x Kong The New Empire(visible, movie, relation, USAEnglish culture, English)
Successfully processed folder: A storyline of Titanic(visible, movie, relation, USAEnglish culture, English)
Successfully processed folder: A storyline of Transformer movie(invisible, movie, relation, USAEnglish culture, English)
Successfully processed folder: Benedict Cumberbatch(visible, movie, relation, USAEnglish culture, English)
Successfully processed folder: Blind(invisible, ability, relation, NA, English)
Successfully processed folder: Bulletin protection(invisible, ability, relation, NA, English)
Successfully processed folder: China(visible, country, relation, East Asia, English)
Successfully processed folder: Deaf(invisible, ability, relation, NA, English)
Successfully processed folder: December(invisible, time, relation, NA, English)
Successfully processed folder: Diabetic foot ulcer smell like rotten apple(invisible, smell or taste, relation, NA, English)
Successfully processed folder: Duck(invisible, food, relation, NA, English)
Successfully processed folder: Eason Chan(visible, music, relation, East Asia, English)
Successfully processed folder: Easter egg(visible, movie, relation, USAEnglish culture, English)
Successfully processed folder: Eminem(visible, music, relation, USAEnglish culture, English)
Successfully processed folder: English channel(visible, location, relation, USAEnglish culture, English)
Successfully processed folder: Fermat's last theorm(invisible, STEM, relation, NA, English)
Successfully processed folder: Gorilla(visible, animal, relation, NA, English)
Successfully processed folder: Guangzhou(invisible, location, relation, East Asia, English)
Successfully processed folder: Heat(visible, STEM, relation, NA, English)
Successfully processed folder: Ice hockey(visible, sports, relation, NA, English)
Successfully processed folder: In Chinese culture, guardian lions are set in front of the bank entrance, implying the protection of the heritage.(invisible, myth, relation, East Asia, English)
Successfully processed folder: Black celebrity(visible,people, mutual element, NA, English)
Successfully processed folder: Naruto(visible,cartoon or game,mutual element, East Asia, English)
Successfully processed folder: Inventions during World War II(visible, history, relation, NA, English)
Successfully processed folder: Mexican culture(invisible, culture, relation, other, English)
Successfully processed folder: Nine-tail fox(invisible, culture, relation, East Asia, English)
Successfully processed folder: Streching(visible, ability, relation, NA, English)
Successfully processed folder: The name Vegeta inspired from vegetable(invisible, cartoon or game, relation, East Asia, English)
Successfully processed folder: The same pronouciation between beetles and Beatles(visible, sense, relation, NA, English)
Successfully processed folder: The same pronunciations(invisible, sense, relation, NA, English)
Successfully processed folder: The song mockingbird(invisible, music, relation, USAEnglish, English)
Successfully processed folder: Toriyama Akira(visible, cartoon or game, relation, East Asia, English)
Successfully processed folder: USA(invisible, cartoon or game, relation, USAEnglish, English)
Successfully processed folder: Valentine day(invisible, art, relation, USAEnglish, English)
Successfully processed folder: Weapons in World War 1(invisible, history, relation, NA, English)
Successfully processed folder: Zhuge Liang(invisible, history, relation, East Asia, English)
Successfully processed folder: かわばたやすなり(visible, art, relation, East Asia, Japanese)
Successfully processed folder: 周星驰(visible, movie, relation, East Asia, Chinese)
Successfully processed folder: 武松打虎(invisible, animal, relation, East Asia, Chinese)
Successfully processed folder: A pen is mightier than a sword(invisible, art, metaphor, USAEnglish, English)
Error processing folder Arabian story(invisible, art, metaphor, USAEnglish, English): 'HTTPResponse' object has no attribute 'text'
Successfully processed folder: Marriage rings(invisible, stuff, metaphor, NA, English)
Successfully processed folder: Newton's discovery of universal gravitation(invisible, STEM, metaphor, NA, English)
Successfully processed folder: Prisoners' dilemma(invisible, STEM, metaphor, NA, English)
Successfully processed folder: The pot calling the kettle black(invisible, art, metaphor, USAEnglish, English)
Successfully processed folder: Tomaten auf den Augen haben(invisible, art, metaphor, Non-English European, English)
Successfully processed folder: Wish(invisible, myth, metaphor, East Asia, English)
Successfully processed folder: 书中自有黄金屋(invisible, art, metaphor, East Asia, Chinese)
Results saved to D:\python\single_test_judge\InnovativeVolunteersHub-Week1Collection-jhy\yi-vision_results.json
Skipping already processed folder: Perfect pitch (visible, ability, mutual elements, NA, English)
Skipping already processed folder: Adaptability (invisible, ability, mutual elements, NA, English)
Skipping already processed folder: Time Management (invisible, ability, mutual elements, NA, English)
Skipping already processed folder: Peace Advocate (invisible, people, mutual elements, NA, English)
Skipping already processed folder: Digital Storage (invisible, stuff, mutual elements, NA, English)
Skipping already processed folder: Luxury Item (invisible, stuff, mutual elements, NA, English)
Skipping already processed folder: Echo Location (invisible, ability, mutual elements, NA, English)
Skipping already processed folder: E-commerce Giant (visible, business, mutual elements, NA, English)
Error processing folder Stock Exchange (invisible, location, mutual elements, NA, english): 'HTTPResponse' object has no attribute 'text'
Skipping already processed folder: Victorian Era (invisible, time, mutual elements, USAEnglish, English)
Skipping already processed folder: Space Age (visible, time, mutual elements, NA, English)
Skipping already processed folder: Olympic Host (visible, location, mutual elements, NA, English)
Skipping already processed folder: Film Location (invisible, location, mutual elements, NA, English)
Skipping already processed folder: Painter (invisible, people, mutual elements, Non-English European, English)
Skipping already processed folder: Revolutionary (invisible, people, mutual elements, East Asia, English)
Skipping already processed folder: Cleaning tools clear clutter (invisible, stuff, relation, NA, English)
Skipping already processed folder: Escape tools (invisible, stuff, mutual elements, NA, English)
Skipping already processed folder: Library (invisible, location, relation, NA, English)
Skipping already processed folder: Handicraft art (invisible, ability, relation, NA, English)
Skipping already processed folder: Global climate crisis (invisible, time, mutual elements, NA, English)
Skipping already processed folder: Chef (invisible, people, relation, NA, English)
Skipping already processed folder: Graduate (invisible, people, relation, NA, English)
Skipping already processed folder: Doctor (invisible, people, relation, NA, English)
Skipping already processed folder: Martin Luther King Jr. (visible, people, relation, NA, English)
Skipping already processed folder: Paris (visible, location, relation, NA, English)
Skipping already processed folder: Tokyo (invisible, location, relation, NA, English)
Skipping already processed folder: New York City (invisible, location, relation, NA, English)
Skipping already processed folder: Decision-making ability (invisible, ability, mutual elements, NA, English)
Skipping already processed folder: Puzzle-solving ability (invisible, ability, metaphor, NA, English)
Skipping already processed folder: Endurance (invisible, ability, metaphor, NA, English)
Skipping already processed folder: Creativity (invisible, ability, relation, NA, English)
Skipping already processed folder: Memory (invisible, ability, relation, NA, English)
Skipping already processed folder: Jumping Ability (invisible, ability, relation, NA, English)
Skipping already processed folder: Morning Time (invisible, time, metaphor, NA, English)
Skipping already processed folder: 2008 (invisible, time, mutual elements, NA, English)
Skipping already processed folder: 8-00 PM prime time (invisible, time, relation, East Asia, English)
Skipping already processed folder: 12-00 Midnight on New Year's Eve (invisible, time, relation, NA, English)
Skipping already processed folder: Winter Solstice (invisible, time, relation, East Asia, English)
Skipping already processed folder: Long-Distance Vision (invisible, ability, mutual elements, NA, English)
Skipping already processed folder: Night Vision (invisible, ability, relation, NA, English)
Skipping already processed folder: Comfort (invisible, sense, relation, NA, English)
Skipping already processed folder: Tactile ability (invisible, ability, metaphor, NA, English)
Skipping already processed folder: Amazon (visible, business, relation, NA, English)
Skipping already processed folder: Intel (visible, business, relation, NA, English)
Skipping already processed folder: Tesla(visible, business, relation, NA, English)
Skipping already processed folder: Fast Food (visible, business, mutual element, NA, English)
Skipping already processed folder: Nintendo (visible, business, relation, NA, English)
Skipping already processed folder: Tencent (invisible, business, relation, NA, English)
Skipping already processed folder: Rolex (visible, business, relation, NA, English)
Skipping already processed folder: Disney (invisible, location, relation, NA, English)
Skipping already processed folder: Portugal (invisible, location, metaphor, Non-English European, Portuguese)
Skipping already processed folder: Sydney Opera House (invisible, location, metaphor, other, English)
Skipping already processed folder: Statue of Liberty (invisible, people, metaphor, USAEnglish, English)
Skipping already processed folder: Great Wall of China (invisible, location, metaphor, East Asia, English)
Skipping already processed folder: Torre de Belém (visible, location, relation, Non-English European, Portuguese)
Skipping already processed folder: Palácio Pena (visible, location, relation, Non-English European, Portuguese)
Skipping already processed folder: Luís de Camões (visible, people, relation, Non-English European, Portuguese)
Skipping already processed folder: Lisboa (visible, location, metaphor, Non-English European, Portuguese)
Skipping already processed folder: Colónias Portuguesas (visible, location, metaphor, Non-English European, Portuguese)
Skipping already processed folder: Cristiano Ronaldo (visible, people, metaphor, Non-English European, Portuguese)
Skipping already processed folder: صلاح الدين (visible, people, mutual elements, Arabic-Islamic, Arabic)
Skipping already processed folder: الإمارات العربية المتحدة (invisible, location, mutual elements, Arabic-Islamic, Arabic)
Skipping already processed folder: المغرب (invisible, location, mutual elements, Arabic-Islamic, Arabic)
Skipping already processed folder: العراق (visible, location, mutual elements, Arabic-Islamic, Arabic)
Skipping already processed folder: فلسطين (visible, loction, mutual elements, Arabic-Islamic, Arabic)
Skipping already processed folder: سوريا (visible, location, mutual elements, Arabic-Islamic, Arabic)
Skipping already processed folder: مصر (visible, location, mutual elements, Arabic-Islamic, Arabic)
Skipping already processed folder: منطقة الشرق الأوسط (visible, location, mutual elements, Arabic-Islamic, Arabic)
Skipping already processed folder: محمد (visible, people, mutual elements, Arabic-Islamic, Arabic)
Skipping already processed folder: Passion (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Nostalgic (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Vibrant Colors (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Minimal Visual Effect (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Intense Light (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Soft Tones (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Fresh (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Spicy (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Healing Sounds of Nature (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Pungent (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Foul Smelling (visible, sense, mutual elements, NA, English)
Skipping already processed folder: Frustrated (visible, sense, relation, NA, English)
Skipping already processed folder: Anxious (visible, sense, relation, NA, English)
Skipping already processed folder: Grateful (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Blurred (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Rhythmic (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Harmonious (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Calm (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Satisfied (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Lonely (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Angry (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Fragrant (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Rotten (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Smoky (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Deep (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Nauseating (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Fishy (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Bitter (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Salty (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Gorgeous (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Tense (invisible, sense, mutual elements, NA, English)
Skipping already processed folder: 1997(invisible, time, mutual elements, East Asia, English)
Skipping already processed folder: 911(invisible, number, mutual elements, NA, English)
Skipping already processed folder: A story of Duke Willington(invisible, history, mutual elements, USAEnglish, English)
Skipping already processed folder: Actors in Ironman(visible, movie, mutual elements, USAEnglish, English)
Skipping already processed folder: Actors of joker(visible, movie, mutual elements, USAEnglish, English)
Skipping already processed folder: Animals as vehicle(visible, phenomenon, mutual elements, NA, English)
Skipping already processed folder: Arabian culture(invisible, culture, mutual elements, other, English)
Skipping already processed folder: Asian mathematician(visible, people, mutual elements, East Asia, English)
Skipping already processed folder: Astringent(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Barcelona(invisible, location, mutual elements, other, English)
Skipping already processed folder: Basketball players got first pick by spurs(invisible, sports, mutual elements, NA, English)
Skipping already processed folder: Batman(visible, movie, mutual elements, USAEnglish, English)
Skipping already processed folder: Beef(visible, animal, mutual elements, NA, English)
Skipping already processed folder: Berserk(visible, cartoon or game, mutual elements, East Asia, English)
Skipping already processed folder: Basketball players exploring other sports(visible, sports, mutual elements, NA, English)
Skipping already processed folder: Bolivia culture(invisible, culture, mutual elements, other, English)
Skipping already processed folder: Brand ambassador(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Bubble economy(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Bull(invisible, animal, mutual elements, NA, English)
Skipping already processed folder: Card games with three-kingdom theme(visible, cartoon or game, mutual elements, USAEnglish culture, English)
Skipping already processed folder: Combinatoric problems(visible, STEM, mutual elements, NA, English)
Skipping already processed folder: Drunken Master(visible, movie, mutual elements, East Asia, English)
Skipping already processed folder: Economic crisis(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Egypt(invisible, culture, mutual elements, other, English)
Skipping already processed folder: Elton John(invisible, music, mutual elements, USAEnglish culture, English)
Skipping already processed folder: Fengshui(invisible, culture, mutual elements, East Asia, English)
Skipping already processed folder: Food made by Soybean or Soy protein(visible, food, mutual elements, NA, English)
Skipping already processed folder: French(invisible, country, mutual elements, Non-English European, English)
Skipping already processed folder: French culture(invisible, culture, mutual elements, Non-English European, English)
Skipping already processed folder: Game designed by Miyazaki Hidetaka(invisible, cartoon or game, mutual elements, East Asia, English)
Skipping already processed folder: German(visible, country, mutual elements, Non-English European, English)
Skipping already processed folder: German celerity(invisible, people, mutual elements, Non-English European, English)
Skipping already processed folder: GOAT in some sport fields(invisible, people, mutual elements, NA, English)
Skipping already processed folder: Greco-Persian Wars(invisible, history, mutual elements, other, English)
Skipping already processed folder: Gundam drivers(visible, cartoon or game, mutual elements, East Asia, English)
Skipping already processed folder: Hidden symbols(visible, sense, mutual elements, NA, English)
Skipping already processed folder: Hidden words(visible, sense, mutual elements, NA, English)
Skipping already processed folder: High-dimension geometry(visible, STEM, mutual elements, NA, English)
Skipping already processed folder: Horrible games(visible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Illumination(invisible, ability, mutual elements, NA, English)
Skipping already processed folder: Indian(invisible, country, mutual elements, other, English)
Skipping already processed folder: Invention by French(invisible, history, mutual elements, Non-English European, English)
Skipping already processed folder: Invention by Italians(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: IT tycoons dropped their education from Harvard(visible, people, mutual elements, NA, English)
