Successfully processed folder: Development in Transportation(history, STEM, relation, USAEnglish, English), testid: 0
Successfully processed folder: Rhythm of Life(STEM, history, relation, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Rhythm of Life(STEM, history, relation, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Rhythm of Life(STEM, history, relation, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Taste of Nostalgia(food, history, mutual elements, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Taste of Nostalgia(food, history, mutual elements, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Taste of Nostalgia(food, history, mutual elements, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Taste of Nostalgia(food, history, mutual elements, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Harmony in Nature(history, STEM, metaphor, NA, Bengali), testid: 0
Successfully processed folder: Harmony in Nature(history, STEM, metaphor, NA, Bengali), testid: 1
Successfully processed folder: Harmony in Nature(history, STEM, metaphor, NA, Bengali), testid: 2
Successfully processed folder: Harmony in Nature(history, STEM, metaphor, NA, Bengali), testid: 3
Successfully processed folder: Cycle of Growth(STEM, food, relation, NA, Bengali), testid: 0
Successfully processed folder: Cycle of Growth(STEM, food, relation, NA, Bengali), testid: 1
Successfully processed folder: Cycle of Growth(STEM, food, relation, NA, Bengali), testid: 2
Successfully processed folder: Cycle of Growth(STEM, food, relation, NA, Bengali), testid: 3
Successfully processed folder: Wisdom of Ancestors(history, food, mutual elements, NA, Bengali), testid: 0
Successfully processed folder: Wisdom of Ancestors(history, food, mutual elements, NA, Bengali), testid: 1
Successfully processed folder: Wisdom of Ancestors(history, food, mutual elements, NA, Bengali), testid: 2
Successfully processed folder: Wisdom of Ancestors(history, food, mutual elements, NA, Bengali), testid: 3
Successfully processed folder: Cycle of Sustenance(food, STEM, relation, Latin American, Bengali), testid: 0
Successfully processed folder: Cycle of Sustenance(food, STEM, relation, Latin American, Bengali), testid: 1
Successfully processed folder: Cycle of Sustenance(food, STEM, relation, Latin American, Bengali), testid: 2
Successfully processed folder: Cycle of Sustenance(food, STEM, relation, Latin American, Bengali), testid: 3
Successfully processed folder: Roots of Knowledge(food, history, metaphor, South Asia and South-East Asia, Hindi), testid: 0
Successfully processed folder: Roots of Knowledge(food, history, metaphor, South Asia and South-East Asia, Hindi), testid: 1
Successfully processed folder: Roots of Knowledge(food, history, metaphor, South Asia and South-East Asia, Hindi), testid: 2
Successfully processed folder: Roots of Knowledge(food, history, metaphor, South Asia and South-East Asia, Hindi), testid: 3
Successfully processed folder: Expressions of Knowledge Transfer(history, STEM, relation, Non-English European, English), testid: 0
Successfully processed folder: Expressions of Knowledge Transfer(history, STEM, relation, Non-English European, English), testid: 1
Successfully processed folder: Expressions of Knowledge Transfer(history, STEM, relation, Non-English European, English), testid: 2
Successfully processed folder: Expressions of Knowledge Transfer(history, STEM, relation, Non-English European, English), testid: 3
Successfully processed folder: Elements of Healing(STEM, history, mutual elements, Arabic-Islamic, Hindi), testid: 0
Successfully processed folder: Elements of Healing(STEM, history, mutual elements, Arabic-Islamic, Hindi), testid: 1
Successfully processed folder: Elements of Healing(STEM, history, mutual elements, Arabic-Islamic, Hindi), testid: 2
Successfully processed folder: Elements of Healing(STEM, history, mutual elements, Arabic-Islamic, Hindi), testid: 3
Successfully processed folder: Symbol of Prosperity(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Symbol of Prosperity(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Symbol of Prosperity(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Symbol of Prosperity(food, history, metaphor, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Essence of Stability(STEM, history, relation, Non-English European, English), testid: 0
Successfully processed folder: Essence of Stability(STEM, history, relation, Non-English European, English), testid: 1
Successfully processed folder: Essence of Stability(STEM, history, relation, Non-English European, English), testid: 2
Successfully processed folder: Essence of Stability(STEM, history, relation, Non-English European, English), testid: 3
Successfully processed folder: Duality of Creation(history, phenomenon, mutual elements, Arabic-Islamic, Arabic), testid: 0
Successfully processed folder: Duality of Creation(history, phenomenon, mutual elements, Arabic-Islamic, Arabic), testid: 1
Successfully processed folder: Duality of Creation(history, phenomenon, mutual elements, Arabic-Islamic, Arabic), testid: 2
Successfully processed folder: Duality of Creation(history, phenomenon, mutual elements, Arabic-Islamic, Arabic), testid: 3
Successfully processed folder: Foundation of Progress(STEM, food, relation, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Foundation of Progress(STEM, food, relation, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Foundation of Progress(STEM, food, relation, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Foundation of Progress(STEM, food, relation, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Interdependence of Sun and Soil(food, phenomenon, mutual elements, NA, English), testid: 0
Successfully processed folder: Interdependence of Sun and Soil(food, phenomenon, mutual elements, NA, English), testid: 1
Successfully processed folder: Interdependence of Sun and Soil(food, phenomenon, mutual elements, NA, English), testid: 2
Successfully processed folder: Interdependence of Sun and Soil(food, phenomenon, mutual elements, NA, English), testid: 3
Successfully processed folder: Symbolism of Stone and Knowledge(history, STEM, metaphor, Non-English European, Bengali), testid: 0
Successfully processed folder: Symbolism of Stone and Knowledge(history, STEM, metaphor, Non-English European, Bengali), testid: 1
Successfully processed folder: Symbolism of Stone and Knowledge(history, STEM, metaphor, Non-English European, Bengali), testid: 2
Successfully processed folder: Symbolism of Stone and Knowledge(history, STEM, metaphor, Non-English European, Bengali), testid: 3
Successfully processed folder: Cycle of Rebirth(STEM, myth, relation, NA, English), testid: 0
Successfully processed folder: Cycle of Rebirth(STEM, myth, relation, NA, English), testid: 1
Successfully processed folder: Cycle of Rebirth(STEM, myth, relation, NA, English), testid: 2
Successfully processed folder: Cycle of Rebirth(STEM, myth, relation, NA, English), testid: 3
Successfully processed folder: Harmony of Nature and Knowledge(STEM, phenomenon, relation, East Asia, Hindi), testid: 0
Successfully processed folder: Harmony of Nature and Knowledge(STEM, phenomenon, relation, East Asia, Hindi), testid: 1
Successfully processed folder: Harmony of Nature and Knowledge(STEM, phenomenon, relation, East Asia, Hindi), testid: 2
Successfully processed folder: Harmony of Nature and Knowledge(STEM, phenomenon, relation, East Asia, Hindi), testid: 3
Successfully processed folder: Strength through Unity(people, myth, mutual elements, Arabic-Islamic, English), testid: 0
Successfully processed folder: Strength through Unity(people, myth, mutual elements, Arabic-Islamic, English), testid: 1
Successfully processed folder: Strength through Unity(people, myth, mutual elements, Arabic-Islamic, English), testid: 2
Successfully processed folder: Strength through Unity(people, myth, mutual elements, Arabic-Islamic, English), testid: 3
Successfully processed folder: Roots of Knowledge_2(STEM, history, relation, Non-English European, Bengali), testid: 0
Successfully processed folder: Roots of Knowledge_2(STEM, history, relation, Non-English European, Bengali), testid: 1
Successfully processed folder: Roots of Knowledge_2(STEM, history, relation, Non-English European, Bengali), testid: 2
Successfully processed folder: Roots of Knowledge_2(STEM, history, relation, Non-English European, Bengali), testid: 3
Successfully processed folder: Flow of Wisdom(history, sense, metaphor, South Asia and South-East Asia, Hindi), testid: 0
Successfully processed folder: Flow of Wisdom(history, sense, metaphor, South Asia and South-East Asia, Hindi), testid: 1
Successfully processed folder: Flow of Wisdom(history, sense, metaphor, South Asia and South-East Asia, Hindi), testid: 2
Successfully processed folder: Flow of Wisdom(history, sense, metaphor, South Asia and South-East Asia, Hindi), testid: 3
Successfully processed folder: Growth from Hardship(STEM, phenomenon, relation, NA, English), testid: 0
Successfully processed folder: Growth from Hardship(STEM, phenomenon, relation, NA, English), testid: 1
Successfully processed folder: Growth from Hardship(STEM, phenomenon, relation, NA, English), testid: 2
Successfully processed folder: Growth from Hardship(STEM, phenomenon, relation, NA, English), testid: 3
Successfully processed folder: Inheritance of Culture(culture, food, mutual elements, Latin American, English), testid: 0
Successfully processed folder: Inheritance of Culture(culture, food, mutual elements, Latin American, English), testid: 1
Successfully processed folder: Inheritance of Culture(culture, food, mutual elements, Latin American, English), testid: 2
Successfully processed folder: Inheritance of Culture(culture, food, mutual elements, Latin American, English), testid: 3
Successfully processed folder: Survival through Adaptation(STEM, animal, relation, NA, Bengali), testid: 0
Successfully processed folder: Survival through Adaptation(STEM, animal, relation, NA, Bengali), testid: 1
Successfully processed folder: Survival through Adaptation(STEM, animal, relation, NA, Bengali), testid: 2
Successfully processed folder: Survival through Adaptation(STEM, animal, relation, NA, Bengali), testid: 3
Successfully processed folder: Parallels of Art and Mathematics(art, STEM, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Parallels of Art and Mathematics(art, STEM, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Parallels of Art and Mathematics(art, STEM, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Parallels of Art and Mathematics(art, STEM, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Echoes of Wisdom(history, STEM, relation, South Asia and South-East Asia, Hindi), testid: 0
Successfully processed folder: Echoes of Wisdom(history, STEM, relation, South Asia and South-East Asia, Hindi), testid: 1
Successfully processed folder: Echoes of Wisdom(history, STEM, relation, South Asia and South-East Asia, Hindi), testid: 2
Successfully processed folder: Echoes of Wisdom(history, STEM, relation, South Asia and South-East Asia, Hindi), testid: 3
Successfully processed folder: Balance of Elements(STEM, phenomenon, mutual elements, NA, Bengali), testid: 0
Successfully processed folder: Balance of Elements(STEM, phenomenon, mutual elements, NA, Bengali), testid: 1
Successfully processed folder: Balance of Elements(STEM, phenomenon, mutual elements, NA, Bengali), testid: 2
Successfully processed folder: Balance of Elements(STEM, phenomenon, mutual elements, NA, Bengali), testid: 3
Successfully processed folder: Metaphor of Light and Knowledge(STEM, history, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Metaphor of Light and Knowledge(STEM, history, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Metaphor of Light and Knowledge(STEM, history, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Metaphor of Light and Knowledge(STEM, history, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Cycle of Rejuvenation(STEM, phenomenon, relation, Arabic-Islamic, English), testid: 0
Successfully processed folder: Cycle of Rejuvenation(STEM, phenomenon, relation, Arabic-Islamic, English), testid: 1
Successfully processed folder: Cycle of Rejuvenation(STEM, phenomenon, relation, Arabic-Islamic, English), testid: 2
Successfully processed folder: Cycle of Rejuvenation(STEM, phenomenon, relation, Arabic-Islamic, English), testid: 3
Successfully processed folder: Parable of Time and Transformation(history, phenomenon, mutual elements, East Asia, Hindi), testid: 0
Successfully processed folder: Parable of Time and Transformation(history, phenomenon, mutual elements, East Asia, Hindi), testid: 1
Successfully processed folder: Parable of Time and Transformation(history, phenomenon, mutual elements, East Asia, Hindi), testid: 2
Successfully processed folder: Parable of Time and Transformation(history, phenomenon, mutual elements, East Asia, Hindi), testid: 3
Successfully processed folder: Cycle of Creation(history, phenomenon, relation, NA, English), testid: 0
Successfully processed folder: Cycle of Creation(history, phenomenon, relation, NA, English), testid: 1
Successfully processed folder: Cycle of Creation(history, phenomenon, relation, NA, English), testid: 2
Successfully processed folder: Cycle of Creation(history, phenomenon, relation, NA, English), testid: 3
Successfully processed folder: Transformation Through Time(history, STEM, relation, Non-English European, English), testid: 0
Successfully processed folder: Transformation Through Time(history, STEM, relation, Non-English European, English), testid: 1
Successfully processed folder: Transformation Through Time(history, STEM, relation, Non-English European, English), testid: 2
Successfully processed folder: Transformation Through Time(history, STEM, relation, Non-English European, English), testid: 3
Successfully processed folder: Balance of Existence(STEM, phenomenon, mutual elements, Arabic-Islamic, Hindi), testid: 0
Successfully processed folder: Balance of Existence(STEM, phenomenon, mutual elements, Arabic-Islamic, Hindi), testid: 1
Successfully processed folder: Balance of Existence(STEM, phenomenon, mutual elements, Arabic-Islamic, Hindi), testid: 2
Successfully processed folder: Balance of Existence(STEM, phenomenon, mutual elements, Arabic-Islamic, Hindi), testid: 3
Successfully processed folder: Infinite Time(history, phenomenon, relation, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Infinite Time(history, phenomenon, relation, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Infinite Time(history, phenomenon, relation, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Infinite Time(history, phenomenon, relation, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Layers of Learning(STEM, history, mutual elements, East Asia, English), testid: 0
Successfully processed folder: Layers of Learning(STEM, history, mutual elements, East Asia, English), testid: 1
Successfully processed folder: Layers of Learning(STEM, history, mutual elements, East Asia, English), testid: 2
Successfully processed folder: Layers of Learning(STEM, history, mutual elements, East Asia, English), testid: 3
Successfully processed folder: Emblems of Wealth(history, culture, relation, Arabic-Islamic, English), testid: 0
Successfully processed folder: Emblems of Wealth(history, culture, relation, Arabic-Islamic, English), testid: 1
Successfully processed folder: Emblems of Wealth(history, culture, relation, Arabic-Islamic, English), testid: 2
Successfully processed folder: Emblems of Wealth(history, culture, relation, Arabic-Islamic, English), testid: 3
Successfully processed folder: Celestial Events(history, STEM, relation, Latin American, Spanish), testid: 0
Successfully processed folder: Celestial Events(history, STEM, relation, Latin American, Spanish), testid: 1
Successfully processed folder: Celestial Events(history, STEM, relation, Latin American, Spanish), testid: 2
Successfully processed folder: Celestial Events(history, STEM, relation, Latin American, Spanish), testid: 3
Successfully processed folder: Circle of Life(STEM, myth, relation, NA, English), testid: 0
Successfully processed folder: Circle of Life(STEM, myth, relation, NA, English), testid: 1
Successfully processed folder: Circle of Life(STEM, myth, relation, NA, English), testid: 2
Successfully processed folder: Circle of Life(STEM, myth, relation, NA, English), testid: 3
Successfully processed folder: Resilience Through Adversity(STEM, phenomenon, relation, NA, Bengali), testid: 0
Successfully processed folder: Resilience Through Adversity(STEM, phenomenon, relation, NA, Bengali), testid: 1
Successfully processed folder: Resilience Through Adversity(STEM, phenomenon, relation, NA, Bengali), testid: 2
Successfully processed folder: Resilience Through Adversity(STEM, phenomenon, relation, NA, Bengali), testid: 3
Successfully processed folder: Interconnectedness of Knowledge(STEM, history, mutual elements, East Asia, Hindi), testid: 0
Successfully processed folder: Interconnectedness of Knowledge(STEM, history, mutual elements, East Asia, Hindi), testid: 1
Successfully processed folder: Interconnectedness of Knowledge(STEM, history, mutual elements, East Asia, Hindi), testid: 2
Successfully processed folder: Interconnectedness of Knowledge(STEM, history, mutual elements, East Asia, Hindi), testid: 3
Successfully processed folder: Duality of Existence(history, phenomenon, metaphor, Arabic-Islamic, English), testid: 0
Successfully processed folder: Duality of Existence(history, phenomenon, metaphor, Arabic-Islamic, English), testid: 1
Successfully processed folder: Duality of Existence(history, phenomenon, metaphor, Arabic-Islamic, English), testid: 2
Successfully processed folder: Duality of Existence(history, phenomenon, metaphor, Arabic-Islamic, English), testid: 3
Successfully processed folder: Evolution of Communication(STEM, history, relation, Non-English European, English), testid: 0
Successfully processed folder: Evolution of Communication(STEM, history, relation, Non-English European, English), testid: 1
Successfully processed folder: Evolution of Communication(STEM, history, relation, Non-English European, English), testid: 2
Successfully processed folder: Evolution of Communication(STEM, history, relation, Non-English European, English), testid: 3
Successfully processed folder: Metaphor of Rivers and Knowledge(STEM, history, metaphor, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Metaphor of Rivers and Knowledge(STEM, history, metaphor, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Metaphor of Rivers and Knowledge(STEM, history, metaphor, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Metaphor of Rivers and Knowledge(STEM, history, metaphor, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Symphony of Elements(STEM, music, mutual elements, NA, English), testid: 0
Successfully processed folder: Symphony of Elements(STEM, music, mutual elements, NA, English), testid: 1
Successfully processed folder: Symphony of Elements(STEM, music, mutual elements, NA, English), testid: 2
Successfully processed folder: Symphony of Elements(STEM, music, mutual elements, NA, English), testid: 3
Successfully processed folder: Bridge Between Worlds(STEM, culture, relation, East Asia, Hindi), testid: 0
Successfully processed folder: Bridge Between Worlds(STEM, culture, relation, East Asia, Hindi), testid: 1
Successfully processed folder: Bridge Between Worlds(STEM, culture, relation, East Asia, Hindi), testid: 2
Successfully processed folder: Bridge Between Worlds(STEM, culture, relation, East Asia, Hindi), testid: 3
Successfully processed folder: Cycle of Harvest(food, history, relation, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Cycle of Harvest(food, history, relation, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Cycle of Harvest(food, history, relation, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Cycle of Harvest(food, history, relation, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Harmony in Architecture(STEM, art, mutual elements, Non-English European, English), testid: 0
Successfully processed folder: Harmony in Architecture(STEM, art, mutual elements, Non-English European, English), testid: 1
Successfully processed folder: Harmony in Architecture(STEM, art, mutual elements, Non-English European, English), testid: 2
Successfully processed folder: Harmony in Architecture(STEM, art, mutual elements, Non-English European, English), testid: 3
Successfully processed folder: Heirloom Recipes(food, history, relation, South Asia and South-East Asia, Bengali), testid: 0
Successfully processed folder: Heirloom Recipes(food, history, relation, South Asia and South-East Asia, Bengali), testid: 1
Successfully processed folder: Heirloom Recipes(food, history, relation, South Asia and South-East Asia, Bengali), testid: 2
Successfully processed folder: Heirloom Recipes(food, history, relation, South Asia and South-East Asia, Bengali), testid: 3
Successfully processed folder: Flow of Time(history, culture, relation, South Asia and South-East Asia, Hindi), testid: 0
Successfully processed folder: Flow of Time(history, culture, relation, South Asia and South-East Asia, Hindi), testid: 1
Successfully processed folder: Flow of Time(history, culture, relation, South Asia and South-East Asia, Hindi), testid: 2
Successfully processed folder: Flow of Time(history, culture, relation, South Asia and South-East Asia, Hindi), testid: 3
Successfully processed folder: Natural Rebirth(STEM, history, mutual elements, NA, English), testid: 0
Successfully processed folder: Natural Rebirth(STEM, history, mutual elements, NA, English), testid: 1
Successfully processed folder: Natural Rebirth(STEM, history, mutual elements, NA, English), testid: 2
Successfully processed folder: Natural Rebirth(STEM, history, mutual elements, NA, English), testid: 3
Successfully processed folder: Elderly Knowledge(history, ability, mutual elements, Non-English European, English), testid: 0
Successfully processed folder: Elderly Knowledge(history, ability, mutual elements, Non-English European, English), testid: 1
Successfully processed folder: Elderly Knowledge(history, ability, mutual elements, Non-English European, English), testid: 2
Successfully processed folder: Elderly Knowledge(history, ability, mutual elements, Non-English European, English), testid: 3
Successfully processed folder: Emotional Resonance(music, phenomenon, mutual elements, Latin American, English), testid: 0
Successfully processed folder: Emotional Resonance(music, phenomenon, mutual elements, Latin American, English), testid: 1
Successfully processed folder: Emotional Resonance(music, phenomenon, mutual elements, Latin American, English), testid: 2
Successfully processed folder: Emotional Resonance(music, phenomenon, mutual elements, Latin American, English), testid: 3
