Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English)
Skipping already processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English)
Skipping already processed folder: Hanoi(invisible, country, mutual elements, NA, English)
Skipping already processed folder: Japan(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: TraditionalJapan(visible, country, metaphor, East Asia, English)
Skipping already processed folder: JapaneseCulture(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: ModernKoreanCulture(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: KoreanNationalIdentity(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: PopularDishInKorea(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: Briefcase and Briefcase(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Startup(invisible, business, mutual elements, NA, English)
Skipping already processed folder: OnlinePurchase(invisible, business, relation, NA, English)
Skipping already processed folder: market data(invisible, business, relation, NA, English)
Skipping already processed folder: TargetAudienceImage(invisible, business, relation, NA, English)
Skipping already processed folder: Hearing(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Sight(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Smell(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Taste(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Touch(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Supply and demand(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Shark Tank(invisible, business, mutual elements, NA, English)
Skipping already processed folder: SWOT analysis(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Blue chip stock(invisible, business, mutual elements, NA, English)
Skipping already processed folder: IPO(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Merger(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Acquisition(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Leverage(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Due diligence(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Karashi(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Wabi-sabi(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Yugen(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Aromatico(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Amaro(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Piccante(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Udito(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Jeong(invisible, sense, mutual elements, East Asia, Korean)
Skipping already processed folder: Tokyo(visible, city, mutual elements, East Asia, English)
Skipping already processed folder: Venice(visible, city, mutual elements, NA, English)
Skipping already processed folder: India(visible, city, mutual elements, NA, English)
Skipping already processed folder: Rio de Janeiro(visible, city, mutual elements, NA, English)
Skipping already processed folder: Beijing(visible, city, mutual elements, NA, English)
Skipping already processed folder: New York City(visible, city, mutual elements, NA, English)
Skipping already processed folder: Sydney(visible, city, mutual elements, NA, English)
Skipping already processed folder: Egypt - Giza(visible, city, mutual elements, NA, English)
Skipping already processed folder: Rome(visible, city, mutual elements, NA, English)
Skipping already processed folder: Istanbul(visible, city, mutual elements, NA, English)
Skipping already processed folder: Toronto(visible, city, mutual elements, NA, English)
Skipping already processed folder: Berlin(visible, city, mutual elements, NA, English)
Skipping already processed folder: Dubai(visible, city, mutual elements, NA, English)
Skipping already processed folder: San Francisco(visible, city, mutual elements, NA, English)
Skipping already processed folder: Brussels(visible, city, mutual elements, NA, English)
Skipping already processed folder: Bhutan(visible, country, mutual elements, NA, English)
Skipping already processed folder: Madagascar(visible, country, mutual elements, NA, English)
Skipping already processed folder: Mongolia(visible, country, mutual elements, NA, English)
Skipping already processed folder: Nepal(visible, country, mutual elements, NA, English)
Skipping already processed folder: Uzbekistan(visible, country, mutual elements, NA, English)
Skipping already processed folder: Samoa(visible, country, mutual elements, NA, English)
Skipping already processed folder: Ogni paese ha l'usanza sua(invisible, country, mutual elements, Non-English European, Italian)
Skipping already processed folder: Roma non fu fatta in un giorno(invisible, country, mutual elements, Non-English European, Italian)
Skipping already processed folder: A goccia a goccia si scava la pietra(invisible, STEM, mutual elements, Non-English European, Italian)
Skipping already processed folder: Misura due volte, taglia una(invisible, STEM, mutual elements, Non-English European, Italian)
Skipping already processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Networking Event(visible, business, mutual elements, NA, English)
Skipping already processed folder: Supply Chain(invisible, business, relation, NA, English)
Skipping already processed folder: まだな(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: work life(invisible, business, relation, NA, English)
Skipping already processed folder: Longevity(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: rabbit by the sea(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: as tight as beef(invisible, country, metaphor, East Asia, Japanese)
Skipping already processed folder: the cat is evidence(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: work is killing me(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: Vorrei del pane, ma non del pene(invisible, country, relation, Non-English European, Italian)
Skipping already processed folder: Need some salve(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: My dog is more like a stick(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: Can't find the needle(invisible, country, relation, Non-English European, Italian)
Skipping already processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: Sole(invisible, country, relation, Non-English European, Italian)
Skipping already processed folder: Filo(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: Cough after eating(invisible, country, relation, East Asia, Korean)
Skipping already processed folder: apple and accident(invisible, country, relation, East Asia, Korean)
Skipping already processed folder: stomach and boat(invisible, country, metaphor, East Asia, Korean)
Skipping already processed folder: Looking for grass to solve(invisible, country, relation, East Asia, Korean)
Skipping already processed folder: Because this is the world(invisible, country, relation, East Asia, Korean)
Skipping already processed folder: snow and eyes(invisible, country, relation, East Asia, Korean)
Results saved to D:\python\single_test_judge\fxt\yi-vision_results.json
Skipping already processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Santorini(visible, city, mutual elements, NA, English)
Skipping already processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: New Delhi(invisible, city, mutual elements, NA, English)
Error processing folder Berlinanother(invisible, city, mutual elements, NA, English): 'HTTPResponse' object has no attribute 'text'
Skipping already processed folder: Electronics(invisible, STEM, relation, NA, English)
Skipping already processed folder: Geology(invisible, STEM, relation, NA, English)
Skipping already processed folder: Medical Imaging(invisible, STEM, relation, NA, English)
Skipping already processed folder: Strategic Decision-Making(invisible, STEM, relation, NA, English)
Skipping already processed folder: Montreal(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Proprioception(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English)
Skipping already processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English)
Skipping already processed folder: Hanoi(invisible, country, mutual elements, NA, English)
Skipping already processed folder: Japan(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: TraditionalJapan(visible, country, metaphor, East Asia, English)
Skipping already processed folder: JapaneseCulture(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: ModernKoreanCulture(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: KoreanNationalIdentity(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: PopularDishInKorea(visible, country, mutual elements, East Asia, English)
Skipping already processed folder: Briefcase and Briefcase(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Startup(invisible, business, mutual elements, NA, English)
Skipping already processed folder: OnlinePurchase(invisible, business, relation, NA, English)
Skipping already processed folder: market data(invisible, business, relation, NA, English)
Skipping already processed folder: TargetAudienceImage(invisible, business, relation, NA, English)
Skipping already processed folder: Hearing(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Sight(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Smell(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Taste(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Touch(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Supply and demand(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Shark Tank(invisible, business, mutual elements, NA, English)
Skipping already processed folder: SWOT analysis(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Blue chip stock(invisible, business, mutual elements, NA, English)
Skipping already processed folder: IPO(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Merger(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Acquisition(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Leverage(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Due diligence(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Karashi(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Wabi-sabi(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Yugen(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Aromatico(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Amaro(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Piccante(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Udito(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Jeong(invisible, sense, mutual elements, East Asia, Korean)
Skipping already processed folder: Tokyo(visible, city, mutual elements, East Asia, English)
Skipping already processed folder: Venice(visible, city, mutual elements, NA, English)
Skipping already processed folder: India(visible, city, mutual elements, NA, English)
Skipping already processed folder: Rio de Janeiro(visible, city, mutual elements, NA, English)
Skipping already processed folder: Beijing(visible, city, mutual elements, NA, English)
Skipping already processed folder: New York City(visible, city, mutual elements, NA, English)
Skipping already processed folder: Sydney(visible, city, mutual elements, NA, English)
Skipping already processed folder: Egypt - Giza(visible, city, mutual elements, NA, English)
Skipping already processed folder: Rome(visible, city, mutual elements, NA, English)
Skipping already processed folder: Istanbul(visible, city, mutual elements, NA, English)
Skipping already processed folder: Toronto(visible, city, mutual elements, NA, English)
Skipping already processed folder: Berlin(visible, city, mutual elements, NA, English)
Skipping already processed folder: Dubai(visible, city, mutual elements, NA, English)
Skipping already processed folder: San Francisco(visible, city, mutual elements, NA, English)
Skipping already processed folder: Brussels(visible, city, mutual elements, NA, English)
Skipping already processed folder: Bhutan(visible, country, mutual elements, NA, English)
Skipping already processed folder: Madagascar(visible, country, mutual elements, NA, English)
Skipping already processed folder: Mongolia(visible, country, mutual elements, NA, English)
Skipping already processed folder: Nepal(visible, country, mutual elements, NA, English)
Skipping already processed folder: Uzbekistan(visible, country, mutual elements, NA, English)
Skipping already processed folder: Samoa(visible, country, mutual elements, NA, English)
Skipping already processed folder: Ogni paese ha l'usanza sua(invisible, country, mutual elements, Non-English European, Italian)
Skipping already processed folder: Roma non fu fatta in un giorno(invisible, country, mutual elements, Non-English European, Italian)
Skipping already processed folder: A goccia a goccia si scava la pietra(invisible, STEM, mutual elements, Non-English European, Italian)
Skipping already processed folder: Misura due volte, taglia una(invisible, STEM, mutual elements, Non-English European, Italian)
Skipping already processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Networking Event(visible, business, mutual elements, NA, English)
Skipping already processed folder: Supply Chain(invisible, business, relation, NA, English)
Skipping already processed folder: まだな(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: work life(invisible, business, relation, NA, English)
Skipping already processed folder: Longevity(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: rabbit by the sea(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: as tight as beef(invisible, country, metaphor, East Asia, Japanese)
Skipping already processed folder: the cat is evidence(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: work is killing me(invisible, country, relation, East Asia, Japanese)
Skipping already processed folder: Vorrei del pane, ma non del pene(invisible, country, relation, Non-English European, Italian)
Skipping already processed folder: Need some salve(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: My dog is more like a stick(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: Can't find the needle(invisible, country, relation, Non-English European, Italian)
Skipping already processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: Sole(invisible, country, relation, Non-English European, Italian)
Skipping already processed folder: Filo(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: Cough after eating(invisible, country, relation, East Asia, Korean)
Skipping already processed folder: apple and accident(invisible, country, relation, East Asia, Korean)
Skipping already processed folder: stomach and boat(invisible, country, metaphor, East Asia, Korean)
Skipping already processed folder: Looking for grass to solve(invisible, country, relation, East Asia, Korean)
Skipping already processed folder: Because this is the world(invisible, country, relation, East Asia, Korean)
Skipping already processed folder: snow and eyes(invisible, country, relation, East Asia, Korean)
Results saved to D:\python\single_test_judge\fxt\yi-vision_results.json
