Thu Mar  6 02:50:40 2025: 
处理 /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/human/incontext/1.json
Thu Mar  6 02:50:40 2025: 从 National animal (animal, mutual elements, East Asia, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 从 Dreamlike Realities another (culture, relation, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Dreamlike Realities another (culture, relation, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Daylight Saving Time another (time, mutual elements, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Daylight Saving Time another (time, mutual elements, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cinematic Inspirations (movie, relation, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cinematic Inspirations (movie, relation, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Evolution of Educational Tools another (STEM, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Evolution of Educational Tools another (STEM, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Ayurvedic Balance another (food, relation, South Asia and South-East Asia, Hindi) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Ayurvedic Balance another (food, relation, South Asia and South-East Asia, Hindi) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Proverbs or idioms and Stuffs Chinese Four another (culture, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Proverbs or idioms and Stuffs Chinese Four another (culture, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of football another (country, relation, Non-English European, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of football another (country, relation, Non-English European, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 From Simple to Complex (number, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 From Simple to Complex (number, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Biónica (animal, metaphor, East Asia, Spanish) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Biónica (animal, metaphor, East Asia, Spanish) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of Nigeriafootball (animal, relation, other, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of Nigeriafootball (animal, relation, other, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 बायोनिक्स another (STEM, metaphor, NA, Hindi) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 बायोनिक्स another (STEM, metaphor, NA, Hindi) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 仿生学 (animal, metaphor, NA, Chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 仿生学 (animal, metaphor, NA, Chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of city football2 (animal, relation, Non-English European, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of city football2 (animal, relation, Non-English European, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Internet Hot Spot Chinese Four another (culture, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Internet Hot Spot Chinese Four another (culture, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Proverbs or idioms and Stuffs Chinese Tow (stuff, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Proverbs or idioms and Stuffs Chinese Tow (stuff, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Influence in Cuisine (food, mutual element, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Influence in Cuisine (food, mutual element, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Internet Hot Spot Chinese (stuff, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Internet Hot Spot Chinese (stuff, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Dynamics another (city, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Dynamics another (city, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Training and Improving (food, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Training and Improving (food, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Advancements in Food Preservation for Exploration (food, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Advancements in Food Preservation for Exploration (food, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Foods that are produced in the same city (location, mutual elements, Latin American, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Foods that are produced in the same city (location, mutual elements, Latin American, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 The passage of time (phenomenon, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 The passage of time (phenomenon, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Impact of Climate Change another (phenomenon, mutual elements, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Impact of Climate Change another (phenomenon, mutual elements, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Dreamlike Realities (movie, relation, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Dreamlike Realities (movie, relation, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Transformation of housing (people, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Transformation of housing (people, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Contrasting Social Dynamics (country, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Contrasting Social Dynamics (country, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of Spanish football another (country, relation, Non-English European, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of Spanish football another (country, relation, Non-English European, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Environmental Protection (country, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Environmental Protection (country, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 National animal another (location, mutual elements, East Asia, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 National animal another (location, mutual elements, East Asia, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Economic Systems another (city, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Economic Systems another (city, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Proverbs or idioms and Stuffs Chinese Three (stuff, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Proverbs or idioms and Stuffs Chinese Three (stuff, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Symbols ofhorse (city, relation, Non-English European, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Symbols ofhorse (city, relation, Non-English European, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Internet Hot Spot Chinese Six another (culture, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Internet Hot Spot Chinese Six another (culture, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cycle (number, mutual elements, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cycle (number, mutual elements, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Historical Development of Writing Tools (history, relation, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Historical Development of Writing Tools (history, relation, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 猴子捞月 (animal, metaphor, East Asia, Chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 猴子捞月 (animal, metaphor, East Asia, Chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of Koreanfootball (animal, relation, East Asia, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of Koreanfootball (animal, relation, East Asia, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of Australianfootball another (country, relation, other, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of Australianfootball another (country, relation, other, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Energy Conversion another (phenomenon, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Energy Conversion another (phenomenon, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Architectural influence another (location, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Architectural influence another (location, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Emotional Atmospheres (country, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Emotional Atmospheres (country, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Proverbs or idioms and Stuffs Chinese Seven another (culture, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Proverbs or idioms and Stuffs Chinese Seven another (culture, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Precise Timing And Conditions another (sports, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Precise Timing And Conditions another (sports, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Biomimicry another (STEM, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Biomimicry another (STEM, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Fusion of Traditional and Modern Techniques another (STEM, mutual element, NA, Hindi) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Fusion of Traditional and Modern Techniques another (STEM, mutual element, NA, Hindi) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Magic another (phenomenon, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Magic another (phenomenon, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Development of Fast Food Industry another (history, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Development of Fast Food Industry another (history, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Symbolic Marking of Time another (STEM, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Symbolic Marking of Time another (STEM, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 An apple a day keeps the doctor away (number, metaphor, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 An apple a day keeps the doctor away (number, metaphor, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Heroic Journeys another (stuff, relation, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Heroic Journeys another (stuff, relation, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Battle Royale Mechanics another (cartoon or game, mutual elements, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Battle Royale Mechanics another (cartoon or game, mutual elements, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Musical evolution another (music, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Musical evolution another (music, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Influence in Cuisine another (history, mutual element, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Influence in Cuisine another (history, mutual element, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Mathematical Principles in Building Design another (history, relation, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Mathematical Principles in Building Design another (history, relation, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Items and Evolution One another (stuff, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Items and Evolution One another (stuff, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Entropy Increase another (STEM, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Entropy Increase another (STEM, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of Spanish football (animal, relation, Non-English European, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of Spanish football (animal, relation, Non-English European, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Landmarks and Their Associated Historical Figures another (location, relation, East Asia, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Landmarks and Their Associated Historical Figures another (location, relation, East Asia, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Symbols of horse (city, relation, Non-English European, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Symbols of horse (city, relation, Non-English European, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Environmental Practices (country, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Environmental Practices (country, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Famous Symbols (city, relation, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Famous Symbols (city, relation, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Biomimicry (animal, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Biomimicry (animal, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Contrasting Social Dynamics another (city, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Contrasting Social Dynamics another (city, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Creature Collection Dynamics another (cartoon or game, mutual elements, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Creature Collection Dynamics another (cartoon or game, mutual elements, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Racing Mechanics another (cartoon or game, relation, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Racing Mechanics another (cartoon or game, relation, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Time Difference another (time, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Time Difference another (time, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of Argentina football another (country, relation, Latin American, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of Argentina football another (country, relation, Latin American, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 The Gravity another (phenomenon, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 The Gravity another (phenomenon, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of Cameroon football another (country, relation, other, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of Cameroon football another (country, relation, other, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 忍者 (culture, mutual elements, East Asia, Japanese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 忍者 (culture, mutual elements, East Asia, Japanese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Weather Phenomena Transformation (phenomenon, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Weather Phenomena Transformation (phenomenon, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Colorful flame reactions (phenomenon, mutual elements, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Colorful flame reactions (phenomenon, mutual elements, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Classic Arcade Mechanics (cartoon or game, mutual elements, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Classic Arcade Mechanics (cartoon or game, mutual elements, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Contributions to the Economy (country, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Contributions to the Economy (country, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Foods that are produced in the same city another (location, mutual elements, Latin American, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Foods that are produced in the same city another (location, mutual elements, Latin American, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Dangerous Areas Associated with Transportation another (location, relation, other, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Dangerous Areas Associated with Transportation another (location, relation, other, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Numerical homophones and cultural significance (number, mutual elements, East Asia, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Numerical homophones and cultural significance (number, mutual elements, East Asia, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 NumericalSystem (location, metaphor, Arabic-Islamic, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 NumericalSystem (location, metaphor, Arabic-Islamic, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Proverbs or idioms and Stuffs Chinese One another (culture, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Proverbs or idioms and Stuffs Chinese One another (culture, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Elements of city football another (city, relation, Non-English European, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Elements of city football another (city, relation, Non-English European, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Internet Hot Spot Chinese Seven (stuff, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Internet Hot Spot Chinese Seven (stuff, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Numerical symbolism and cultural significance (number, relation, East Asia, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Numerical symbolism and cultural significance (number, relation, East Asia, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Magic (phenomenon, metaphor, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Magic (phenomenon, metaphor, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Contrasting Approaches another (city, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Contrasting Approaches another (city, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Cultural Dynamics (country, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Cultural Dynamics (country, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Change in methods driving productivity development another (STEM, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Change in methods driving productivity development another (STEM, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Heroic Journeys (movie, relation, USAEnglish, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Heroic Journeys (movie, relation, USAEnglish, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Topological Transformation (animal, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Topological Transformation (animal, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Items and Evolution Five another (stuff, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Items and Evolution Five another (stuff, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Fighting Game Mechanics another (cartoon or game, mutual elements, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Fighting Game Mechanics another (cartoon or game, mutual elements, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Items and Evolution Four another (stuff, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Items and Evolution Four another (stuff, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Items and Evolution (stuff, relation, NA, English) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Items and Evolution (stuff, relation, NA, English) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Internet Hot Spot Chinese Eight (stuff, metaphor, East Asia, chinese) 提取数据时出错: 'images'
Thu Mar  6 02:50:40 2025: 错误: 期望 Internet Hot Spot Chinese Eight (stuff, metaphor, East Asia, chinese) 有4个任务，得到 0
Thu Mar  6 02:50:40 2025: 从 Internet Hot Spot Chinese Eight another (culture, metaphor, East Asia, chinese) 提取数据时出错: 'images'
