Successfully processed folder: Cinematic Inspirations (movie, sense, relation, USAEnglish, English), testid: 0
Successfully processed folder: Psychological Thrillers (movie, sense, relation, NA, English), testid: 0
Successfully processed folder: Psychological Thrillers (movie, sense, relation, NA, English), testid: 1
Successfully processed folder: Psychological Thrillers (movie, sense, relation, NA, English), testid: 2
Successfully processed folder: Psychological Thrillers (movie, sense, relation, NA, English), testid: 3
Successfully processed folder: Inspiring Journeys (movie, art, relation, USAEnglish, English), testid: 0
Successfully processed folder: Inspiring Journeys (movie, art, relation, USAEnglish, English), testid: 1
Successfully processed folder: Inspiring Journeys (movie, art, relation, USAEnglish, English), testid: 2
Successfully processed folder: Inspiring Journeys (movie, art, relation, USAEnglish, English), testid: 3
Successfully processed folder: Survival Against Nature (movie, movie, relation, USAEnglish, English), testid: 0
Successfully processed folder: Survival Against Nature (movie, movie, relation, USAEnglish, English), testid: 1
Successfully processed folder: Survival Against Nature (movie, movie, relation, USAEnglish, English), testid: 2
Successfully processed folder: Survival Against Nature (movie, movie, relation, USAEnglish, English), testid: 3
Successfully processed folder: Environmental Narratives (movie, cartoon or game, relation, USAEnglish, English), testid: 0
Successfully processed folder: Environmental Narratives (movie, cartoon or game, relation, USAEnglish, English), testid: 1
Successfully processed folder: Environmental Narratives (movie, cartoon or game, relation, USAEnglish, English), testid: 2
Successfully processed folder: Environmental Narratives (movie, cartoon or game, relation, USAEnglish, English), testid: 3
Successfully processed folder: Musical Dramas (movie, art, relation, USAEnglish, English), testid: 0
Successfully processed folder: Musical Dramas (movie, art, relation, USAEnglish, English), testid: 1
Successfully processed folder: Musical Dramas (movie, art, relation, USAEnglish, English), testid: 2
Successfully processed folder: Musical Dramas (movie, art, relation, USAEnglish, English), testid: 3
Successfully processed folder: Psychological Thrillers with Serial Killers (movie, movie, relation, USAEnglish, English), testid: 0
Successfully processed folder: Psychological Thrillers with Serial Killers (movie, movie, relation, USAEnglish, English), testid: 1
Successfully processed folder: Psychological Thrillers with Serial Killers (movie, movie, relation, USAEnglish, English), testid: 2
Successfully processed folder: Psychological Thrillers with Serial Killers (movie, movie, relation, USAEnglish, English), testid: 3
Successfully processed folder: Cinematic Leaders in Historical and Cultural Contexts (movie, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Cinematic Leaders in Historical and Cultural Contexts (movie, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: Cinematic Leaders in Historical and Cultural Contexts (movie, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: Cinematic Leaders in Historical and Cultural Contexts (movie, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: Psychological Thrillers1 (movie, movie, relation, USAEnglish, English), testid: 0
Successfully processed folder: Psychological Thrillers1 (movie, movie, relation, USAEnglish, English), testid: 1
Successfully processed folder: Psychological Thrillers1 (movie, movie, relation, USAEnglish, English), testid: 2
Successfully processed folder: Psychological Thrillers1 (movie, movie, relation, USAEnglish, English), testid: 3
Successfully processed folder: Epic Battles for Freedom (movie, culture, relation, USAEnglish, English), testid: 0
Successfully processed folder: Epic Battles for Freedom (movie, culture, relation, USAEnglish, English), testid: 1
Successfully processed folder: Epic Battles for Freedom (movie, culture, relation, USAEnglish, English), testid: 2
Successfully processed folder: Epic Battles for Freedom (movie, culture, relation, USAEnglish, English), testid: 3
Successfully processed folder: Complex Relationships (movie, art, relation, NA, English), testid: 0
Successfully processed folder: Complex Relationships (movie, art, relation, NA, English), testid: 1
Successfully processed folder: Complex Relationships (movie, art, relation, NA, English), testid: 2
Successfully processed folder: Complex Relationships (movie, art, relation, NA, English), testid: 3
Successfully processed folder: Heroic Journeys (movie, stuff, relation, USAEnglish, English), testid: 0
Successfully processed folder: Heroic Journeys (movie, stuff, relation, USAEnglish, English), testid: 1
Successfully processed folder: Heroic Journeys (movie, stuff, relation, USAEnglish, English), testid: 2
Successfully processed folder: Heroic Journeys (movie, stuff, relation, USAEnglish, English), testid: 3
Successfully processed folder: Cinematic Adaptations (movie, art, relation, USAEnglish, English), testid: 0
Successfully processed folder: Cinematic Adaptations (movie, art, relation, USAEnglish, English), testid: 1
Successfully processed folder: Cinematic Adaptations (movie, art, relation, USAEnglish, English), testid: 2
Successfully processed folder: Cinematic Adaptations (movie, art, relation, USAEnglish, English), testid: 3
Successfully processed folder: Game Mechanics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Game Mechanics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Game Mechanics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Game Mechanics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Adventure Game Elements (cartoon or game, culture, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Adventure Game Elements (cartoon or game, culture, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Adventure Game Elements (cartoon or game, culture, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Adventure Game Elements (cartoon or game, culture, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Simulation Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 0
Successfully processed folder: Simulation Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 1
Successfully processed folder: Simulation Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 2
Successfully processed folder: Simulation Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 3
Successfully processed folder: Battle Royale Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 0
Successfully processed folder: Battle Royale Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 1
Successfully processed folder: Battle Royale Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 2
Successfully processed folder: Battle Royale Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 3
Successfully processed folder: Life Simulation Games (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 0
Successfully processed folder: Life Simulation Games (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 1
Successfully processed folder: Life Simulation Games (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 2
Successfully processed folder: Life Simulation Games (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 3
Successfully processed folder: First-Person Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 0
Successfully processed folder: First-Person Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 1
Successfully processed folder: First-Person Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 2
Successfully processed folder: First-Person Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 3
Successfully processed folder: Puzzle Game Dynamics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 0
Successfully processed folder: Puzzle Game Dynamics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 1
Successfully processed folder: Puzzle Game Dynamics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 2
Successfully processed folder: Puzzle Game Dynamics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 3
Successfully processed folder: Fantasy Role-Playing Elements (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 0
Successfully processed folder: Fantasy Role-Playing Elements (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 1
Successfully processed folder: Fantasy Role-Playing Elements (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 2
Successfully processed folder: Fantasy Role-Playing Elements (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 3
Successfully processed folder: Fighting Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 0
Successfully processed folder: Fighting Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 1
Successfully processed folder: Fighting Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 2
Successfully processed folder: Fighting Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 3
Successfully processed folder: MMORPG Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: MMORPG Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: MMORPG Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: MMORPG Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Action-Adventure Themes (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Action-Adventure Themes (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Action-Adventure Themes (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Action-Adventure Themes (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Team-Based Shooter Dynamics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Team-Based Shooter Dynamics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Team-Based Shooter Dynamics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Team-Based Shooter Dynamics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Open-World RPG Elements (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 0
Successfully processed folder: Open-World RPG Elements (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 1
Successfully processed folder: Open-World RPG Elements (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 2
Successfully processed folder: Open-World RPG Elements (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 3
Successfully processed folder: Classic Arcade Mechanics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Classic Arcade Mechanics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Classic Arcade Mechanics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Classic Arcade Mechanics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Sci-Fi Shooter Dynamics (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 0
Successfully processed folder: Sci-Fi Shooter Dynamics (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 1
Successfully processed folder: Sci-Fi Shooter Dynamics (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 2
Successfully processed folder: Sci-Fi Shooter Dynamics (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 3
Successfully processed folder: Survival Horror Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Survival Horror Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Survival Horror Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Survival Horror Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Creature Collection Dynamics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Creature Collection Dynamics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Creature Collection Dynamics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Creature Collection Dynamics (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: MOBA Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 0
Successfully processed folder: MOBA Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 1
Successfully processed folder: MOBA Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 2
Successfully processed folder: MOBA Game Mechanics (cartoon or game, cartoon or game, mutual elements, NA, English), testid: 3
Successfully processed folder: Stealth Action Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Stealth Action Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Stealth Action Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Stealth Action Elements (cartoon or game, cartoon or game, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Racing Mechanics (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 0
Successfully processed folder: Racing Mechanics (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 1
Successfully processed folder: Racing Mechanics (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 2
Successfully processed folder: Racing Mechanics (cartoon or game, cartoon or game, relation, USAEnglish, English), testid: 3
Successfully processed folder: Genetic lineage (people, animal, relation, NA, English), testid: 0
Successfully processed folder: Genetic lineage (people, animal, relation, NA, English), testid: 1
Successfully processed folder: Genetic lineage (people, animal, relation, NA, English), testid: 2
Successfully processed folder: Genetic lineage (people, animal, relation, NA, English), testid: 3
Successfully processed folder: Evolution of instruments (people, music, relation, NA, English), testid: 0
Successfully processed folder: Evolution of instruments (people, music, relation, NA, English), testid: 1
Successfully processed folder: Evolution of instruments (people, music, relation, NA, English), testid: 2
Successfully processed folder: Evolution of instruments (people, music, relation, NA, English), testid: 3
Successfully processed folder: Architectural influence (people, location, relation, NA, English), testid: 0
Successfully processed folder: Architectural influence (people, location, relation, NA, English), testid: 1
Successfully processed folder: Architectural influence (people, location, relation, NA, English), testid: 2
Successfully processed folder: Architectural influence (people, location, relation, NA, English), testid: 3
Successfully processed folder: Evolution of military strategy (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Evolution of military strategy (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Evolution of military strategy (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Evolution of military strategy (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Fashion trends (people, culture, relation, NA, English), testid: 0
Successfully processed folder: Fashion trends (people, culture, relation, NA, English), testid: 1
Successfully processed folder: Fashion trends (people, culture, relation, NA, English), testid: 2
Successfully processed folder: Fashion trends (people, culture, relation, NA, English), testid: 3
Successfully processed folder: Culinary evolution (people, food, relation, USAEnglish, English), testid: 0
Successfully processed folder: Culinary evolution (people, food, relation, USAEnglish, English), testid: 1
Successfully processed folder: Culinary evolution (people, food, relation, USAEnglish, English), testid: 2
Successfully processed folder: Culinary evolution (people, food, relation, USAEnglish, English), testid: 3
Successfully processed folder: Evolution of storytelling (people, movie, relation, NA, English), testid: 0
Successfully processed folder: Evolution of storytelling (people, movie, relation, NA, English), testid: 1
Successfully processed folder: Evolution of storytelling (people, movie, relation, NA, English), testid: 2
Successfully processed folder: Evolution of storytelling (people, movie, relation, NA, English), testid: 3
Successfully processed folder: Communication evolution (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Communication evolution (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Communication evolution (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Communication evolution (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Spiritual practices (people, culture, relation, NA, English), testid: 0
Successfully processed folder: Spiritual practices (people, culture, relation, NA, English), testid: 1
Successfully processed folder: Spiritual practices (people, culture, relation, NA, English), testid: 2
Successfully processed folder: Spiritual practices (people, culture, relation, NA, English), testid: 3
Successfully processed folder: Transportation evolution (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Transportation evolution (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Transportation evolution (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Transportation evolution (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Evolution of governance (people, history, relation, NA, English), testid: 0
Successfully processed folder: Evolution of governance (people, history, relation, NA, English), testid: 1
Successfully processed folder: Evolution of governance (people, history, relation, NA, English), testid: 2
Successfully processed folder: Evolution of governance (people, history, relation, NA, English), testid: 3
Successfully processed folder: Artistic expression (people, art, relation, NA, English), testid: 0
Successfully processed folder: Artistic expression (people, art, relation, NA, English), testid: 1
Successfully processed folder: Artistic expression (people, art, relation, NA, English), testid: 2
Successfully processed folder: Artistic expression (people, art, relation, NA, English), testid: 3
Successfully processed folder: Scientific discovery (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Scientific discovery (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Scientific discovery (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Scientific discovery (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Musical evolution (people, music, relation, NA, English), testid: 0
Successfully processed folder: Musical evolution (people, music, relation, NA, English), testid: 1
Successfully processed folder: Musical evolution (people, music, relation, NA, English), testid: 2
Successfully processed folder: Musical evolution (people, music, relation, NA, English), testid: 3
Successfully processed folder: Educational practices (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Educational practices (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Educational practices (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Educational practices (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Language development (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Language development (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Language development (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Language development (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Agricultural techniques (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Agricultural techniques (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Agricultural techniques (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Agricultural techniques (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Political movements (people, culture, relation, NA, English), testid: 0
Successfully processed folder: Political movements (people, culture, relation, NA, English), testid: 1
Successfully processed folder: Political movements (people, culture, relation, NA, English), testid: 2
Successfully processed folder: Political movements (people, culture, relation, NA, English), testid: 3
Successfully processed folder: Economic systems (people, business, relation, NA, English), testid: 0
Successfully processed folder: Economic systems (people, business, relation, NA, English), testid: 1
Successfully processed folder: Economic systems (people, business, relation, NA, English), testid: 2
Successfully processed folder: Economic systems (people, business, relation, NA, English), testid: 3
Successfully processed folder: Cultural impact on fashion (people, culture, relation, NA, English), testid: 0
Successfully processed folder: Cultural impact on fashion (people, culture, relation, NA, English), testid: 1
Successfully processed folder: Cultural impact on fashion (people, culture, relation, NA, English), testid: 2
Successfully processed folder: Cultural impact on fashion (people, culture, relation, NA, English), testid: 3
Successfully processed folder: Evolution of communication methods (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Evolution of communication methods (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Evolution of communication methods (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Evolution of communication methods (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Influence of literature (people, art, relation, NA, English), testid: 0
Successfully processed folder: Influence of literature (people, art, relation, NA, English), testid: 1
Successfully processed folder: Influence of literature (people, art, relation, NA, English), testid: 2
Successfully processed folder: Influence of literature (people, art, relation, NA, English), testid: 3
Successfully processed folder: Changes in social hierarchy (people, history, relation, NA, English), testid: 0
Successfully processed folder: Changes in social hierarchy (people, history, relation, NA, English), testid: 1
Successfully processed folder: Changes in social hierarchy (people, history, relation, NA, English), testid: 2
Successfully processed folder: Changes in social hierarchy (people, history, relation, NA, English), testid: 3
Successfully processed folder: Transformation of leisure activities (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Transformation of leisure activities (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Transformation of leisure activities (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Transformation of leisure activities (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Development of transportation (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Development of transportation (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Development of transportation (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Development of transportation (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Transformation of education systems (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Transformation of education systems (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Transformation of education systems (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Transformation of education systems (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Evolution of healthcare (people, STEM, relation, NA, English), testid: 0
Successfully processed folder: Evolution of healthcare (people, STEM, relation, NA, English), testid: 1
Successfully processed folder: Evolution of healthcare (people, STEM, relation, NA, English), testid: 2
Successfully processed folder: Evolution of healthcare (people, STEM, relation, NA, English), testid: 3
Successfully processed folder: Changes in food consumption (people, food, relation, NA, English), testid: 0
Successfully processed folder: Changes in food consumption (people, food, relation, NA, English), testid: 1
Successfully processed folder: Changes in food consumption (people, food, relation, NA, English), testid: 2
Successfully processed folder: Changes in food consumption (people, food, relation, NA, English), testid: 3
Successfully processed folder: Transformation of housing (people, location, relation, NA, English), testid: 0
Successfully processed folder: Transformation of housing (people, location, relation, NA, English), testid: 1
Successfully processed folder: Transformation of housing (people, location, relation, NA, English), testid: 2
Successfully processed folder: Transformation of housing (people, location, relation, NA, English), testid: 3
Successfully processed folder: Transformation or Adaptation (movie, art, relation, NA, English), testid: 0
Successfully processed folder: Transformation or Adaptation (movie, art, relation, NA, English), testid: 1
Successfully processed folder: Transformation or Adaptation (movie, art, relation, NA, English), testid: 2
Successfully processed folder: Transformation or Adaptation (movie, art, relation, NA, English), testid: 3
Successfully processed folder: Evolution of Style (movie, time, relation, NA, English), testid: 0
Successfully processed folder: Evolution of Style (movie, time, relation, NA, English), testid: 1
Successfully processed folder: Evolution of Style (movie, time, relation, NA, English), testid: 2
Successfully processed folder: Evolution of Style (movie, time, relation, NA, English), testid: 3
Successfully processed folder: Symbolic Representation (movie, STEM, relation, NA, English), testid: 0
Successfully processed folder: Symbolic Representation (movie, STEM, relation, NA, English), testid: 1
Successfully processed folder: Symbolic Representation (movie, STEM, relation, NA, English), testid: 2
Successfully processed folder: Symbolic Representation (movie, STEM, relation, NA, English), testid: 3
Successfully processed folder: Cultural Interpretation (movie, culture, relation, NA, English), testid: 0
Successfully processed folder: Cultural Interpretation (movie, culture, relation, NA, English), testid: 1
Successfully processed folder: Cultural Interpretation (movie, culture, relation, NA, English), testid: 2
Successfully processed folder: Cultural Interpretation (movie, culture, relation, NA, English), testid: 3
Successfully processed folder: Technological Progress (movie, STEM, relation, NA, English), testid: 0
Successfully processed folder: Technological Progress (movie, STEM, relation, NA, English), testid: 1
Successfully processed folder: Technological Progress (movie, STEM, relation, NA, English), testid: 2
Successfully processed folder: Technological Progress (movie, STEM, relation, NA, English), testid: 3
Successfully processed folder: Historical Context (movie, history, relation, NA, English), testid: 0
Successfully processed folder: Historical Context (movie, history, relation, NA, English), testid: 1
Successfully processed folder: Historical Context (movie, history, relation, NA, English), testid: 2
Successfully processed folder: Historical Context (movie, history, relation, NA, English), testid: 3
Successfully processed folder: Architectural Influence1 (movie, location, relation, NA, English), testid: 0
Successfully processed folder: Architectural Influence1 (movie, location, relation, NA, English), testid: 1
Successfully processed folder: Architectural Influence1 (movie, location, relation, NA, English), testid: 2
Successfully processed folder: Architectural Influence1 (movie, location, relation, NA, English), testid: 3
Successfully processed folder: Mood and Emotion (movie, sense, relation, NA, English), testid: 0
Successfully processed folder: Mood and Emotion (movie, sense, relation, NA, English), testid: 1
Successfully processed folder: Mood and Emotion (movie, sense, relation, NA, English), testid: 2
Successfully processed folder: Mood and Emotion (movie, sense, relation, NA, English), testid: 3
Successfully processed folder: Mythological Elements (movie, myth, relation, NA, English), testid: 0
Successfully processed folder: Mythological Elements (movie, myth, relation, NA, English), testid: 1
Successfully processed folder: Mythological Elements (movie, myth, relation, NA, English), testid: 2
Successfully processed folder: Mythological Elements (movie, myth, relation, NA, English), testid: 3
Successfully processed folder: Evolution of Characters (movie, art, relation, NA, English), testid: 0
Successfully processed folder: Evolution of Characters (movie, art, relation, NA, English), testid: 1
Successfully processed folder: Evolution of Characters (movie, art, relation, NA, English), testid: 2
Successfully processed folder: Evolution of Characters (movie, art, relation, NA, English), testid: 3
Successfully processed folder: Depiction of Nature (movie, animal, relation, NA, English), testid: 0
Successfully processed folder: Depiction of Nature (movie, animal, relation, NA, English), testid: 1
Successfully processed folder: Depiction of Nature (movie, animal, relation, NA, English), testid: 2
Successfully processed folder: Depiction of Nature (movie, animal, relation, NA, English), testid: 3
Successfully processed folder: Cross-cultural Narratives (movie, cartoon or game, relation, NA, English), testid: 0
Successfully processed folder: Cross-cultural Narratives (movie, cartoon or game, relation, NA, English), testid: 1
Successfully processed folder: Cross-cultural Narratives (movie, cartoon or game, relation, NA, English), testid: 2
Successfully processed folder: Cross-cultural Narratives (movie, cartoon or game, relation, NA, English), testid: 3
Successfully processed folder: Depiction of Nature1 (movie, animal, relation, NA, English), testid: 0
Successfully processed folder: Depiction of Nature1 (movie, animal, relation, NA, English), testid: 1
Successfully processed folder: Depiction of Nature1 (movie, animal, relation, NA, English), testid: 2
Successfully processed folder: Depiction of Nature1 (movie, animal, relation, NA, English), testid: 3
