Judge results for folder talking ability(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Cryptography(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Cryptography(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Cryptography(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Cryptography(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Cryptography(invisible, ability, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Cryptography(invisible, ability, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Artificial Intelligence(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Artificial Intelligence(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Artificial Intelligence(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Artificial Intelligence(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Artificial Intelligence(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder repeat function(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder repeat function(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder repeat function(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder repeat function(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder repeat function(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder the range of capacity(visible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder the range of capacity(visible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder the range of capacity(visible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder the range of capacity(visible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder the range of capacity(visible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder EasilyBroken(invisible, ability, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder EasilyBroken(invisible, ability, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder EasilyBroken(invisible, ability, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder EasilyBroken(invisible, ability, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder EasilyBroken(invisible, ability, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Sun dog(invisible, phenomenon, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Sun dog(invisible, phenomenon, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Sun dog(invisible, phenomenon, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Sun dog(invisible, phenomenon, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Sun dog(invisible, phenomenon, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Earthquake(invisible, phenomenon, relation, NA, English), judgeid 1 updated.
Judge results for folder Earthquake(invisible, phenomenon, relation, NA, English), judgeid 2 updated.
Judge results for folder Earthquake(invisible, phenomenon, relation, NA, English), judgeid 3 updated.
Judge results for folder Migration(invisible, phenomenon, relation, NA, English), judgeid 1 updated.
Judge results for folder Migration(invisible, phenomenon, relation, NA, English), judgeid 3 updated.
Judge results for folder Light pillar(invisible, phenomenon, relation, NA, English), judgeid 1 updated.
Judge results for folder Light pillar(invisible, phenomenon, relation, NA, English), judgeid 2 updated.
Judge results for folder Light pillar(invisible, phenomenon, relation, NA, English), judgeid 3 updated.
Judge results for folder Light pillar(invisible, phenomenon, relation, NA, English), judgeid 4 updated.
Judge results for folder Light pillar(invisible, phenomenon, relation, NA, English), judgeid 5 updated.
Judge results for folder Cancel Culture(invisible, phenomenon, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Cancel Culture(invisible, phenomenon, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Viral Trend(invisible, phenomenon, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Viral Trend(invisible, phenomenon, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Viral Trend(invisible, phenomenon, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Viral Trend(invisible, phenomenon, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Viral Trend(invisible, phenomenon, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder reinforce opinions(invisible, phenomenon, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder reinforce opinions(invisible, phenomenon, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder reinforce opinions(invisible, phenomenon, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Influencer Marketing(invisible, phenomenon, relation, NA, English), judgeid 1 updated.
Judge results for folder Influencer Marketing(invisible, phenomenon, relation, NA, English), judgeid 2 updated.
Judge results for folder Influencer Marketing(invisible, phenomenon, relation, NA, English), judgeid 3 updated.
Judge results for folder Greenhouse effect(invisible, phenomenon, relation, NA, English), judgeid 1 updated.
Judge results for folder Greenhouse effect(invisible, phenomenon, relation, NA, English), judgeid 2 updated.
Judge results for folder Greenhouse effect(invisible, phenomenon, relation, NA, English), judgeid 3 updated.
Judge results for folder Greenhouse effect(invisible, phenomenon, relation, NA, English), judgeid 4 updated.
Judge results for folder Greenhouse effect(invisible, phenomenon, relation, NA, English), judgeid 5 updated.
Judge results for folder Magna Carta(invisible, phenomenon, relation, NA, English), judgeid 1 updated.
Judge results for folder Magna Carta(invisible, phenomenon, relation, NA, English), judgeid 2 updated.
Judge results for folder Magna Carta(invisible, phenomenon, relation, NA, English), judgeid 3 updated.
Judge results for folder Magna Carta(invisible, phenomenon, relation, NA, English), judgeid 4 updated.
Judge results for folder Magna Carta(invisible, phenomenon, relation, NA, English), judgeid 5 updated.
Judge results for folder Prayer(invisible, phenomenon, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Prayer(invisible, phenomenon, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Prayer(invisible, phenomenon, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Stille Wasser sind tief(invisible, phenomenon, metaphor, Non-English European, German), judgeid 1 updated.
Judge results for folder Stille Wasser sind tief(invisible, phenomenon, metaphor, Non-English European, German), judgeid 2 updated.
Judge results for folder Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), judgeid 1 updated.
Judge results for folder Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), judgeid 2 updated.
Judge results for folder Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), judgeid 3 updated.
Judge results for folder Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), judgeid 4 updated.
Judge results for folder Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), judgeid 5 updated.
Judge results for folder Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), judgeid 1 updated.
Judge results for folder Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), judgeid 2 updated.
Judge results for folder Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), judgeid 3 updated.
Judge results for folder Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), judgeid 4 updated.
Judge results for folder Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), judgeid 5 updated.
Judge results for folder Übung macht den Meister.(invisible, ability, metaphor, Non-English European, German), judgeid 1 updated.
Judge results for folder Übung macht den Meister.(invisible, ability, metaphor, Non-English European, German), judgeid 2 updated.
Judge results for folder Übung macht den Meister.(invisible, ability, metaphor, Non-English European, German), judgeid 3 updated.
Judge results for folder Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), judgeid 1 updated.
Judge results for folder Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), judgeid 2 updated.
Judge results for folder Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), judgeid 3 updated.
Judge results for folder Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), judgeid 4 updated.
Judge results for folder Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), judgeid 5 updated.
Judge results for folder Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), judgeid 1 updated.
Judge results for folder Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), judgeid 2 updated.
Judge results for folder Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), judgeid 3 updated.
Judge results for folder Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), judgeid 4 updated.
Judge results for folder Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), judgeid 5 updated.
Judge results for folder Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), judgeid 6 updated.
Judge results for folder Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), judgeid 7 updated.
Judge results for folder Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), judgeid 1 updated.
Judge results for folder Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), judgeid 2 updated.
Judge results for folder Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), judgeid 3 updated.
Judge results for folder Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), judgeid 4 updated.
Judge results for folder Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), judgeid 5 updated.
Judge results for folder Kaffee und Kuchen(invisible, phenomenon, mutual elements, Non-English European, German), judgeid 1 updated.
Judge results for folder Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), judgeid 1 updated.
Judge results for folder Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), judgeid 2 updated.
Judge results for folder Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), judgeid 3 updated.
Judge results for folder Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), judgeid 4 updated.
Judge results for folder Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), judgeid 5 updated.
Judge results for folder Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), judgeid 1 updated.
Judge results for folder Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), judgeid 2 updated.
Judge results for folder Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), judgeid 3 updated.
Judge results for folder Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), judgeid 4 updated.
Judge results for folder Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), judgeid 5 updated.
Judge results for folder Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), judgeid 1 updated.
Judge results for folder Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), judgeid 2 updated.
Judge results for folder Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), judgeid 3 updated.
Judge results for folder Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), judgeid 4 updated.
Judge results for folder Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), judgeid 5 updated.
Judge results for folder Cucina(visible, culture, mutual elements, Non-English European, Italian), judgeid 1 updated.
Judge results for folder Cucina(visible, culture, mutual elements, Non-English European, Italian), judgeid 2 updated.
Judge results for folder Cucina(visible, culture, mutual elements, Non-English European, Italian), judgeid 3 updated.
Judge results for folder Cucina(visible, culture, mutual elements, Non-English European, Italian), judgeid 4 updated.
Judge results for folder Cucina(visible, culture, mutual elements, Non-English European, Italian), judgeid 5 updated.
Judge results for folder Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), judgeid 1 updated.
Judge results for folder Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), judgeid 2 updated.
Judge results for folder Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), judgeid 3 updated.
Judge results for folder Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), judgeid 4 updated.
Judge results for folder Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), judgeid 5 updated.
Judge results for folder Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), judgeid 1 updated.
Judge results for folder Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), judgeid 2 updated.
Judge results for folder Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), judgeid 3 updated.
Judge results for folder Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), judgeid 4 updated.
Judge results for folder Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), judgeid 5 updated.
Judge results for folder L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), judgeid 1 updated.
Judge results for folder L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), judgeid 2 updated.
Judge results for folder L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), judgeid 3 updated.
Judge results for folder L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), judgeid 4 updated.
Judge results for folder L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), judgeid 5 updated.
Judge results for folder E il naufragar m'è dolce in questo mare.(invisible, culture, mutual elements, Non-English European, Italian), judgeid 1 updated.
Judge results for folder E il naufragar m'è dolce in questo mare.(invisible, culture, mutual elements, Non-English European, Italian), judgeid 2 updated.
Judge results for folder E il naufragar m'è dolce in questo mare.(invisible, culture, mutual elements, Non-English European, Italian), judgeid 3 updated.
Judge results for folder Non dire gatto se non ce l'hai nel sacco(invisible, culture, mutual elements, Non-English European, Italian), judgeid 1 updated.
Judge results for folder Non dire gatto se non ce l'hai nel sacco(invisible, culture, mutual elements, Non-English European, Italian), judgeid 2 updated.
Judge results for folder Moda italiana(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 1 updated.
Judge results for folder Moda italiana(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 2 updated.
Judge results for folder Moda italiana(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 3 updated.
Judge results for folder Moda italiana(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 4 updated.
Judge results for folder Moda italiana(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 5 updated.
Judge results for folder Canovaccio(invisible, culture, mutual elements, Non-English European, Italian), judgeid 1 updated.
Judge results for folder Canovaccio(invisible, culture, mutual elements, Non-English European, Italian), judgeid 2 updated.
Judge results for folder avere culo(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 1 updated.
Judge results for folder avere culo(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 2 updated.
Judge results for folder avere culo(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 3 updated.
Judge results for folder avere culo(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 4 updated.
Judge results for folder avere culo(invisible, phenomenon, mutual elements, Non-English European, Italian), judgeid 5 updated.
Judge results for folder Mateship(invisible, culture, metaphor, other, English), judgeid 1 updated.
Judge results for folder Mateship(invisible, culture, metaphor, other, English), judgeid 2 updated.
Judge results for folder Mateship(invisible, culture, metaphor, other, English), judgeid 3 updated.
Judge results for folder Mateship(invisible, culture, metaphor, other, English), judgeid 4 updated.
Judge results for folder Mateship(invisible, culture, metaphor, other, English), judgeid 5 updated.
Finish: Judge results all saved to ./glm-4v_multi_judge.json
Finish: Combined results all saved to ./glm-4v_multi_test_and_judge.json
