Successfully processed folder: talking ability(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: Cryptography(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: Cryptography(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: Cryptography(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: Cryptography(invisible, ability, mutual elements, NA, English), testid: 6
Successfully processed folder: Cryptography(invisible, ability, mutual elements, NA, English), testid: 7
Successfully processed folder: Artificial Intelligence(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: Artificial Intelligence(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: Artificial Intelligence(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: Artificial Intelligence(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: Artificial Intelligence(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: Artificial Intelligence(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: repeat function(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: repeat function(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: repeat function(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: repeat function(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: repeat function(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: repeat function(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: the range of capacity(visible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: the range of capacity(visible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: the range of capacity(visible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: the range of capacity(visible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: the range of capacity(visible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: the range of capacity(visible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: EasilyBroken(invisible, ability, mutual elements, NA, English), testid: 0
Successfully processed folder: EasilyBroken(invisible, ability, mutual elements, NA, English), testid: 1
Successfully processed folder: EasilyBroken(invisible, ability, mutual elements, NA, English), testid: 2
Successfully processed folder: EasilyBroken(invisible, ability, mutual elements, NA, English), testid: 3
Successfully processed folder: EasilyBroken(invisible, ability, mutual elements, NA, English), testid: 4
Successfully processed folder: EasilyBroken(invisible, ability, mutual elements, NA, English), testid: 5
Successfully processed folder: Sun dog(invisible, phenomenon, mutual elements, NA, English), testid: 0
Successfully processed folder: Sun dog(invisible, phenomenon, mutual elements, NA, English), testid: 1
Successfully processed folder: Sun dog(invisible, phenomenon, mutual elements, NA, English), testid: 2
Successfully processed folder: Sun dog(invisible, phenomenon, mutual elements, NA, English), testid: 3
Successfully processed folder: Sun dog(invisible, phenomenon, mutual elements, NA, English), testid: 4
Successfully processed folder: Sun dog(invisible, phenomenon, mutual elements, NA, English), testid: 5
Successfully processed folder: Earthquake(invisible, phenomenon, relation, NA, English), testid: 0
Successfully processed folder: Earthquake(invisible, phenomenon, relation, NA, English), testid: 1
Successfully processed folder: Earthquake(invisible, phenomenon, relation, NA, English), testid: 2
Successfully processed folder: Earthquake(invisible, phenomenon, relation, NA, English), testid: 3
Successfully processed folder: Migration(invisible, phenomenon, relation, NA, English), testid: 0
Successfully processed folder: Migration(invisible, phenomenon, relation, NA, English), testid: 1
Successfully processed folder: Migration(invisible, phenomenon, relation, NA, English), testid: 2
Successfully processed folder: Migration(invisible, phenomenon, relation, NA, English), testid: 3
Successfully processed folder: Light pillar(invisible, phenomenon, relation, NA, English), testid: 0
Successfully processed folder: Light pillar(invisible, phenomenon, relation, NA, English), testid: 1
Successfully processed folder: Light pillar(invisible, phenomenon, relation, NA, English), testid: 2
Successfully processed folder: Light pillar(invisible, phenomenon, relation, NA, English), testid: 3
Successfully processed folder: Light pillar(invisible, phenomenon, relation, NA, English), testid: 4
Successfully processed folder: Light pillar(invisible, phenomenon, relation, NA, English), testid: 5
Not enough valid images for processing.
Successfully processed folder: Viral Trend(invisible, phenomenon, mutual elements, NA, English), testid: 0
Successfully processed folder: Viral Trend(invisible, phenomenon, mutual elements, NA, English), testid: 1
Successfully processed folder: Viral Trend(invisible, phenomenon, mutual elements, NA, English), testid: 2
Successfully processed folder: Viral Trend(invisible, phenomenon, mutual elements, NA, English), testid: 3
Successfully processed folder: Viral Trend(invisible, phenomenon, mutual elements, NA, English), testid: 4
Successfully processed folder: Viral Trend(invisible, phenomenon, mutual elements, NA, English), testid: 5
Successfully processed folder: reinforce opinions(invisible, phenomenon, mutual elements, NA, English), testid: 0
Successfully processed folder: reinforce opinions(invisible, phenomenon, mutual elements, NA, English), testid: 1
Successfully processed folder: reinforce opinions(invisible, phenomenon, mutual elements, NA, English), testid: 2
Successfully processed folder: reinforce opinions(invisible, phenomenon, mutual elements, NA, English), testid: 3
Successfully processed folder: Influencer Marketing(invisible, phenomenon, relation, NA, English), testid: 0
Successfully processed folder: Influencer Marketing(invisible, phenomenon, relation, NA, English), testid: 1
Successfully processed folder: Influencer Marketing(invisible, phenomenon, relation, NA, English), testid: 2
Successfully processed folder: Influencer Marketing(invisible, phenomenon, relation, NA, English), testid: 3
Successfully processed folder: Greenhouse effect(invisible, phenomenon, relation, NA, English), testid: 0
Successfully processed folder: Greenhouse effect(invisible, phenomenon, relation, NA, English), testid: 1
Successfully processed folder: Greenhouse effect(invisible, phenomenon, relation, NA, English), testid: 2
Successfully processed folder: Greenhouse effect(invisible, phenomenon, relation, NA, English), testid: 3
Successfully processed folder: Greenhouse effect(invisible, phenomenon, relation, NA, English), testid: 4
Successfully processed folder: Greenhouse effect(invisible, phenomenon, relation, NA, English), testid: 5
Successfully processed folder: Magna Carta(invisible, phenomenon, relation, NA, English), testid: 0
Successfully processed folder: Magna Carta(invisible, phenomenon, relation, NA, English), testid: 1
Successfully processed folder: Magna Carta(invisible, phenomenon, relation, NA, English), testid: 2
Successfully processed folder: Magna Carta(invisible, phenomenon, relation, NA, English), testid: 3
Successfully processed folder: Magna Carta(invisible, phenomenon, relation, NA, English), testid: 4
Successfully processed folder: Magna Carta(invisible, phenomenon, relation, NA, English), testid: 5
Successfully processed folder: Prayer(invisible, phenomenon, metaphor, NA, English), testid: 0
Successfully processed folder: Prayer(invisible, phenomenon, metaphor, NA, English), testid: 1
Successfully processed folder: Prayer(invisible, phenomenon, metaphor, NA, English), testid: 2
Successfully processed folder: Prayer(invisible, phenomenon, metaphor, NA, English), testid: 3
Successfully processed folder: Prayer(invisible, phenomenon, metaphor, NA, English), testid: 4
Successfully processed folder: Prayer(invisible, phenomenon, metaphor, NA, English), testid: 5
Successfully processed folder: Stille Wasser sind tief(invisible, phenomenon, metaphor, Non-English European, German), testid: 0
Successfully processed folder: Stille Wasser sind tief(invisible, phenomenon, metaphor, Non-English European, German), testid: 1
Successfully processed folder: Stille Wasser sind tief(invisible, phenomenon, metaphor, Non-English European, German), testid: 2
Successfully processed folder: Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), testid: 0
Successfully processed folder: Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), testid: 1
Successfully processed folder: Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), testid: 2
Successfully processed folder: Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), testid: 3
Successfully processed folder: Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), testid: 4
Successfully processed folder: Der Apfel fällt nicht weit vom Stamm(invisible, phenomenon, metaphor, Non-English European, German), testid: 5
Successfully processed folder: Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), testid: 0
Successfully processed folder: Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), testid: 1
Successfully processed folder: Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), testid: 2
Successfully processed folder: Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), testid: 3
Successfully processed folder: Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), testid: 4
Successfully processed folder: Man lernt nie aus(invisible, ability, metaphor, Non-English European, German), testid: 5
Successfully processed folder: Übung macht den Meister.(invisible, ability, metaphor, Non-English European, German), testid: 0
Successfully processed folder: Übung macht den Meister.(invisible, ability, metaphor, Non-English European, German), testid: 1
Successfully processed folder: Übung macht den Meister.(invisible, ability, metaphor, Non-English European, German), testid: 2
Successfully processed folder: Übung macht den Meister.(invisible, ability, metaphor, Non-English European, German), testid: 3
Successfully processed folder: Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), testid: 0
Successfully processed folder: Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), testid: 1
Successfully processed folder: Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), testid: 2
Successfully processed folder: Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), testid: 3
Successfully processed folder: Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), testid: 4
Successfully processed folder: Was Hänschen nicht lernt, lernt Hans nimmermehr(invisible, ability, metaphor, Non-English European, German), testid: 5
Successfully processed folder: Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), testid: 0
Successfully processed folder: Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), testid: 1
Successfully processed folder: Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), testid: 2
Successfully processed folder: Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), testid: 3
Successfully processed folder: Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), testid: 4
Successfully processed folder: Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), testid: 5
Successfully processed folder: Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), testid: 6
Successfully processed folder: Die Welt ist meine Vorstellung(invisible, culture, metaphor, Non-English European, German), testid: 7
Successfully processed folder: Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), testid: 0
Successfully processed folder: Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), testid: 1
Successfully processed folder: Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), testid: 2
Successfully processed folder: Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), testid: 3
Successfully processed folder: Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), testid: 4
Successfully processed folder: Wer nicht wagt, der nicht gewinnt(invisible, culture, metaphor, Non-English European, German), testid: 5
Successfully processed folder: Kaffee und Kuchen(invisible, phenomenon, mutual elements, Non-English European, German), testid: 0
Successfully processed folder: Kaffee und Kuchen(invisible, phenomenon, mutual elements, Non-English European, German), testid: 1
Successfully processed folder: Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), testid: 0
Successfully processed folder: Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), testid: 1
Successfully processed folder: Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), testid: 2
Successfully processed folder: Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), testid: 3
Successfully processed folder: Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), testid: 4
Successfully processed folder: Fachwerkhäuser(invisible, culture, mutual elements, Non-English European, German), testid: 5
Successfully processed folder: Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), testid: 0
Successfully processed folder: Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), testid: 1
Successfully processed folder: Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), testid: 2
Successfully processed folder: Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), testid: 3
Successfully processed folder: Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), testid: 4
Successfully processed folder: Rotkäppchen und der Wolf(invisible, culture, mutual elements, Non-English European, German), testid: 5
Successfully processed folder: Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), testid: 0
Successfully processed folder: Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), testid: 1
Successfully processed folder: Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), testid: 2
Successfully processed folder: Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), testid: 3
Successfully processed folder: Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), testid: 4
Successfully processed folder: Chi dorme non piglia pesci(invisible, culture, mutual elements, Non-English European, Italian), testid: 5
Successfully processed folder: Cucina(visible, culture, mutual elements, Non-English European, Italian), testid: 0
Successfully processed folder: Cucina(visible, culture, mutual elements, Non-English European, Italian), testid: 1
Successfully processed folder: Cucina(visible, culture, mutual elements, Non-English European, Italian), testid: 2
Successfully processed folder: Cucina(visible, culture, mutual elements, Non-English European, Italian), testid: 3
Successfully processed folder: Cucina(visible, culture, mutual elements, Non-English European, Italian), testid: 4
Successfully processed folder: Cucina(visible, culture, mutual elements, Non-English European, Italian), testid: 5
Successfully processed folder: Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), testid: 0
Successfully processed folder: Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), testid: 1
Successfully processed folder: Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), testid: 2
Successfully processed folder: Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), testid: 3
Successfully processed folder: Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), testid: 4
Successfully processed folder: Architettura barocca(invisible, culture, mutual elements, Non-English European, Italian), testid: 5
Successfully processed folder: Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), testid: 0
Successfully processed folder: Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), testid: 1
Successfully processed folder: Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), testid: 2
Successfully processed folder: Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), testid: 3
Successfully processed folder: Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), testid: 4
Successfully processed folder: Lasciate ogne speranza, voi ch'intrate.(invisible, culture, metaphor, Non-English European, Italian), testid: 5
Successfully processed folder: L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), testid: 0
Successfully processed folder: L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), testid: 1
Successfully processed folder: L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), testid: 2
Successfully processed folder: L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), testid: 3
Successfully processed folder: L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), testid: 4
Successfully processed folder: L’abito non fa il monaco(invisible, culture, metaphor, Non-English European, Italian), testid: 5
Successfully processed folder: E il naufragar m'è dolce in questo mare.(invisible, culture, mutual elements, Non-English European, Italian), testid: 0
Successfully processed folder: E il naufragar m'è dolce in questo mare.(invisible, culture, mutual elements, Non-English European, Italian), testid: 1
Successfully processed folder: E il naufragar m'è dolce in questo mare.(invisible, culture, mutual elements, Non-English European, Italian), testid: 2
Successfully processed folder: E il naufragar m'è dolce in questo mare.(invisible, culture, mutual elements, Non-English European, Italian), testid: 3
Successfully processed folder: Non dire gatto se non ce l'hai nel sacco(invisible, culture, mutual elements, Non-English European, Italian), testid: 0
Successfully processed folder: Non dire gatto se non ce l'hai nel sacco(invisible, culture, mutual elements, Non-English European, Italian), testid: 1
