Successfully processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English)
Successfully processed folder: борщ(visible, food, relation, Non-English European, Russian)
Successfully processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese)
Successfully processed folder: Mooncake(invisible, food, metaphor, East Asia, English)
Successfully processed folder: Egg(visible, food, relation, NA, English)
Successfully processed folder: Caviar(invisible, food, relation, NA, English)
Successfully processed folder: Yakitori(invisible, food, relation, East Asia, English)
Successfully processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese)
Successfully processed folder: водка(invisible, food, metaphor, Non-English European, Russian)
Successfully processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English)
Successfully processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English)
Successfully processed folder: breakfast(visible, food, mutual elements, NA, English)
Successfully processed folder: Barbecue(invisible, food, mutual elements, USAEnglish, English)
Successfully processed folder: Flying Roti(invisible, food, relation, South Asia and South-East Asia, English)
Successfully processed folder: España(invisible, country, metaphor, Non-English European, Spanish)
Successfully processed folder: China(invisible, country, metaphor, NA, English)
Successfully processed folder: Ancient Babylon(invisible, country, mutual elements, NA, English)
Successfully processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish)
Successfully processed folder: Россия(visible, country, mutual elements, Non-English European, Russian)
Successfully processed folder: England(invisible, country, mutual elements, Non-English European, English)
Successfully processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English)
Successfully processed folder: French(invisible, country, mutual elements, Non-English European, English)
Successfully processed folder: Canada(invisible, country, mutual elements, USAEnglish, English)
Successfully processed folder: Korea(invisible, country, mutual elements, East Asia, English)
Successfully processed folder: German(invisible, country, metaphor, Non-English European, English)
Successfully processed folder: Япония(invisible, country, metaphor, East Asia, Russian)
Successfully processed folder: Italy(invisible, country, mutual elements, Non-English European, English)
Successfully processed folder: Netherlands(invisible, country, mutual elements, Non-English European, English)
Successfully processed folder: Portugal(invisible, country, mutual elements, Non-English European, English)
Successfully processed folder: India(invisible, country, mutual elements, South Asia and South-East Asia, English)
Successfully processed folder: Australia(invisible, country, mutual elements, other, English)
Successfully processed folder: NewZealand(invisible, country, mutual elements, other, English)
Successfully processed folder: Mexica(invisible, country, mutual elements, Latin American, English)
Successfully processed folder: Brazil(invisible, country, mutual elements, Latin American, English)
Successfully processed folder: London(invisible, city, mutual elements, USAEnglish, English)
Successfully processed folder: Shanghai(invisible, city, mutual elements, East Asia, English)
Successfully processed folder: Los Angeles(invisible, city, mutual elements, USAEnglish, English)
Successfully processed folder: New York(invisible, city, mutual elements, NA, English)
Successfully processed folder: Madrid(invisible, city, mutual elements, NA, Spanish)
Successfully processed folder: Valencia(invisible, city, mutual elements, Non-English European, Spanish)
Successfully processed folder: Санкт-Петербург(invisible, city, mutual elements, Non-English European, Russian)
Successfully processed folder: Manchester(invisible, city, mutual elements, Non-English European, English)
Successfully processed folder: Beijing(invisible, city, metaphor, East Asia, English)
Successfully processed folder: Paris(invisible, city, mutual elements, Non-English European, English)
Successfully processed folder: Singapore(invisible, city, mutual elements, NA, English)
Successfully processed folder: Egypt(invisible, country, metaphor, other, English)
Successfully processed folder: Rio de Janeiro(invisible, city, mutual elements, Latin American, English)
Successfully processed folder: Venice(invisible, city, mutual elements, Non-English European, English)
Successfully processed folder: Istanbul(invisible, city, metaphor, other, English)
Successfully processed folder: Berlin(invisible, city, mutual elements, NA, English)
Successfully processed folder: Naples(invisible, city, mutual elements, Non-English European, English)
Successfully processed folder: Urban Transportation(invisible, city, mutual elements, NA, English)
Successfully processed folder: Urban Landmarks(invisible, city, mutual elements, NA, English)
Successfully processed folder: City Nightlife(invisible, city, mutual elements, NA, English)
Results saved to D:\python\single_test_judge\single\qwen-vl-plus-0809_results.json
Skipping already processed folder: BritishRoyalFamily(visible, animal, mutual elements, USAEnglish, English)
Skipping already processed folder: Countryside Tales (visible, animal, metaphor, USAEnglish, English)
Skipping already processed folder: Pub(invisible, animal, mutual elements, USAEnglish, English)
Skipping already processed folder: Christmas(invisible, animal, mutual elements, USAEnglish, English)
Skipping already processed folder: Royal Pets(visible, animal, metaphor, USAEnglish, English)
Skipping already processed folder: Royal Ascot(invisible, animal, mutual elements, USAEnglish, English)
Skipping already processed folder: Frog(invisible, animal, relation, NA, English)
Skipping already processed folder: dragon robe(invisible, animal, relation, East Asia, English)
Skipping already processed folder: Jade Rabbit(invisible, animal, metaphor, East Asia, English)
Skipping already processed folder: 猴子捞月(visible, animal, metaphor, East Asia, Chinese)
Skipping already processed folder: 蚕丝(invisible, animal, relation, East Asia, Chinese)
Skipping already processed folder: SunWukong(visible, animal, metaphor, East Asia, English)
Skipping already processed folder: predation(visible, animal, relation, NA, English)
Skipping already processed folder: Russia(invisible, animal, mutual elements, Non-English European, English)
Skipping already processed folder: Corrida de toros(visible, animal, relation, Non-English European, Spanish)
Skipping already processed folder: Símbolo de paz(visible, animal, metaphor, Non-English European, Spanish)
Skipping already processed folder: Два медведя в одной берлоге не живут(invisible, animal, metaphor, Non-English European, Russian)
Skipping already processed folder: Ha безрыбье и рак рыба(invisible, animal, metaphor, Non-English European, Russian)
Skipping already processed folder: Bee and honeycomb(visible, animal, relation, NA, English)
Skipping already processed folder: nest(invisible, animal, relation, NA, English)
Skipping already processed folder: Topology(visible, STEM, mutual elements, NA, English)
Skipping already processed folder: 九章算术(invisible, STEM, mutual elements, East Asia, Chinese)
Skipping already processed folder: 珠心算(visible, STEM, relation, East Asia, Chinese)
Skipping already processed folder: equation(invisible, STEM, metaphor, NA, English)
Skipping already processed folder: Fibonacci Sequence(visible, STEM, metaphor, NA, English)
Skipping already processed folder: Regular Hexagonal Prism(visible, STEM, metaphor, NA, English)
Skipping already processed folder: curve(visible, STEM, mutual elements, NA, English)
Skipping already processed folder: square(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: irrational number(visible, STEM, mutual elements, NA, English)
Skipping already processed folder: Golden Ratio(invisible, STEM, mutual elements, Non-English European, English)
Skipping already processed folder: Game Theory(invisible, STEM, relation, Non-English European, English)
Skipping already processed folder: Exponential Growth(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: Pyraminx(invisible, STEM, metaphor, NA, English)
Skipping already processed folder: Abanico flamenco(invisible, STEM, relation, Non-English European, Spanish)
Skipping already processed folder: Счет(invisible, STEM, metaphor, Non-English European, Russian)
Skipping already processed folder: Mayan Mathematics(visible, STEM, mutual elements, Latin American, English)
Skipping already processed folder: Cryptography(invisible, STEM, relation, NA, English)
Skipping already processed folder: Eulerian Path(visible, STEM, relation, Non-English European, English)
Skipping already processed folder: Ellipsoid(visible, STEM, mutual elements, USAEnglish, English)
Skipping already processed folder: Calculus(visible, STEM, metaphor, NA, English)
Skipping already processed folder: Jamón Ibérico(visible, food, relation, Non-English European, Spanish)
Skipping already processed folder: Paella de Mariscos(invisible, food, metaphor, Non-English European, Spanish)
Skipping already processed folder: Pasta con Gambas Rojas del Mediterráneo(visible, food, metaphor, Non-English European, Spanish)
Skipping already processed folder: Tomahawk Steak(visible, food, relation, NA, English)
Skipping already processed folder: Sushi(invisible, food, mutual elements, East Asia, English)
Skipping already processed folder: Dumplings(invisible, food, mutual elements, East Asia, English)
Skipping already processed folder: Peking Duck(invisible, food, mutual elements, East Asia, Chinese)
Skipping already processed folder: борщ(visible, food, relation, Non-English European, Russian)
Skipping already processed folder: 汤圆(invisible, food, mutual elements, East Asia, Chinese)
Skipping already processed folder: Mooncake(invisible, food, metaphor, East Asia, English)
Skipping already processed folder: Egg(visible, food, relation, NA, English)
Skipping already processed folder: Caviar(invisible, food, relation, NA, English)
Skipping already processed folder: Yakitori(invisible, food, relation, East Asia, English)
Skipping already processed folder: 清水煮白菜(invisible, food, metaphor, East Asia, Chinese)
Skipping already processed folder: водка(invisible, food, metaphor, Non-English European, Russian)
Skipping already processed folder: Hamburger(visible, food, mutual elements, USAEnglish, English)
Skipping already processed folder: Fish and Chips(visible, food, mutual elements, USAEnglish, English)
Skipping already processed folder: breakfast(visible, food, mutual elements, NA, English)
Skipping already processed folder: Barbecue(invisible, food, mutual elements, USAEnglish, English)
Skipping already processed folder: Flying Roti(invisible, food, relation, South Asia and South-East Asia, English)
Skipping already processed folder: España(invisible, country, metaphor, Non-English European, Spanish)
Skipping already processed folder: China(invisible, country, metaphor, NA, English)
Skipping already processed folder: Ancient Babylon(invisible, country, mutual elements, NA, English)
Skipping already processed folder: El Imperio Romano(visible, country, mutual elements, Non-English European, Spanish)
Skipping already processed folder: Россия(visible, country, mutual elements, Non-English European, Russian)
Skipping already processed folder: England(invisible, country, mutual elements, Non-English European, English)
Skipping already processed folder: Ameirica(invisible, country, mutual elements, USAEnglish, English)
Skipping already processed folder: French(invisible, country, mutual elements, Non-English European, English)
Skipping already processed folder: Canada(invisible, country, mutual elements, USAEnglish, English)
Skipping already processed folder: Korea(invisible, country, mutual elements, East Asia, English)
Skipping already processed folder: German(invisible, country, metaphor, Non-English European, English)
Skipping already processed folder: Япония(invisible, country, metaphor, East Asia, Russian)
Skipping already processed folder: Italy(invisible, country, mutual elements, Non-English European, English)
Skipping already processed folder: Netherlands(invisible, country, mutual elements, Non-English European, English)
Skipping already processed folder: Portugal(invisible, country, mutual elements, Non-English European, English)
Skipping already processed folder: India(invisible, country, mutual elements, South Asia and South-East Asia, English)
Skipping already processed folder: Australia(invisible, country, mutual elements, other, English)
Skipping already processed folder: NewZealand(invisible, country, mutual elements, other, English)
Skipping already processed folder: Mexica(invisible, country, mutual elements, Latin American, English)
Skipping already processed folder: Brazil(invisible, country, mutual elements, Latin American, English)
Skipping already processed folder: London(invisible, city, mutual elements, USAEnglish, English)
Skipping already processed folder: Shanghai(invisible, city, mutual elements, East Asia, English)
Skipping already processed folder: Los Angeles(invisible, city, mutual elements, USAEnglish, English)
Skipping already processed folder: New York(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Madrid(invisible, city, mutual elements, NA, Spanish)
Skipping already processed folder: Valencia(invisible, city, mutual elements, Non-English European, Spanish)
Skipping already processed folder: Санкт-Петербург(invisible, city, mutual elements, Non-English European, Russian)
Skipping already processed folder: Manchester(invisible, city, mutual elements, Non-English European, English)
Skipping already processed folder: Beijing(invisible, city, metaphor, East Asia, English)
Skipping already processed folder: Paris(invisible, city, mutual elements, Non-English European, English)
Skipping already processed folder: Singapore(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Egypt(invisible, country, metaphor, other, English)
Skipping already processed folder: Rio de Janeiro(invisible, city, mutual elements, Latin American, English)
Skipping already processed folder: Venice(invisible, city, mutual elements, Non-English European, English)
Skipping already processed folder: Istanbul(invisible, city, metaphor, other, English)
Skipping already processed folder: Berlin(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Naples(invisible, city, mutual elements, Non-English European, English)
Skipping already processed folder: Urban Transportation(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Urban Landmarks(invisible, city, mutual elements, NA, English)
Skipping already processed folder: City Nightlife(invisible, city, mutual elements, NA, English)
Results saved to D:\python\single_test_judge\single\qwen-vl-plus-0809_results.json
