Judge results for folder sleigh(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder bottle(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder bottle(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder butterfly(invisible, animal, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder butterfly(invisible, animal, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder butterfly(invisible, animal, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder butterfly(invisible, animal, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder butterfly(invisible, animal, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder lobster(invisible, food, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder lobster(invisible, food, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder lobster(invisible, food, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder lobster(invisible, food, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder lobster(invisible, food, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder antlers(invisible, animal, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder antlers(invisible, animal, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder antlers(invisible, animal, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder antlers(invisible, animal, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder antlers(invisible, animal, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder rainbow(invisible, phenomenon, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder rainbow(invisible, phenomenon, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder rainbow(invisible, phenomenon, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder rainbow(invisible, phenomenon, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder rainbow(invisible, phenomenon, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder atomicbomb(invisible, history, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder atomicbomb(invisible, history, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder atomicbomb(invisible, history, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder atomicbomb(invisible, history, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder atomicbomb(invisible, history, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder surfboard(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder surfboard(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder surfboard(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder surfboard(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder surfboard(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder mascara(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder mascara(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder mascara(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder mascara(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder mascara(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder ship(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder ship(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder ship(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder ship(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder ship(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder rocket(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder rocket(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder rocket(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder rocket(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder rocket(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder toilet(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder toilet(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder toilet(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder toilet(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder toilet(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder sphinx(invisible, myth, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder sphinx(invisible, myth, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder sphinx(invisible, myth, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder sphinx(invisible, myth, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder sphinx(invisible, myth, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder starfish(invisible, animal, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder starfish(invisible, animal, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder starfish(invisible, animal, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder starfish(invisible, animal, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder starfish(invisible, animal, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder slide(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder slide(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder slide(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder slide(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder slide(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder chalk(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder chalk(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder chalk(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder chalk(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder chalk(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder hourglass(invisible, time, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder hourglass(invisible, time, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder hourglass(invisible, time, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder hourglass(invisible, time, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder hourglass(invisible, time, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder cow(invisible, animal, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder cow(invisible, animal, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder cow(invisible, animal, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder cow(invisible, animal, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder cow(invisible, animal, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder triangle(invisible, music, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder triangle(invisible, music, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder triangle(invisible, music, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder triangle(invisible, music, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder triangle(invisible, music, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder watermill(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder watermill(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder watermill(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder watermill(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder watermill(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder phonograph(invisible, music, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder phonograph(invisible, music, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder phonograph(invisible, music, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder phonograph(invisible, music, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder phonograph(invisible, music, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder scar(invisible, sports, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder scar(invisible, sports, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder scar(invisible, sports, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder scar(invisible, sports, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder scar(invisible, sports, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder battery(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder battery(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder battery(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder battery(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder battery(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder CD(invisible, music, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder CD(invisible, music, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder CD(invisible, music, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder CD(invisible, music, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder CD(invisible, music, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder fireextinguisher(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder fireextinguisher(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder fireextinguisher(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder fireextinguisher(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder fireextinguisher(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder elephant(invisible, animal, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder elephant(invisible, animal, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder elephant(invisible, animal, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder elephant(invisible, animal, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder elephant(invisible, animal, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder hat(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder hat(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder hat(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder hat(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder hat(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder moon(invisible, sports, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder moon(invisible, sports, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder moon(invisible, sports, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder moon(invisible, sports, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder moon(invisible, sports, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder balloons(invisible, food, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder balloons(invisible, food, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder balloons(invisible, food, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder balloons(invisible, food, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder balloons(invisible, food, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder hairdryer(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder hairdryer(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder hairdryer(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder hairdryer(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder hairdryer(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder glasses(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder glasses(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder glasses(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder glasses(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder glasses(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder calculator(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder calculator(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder calculator(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder calculator(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder calculator(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder brush(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder brush(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder brush(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder brush(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder brush(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder microphone(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder microphone(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder microphone(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder microphone(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder microphone(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder baseballcap(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder baseballcap(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder baseballcap(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder baseballcap(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder baseballcap(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder helicopter(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder helicopter(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder helicopter(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder helicopter(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder helicopter(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder filmreel(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder filmreel(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder filmreel(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder filmreel(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder filmreel(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder collar(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder collar(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder collar(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder collar(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder collar(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder gully(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder gully(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder gully(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder gully(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder gully(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder crib(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder crib(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder crib(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder crib(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder crib(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder pliers(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder pliers(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder pliers(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder pliers(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder pliers(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder railtrack(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder railtrack(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Missing score for key 3 in response.
Missing score for key 4 in response.
Missing score for key 5 in response.
Missing score for key 6 in response.
Missing score for key 7 in response.
Missing score for key 8 in response.
Missing score for key 9 in response.
Missing score for key 10 in response.
Missing score for key 11 in response.
Missing score for key 12 in response.
Missing score for key 13 in response.
Missing score for key 14 in response.
Missing score for key 15 in response.
Missing score for key 16 in response.
Missing score for key 17 in response.
Missing score for key 18 in response.
Missing score for key 19 in response.
Missing score for key 20 in response.
Missing score for key 21 in response.
Missing score for key 22 in response.
Missing score for key 23 in response.
Missing score for key 24 in response.
Missing score for key 25 in response.
Missing score for key 26 in response.
Missing score for key 27 in response.
Missing score for key 28 in response.
Missing score for key 29 in response.
Missing score for key 30 in response.
Missing score for key 31 in response.
Missing score for key 32 in response.
Missing score for key 33 in response.
Missing score for key 34 in response.
Missing score for key 35 in response.
Missing score for key 36 in response.
Missing score for key 37 in response.
Missing score for key 38 in response.
Missing score for key 39 in response.
Judge results for folder TV(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder TV(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder TV(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder TV(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder TV(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder puzzle(invisible, art, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder puzzle(invisible, art, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder puzzle(invisible, art, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder puzzle(invisible, art, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder puzzle(invisible, art, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder rubberball(invisible, sports, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder rubberball(invisible, sports, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder rubberball(invisible, sports, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder rubberball(invisible, sports, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder rubberball(invisible, sports, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder honeycomb(invisible, animal, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder honeycomb(invisible, animal, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder honeycomb(invisible, animal, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder honeycomb(invisible, animal, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder honeycomb(invisible, animal, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder croissant(invisible, food, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder croissant(invisible, food, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder croissant(invisible, food, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder croissant(invisible, food, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder croissant(invisible, food, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder octopus(invisible, animal, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder octopus(invisible, animal, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder octopus(invisible, animal, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder octopus(invisible, animal, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder octopus(invisible, animal, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder accordion(invisible, music, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder accordion(invisible, music, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder accordion(invisible, music, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder accordion(invisible, music, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder accordion(invisible, music, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder banknote(invisible, business, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder banknote(invisible, business, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder banknote(invisible, business, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder banknote(invisible, business, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder banknote(invisible, business, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder lightbulb(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder lightbulb(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder lightbulb(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder lightbulb(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder lightbulb(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder drumsticks(invisible, music, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder drumsticks(invisible, music, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder drumsticks(invisible, music, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder drumsticks(invisible, music, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder drumsticks(invisible, music, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder nun(invisible, cartoon or game, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder nun(invisible, cartoon or game, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder nun(invisible, cartoon or game, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder nun(invisible, cartoon or game, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder nun(invisible, cartoon or game, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder fan(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder fan(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder fan(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder fan(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder fan(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Finish: Judge results all saved to ./gpt-4o_multi_judge.json
Finish: Combined results all saved to ./gpt-4o_multi_test_and_judge.json
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
Judge results for folder railtrack(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder railtrack(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder railtrack(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder fairy(invisible, myth, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder fairy(invisible, myth, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder fairy(invisible, myth, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder fairy(invisible, myth, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder fairy(invisible, myth, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder spade(invisible, culture, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder spade(invisible, culture, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder spade(invisible, culture, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder spade(invisible, culture, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder divingboard(invisible, sports, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder divingboard(invisible, sports, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder divingboard(invisible, sports, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder divingboard(invisible, sports, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder divingboard(invisible, sports, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder pan(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder pan(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder pan(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder pan(invisible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder pan(invisible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder horseshoe(invisible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder horseshoe(invisible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder horseshoe(invisible, stuff, mutual elements, NA, English), judgeid 3 updated.
