Judge results for folder sleigh(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder baseballcap(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder helicopter(invisible, STEM, mutual elements, NA, English) updated
Judge results for folder filmreel(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder collar(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder gully(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder crib(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder pliers(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder railtrack(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder fairy(invisible, myth, mutual elements, NA, English) updated
Judge results for folder spade(invisible, culture, mutual elements, NA, English) updated
Judge results for folder divingboard(invisible, sports, mutual elements, NA, English) updated
Judge results for folder pan(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder horseshoe(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder blowfish(invisible, animal, mutual elements, NA, English) updated
Judge results for folder snail(invisible, animal, mutual elements, NA, English) updated
Judge results for folder TV(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder puzzle(invisible, art, mutual elements, NA, English) updated
Judge results for folder rubberball(invisible, sports, mutual elements, NA, English) updated
Judge results for folder honeycomb(invisible, animal, mutual elements, NA, English) updated
Judge results for folder croissant(invisible, food, mutual elements, NA, English) updated
Judge results for folder octopus(invisible, animal, mutual elements, NA, English) updated
Judge results for folder accordion(invisible, music, mutual elements, NA, English) updated
Judge results for folder banknote(invisible, business, mutual elements, NA, English) updated
Judge results for folder lightbulb(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder drumsticks(invisible, music, mutual elements, NA, English) updated
Judge results for folder nun(invisible, cartoon or game, mutual elements, NA, English) updated
Judge results for folder fan(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder umbrella(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder clam(invisible, animal, mutual elements, NA, English) updated
Judge results for folder compass(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder stamp(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder broom(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder basketball(invisible, sports, mutual elements, NA, English) updated
Judge results for folder ring(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder swan(invisible, animal, mutual elements, NA, English) updated
Judge results for folder doughnut(invisible, food, mutual elements, NA, English) updated
Judge results for folder maze(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder veins(invisible, STEM, mutual elements, NA, English) updated
Judge results for folder shuttlecock(invisible, sports, mutual elements, NA, English) updated
Judge results for folder laptop(invisible, STEM, mutual elements, NA, English) updated
Judge results for folder snake(invisible, animal, mutual elements, NA, English) updated
Judge results for folder cheese(invisible, food, mutual elements, NA, English) updated
Judge results for folder eraser(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder computermouse(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder chopsticks(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder mummy(invisible, history, mutual elements, NA, English) updated
Judge results for folder belt(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder cakeserver(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder spider(invisible, animal, mutual elements, NA, English) updated
Judge results for folder corkscrew(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder star(invisible, phenomenon, mutual elements, NA, English) updated
Judge results for folder face(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder lollipop(invisible, food, mutual elements, NA, English) updated
Judge results for folder hammer(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder heart(invisible, STEM, mutual elements, NA, English) updated
Judge results for folder scepter(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder fries(invisible, food, mutual elements, NA, English) updated
Judge results for folder t-shirt(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder tent(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder barbell(invisible, sports, mutual elements, NA, English) updated
Judge results for folder mouse(invisible, animal, mutual elements, NA, English) updated
Judge results for folder stopsign(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder eye(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder lighthouse(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder syringe(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder kangaroo(invisible, animal, mutual elements, NA, English) updated
Judge results for folder puck(invisible, sports, mutual elements, NA, English) updated
Judge results for folder flyswatter(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder urn(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder trafficlights(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder prison(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder seesaw(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder brain(invisible, STEM, mutual elements, NA, English) updated
Judge results for folder turtle(invisible, animal, mutual elements, NA, English) updated
Judge results for folder camera(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder cottoncandy(invisible, food, mutual elements, NA, English) updated
Judge results for folder pizza(invisible, food, mutual elements, NA, English) updated
Judge results for folder crosswalk(invisible, location, mutual elements, NA, English) updated
Judge results for folder cane(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder onion(invisible, food, mutual elements, NA, English) updated
Finish: Judge results all saved to ./internvl_judge_new.json
Finish: Combined results all saved to ./internvl_test_and_judge_new.json
Judge results already found for folder: sleigh(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: lock(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: vampire(invisible, myth, mutual elements, NA, English)
Judge results already found for folder: trophy(invisible, sports, mutual elements, NA, English)
Judge results already found for folder: popcorn(invisible, food, mutual elements, NA, English)
Judge results already found for folder: christmasbauble(invisible, culture, mutual elements, NA, English)
Judge results already found for folder: banana(invisible, cartoon or game, mutual elements, NA, English)
Judge results already found for folder: coconut(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: bottle(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: butterfly(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: lobster(invisible, food, mutual elements, NA, English)
Judge results already found for folder: antlers(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: rainbow(invisible, phenomenon, mutual elements, NA, English)
Judge results already found for folder: atomicbomb(invisible, history, mutual elements, NA, English)
Judge results already found for folder: surfboard(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: mascara(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: ship(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: rocket(invisible, STEM, mutual elements, NA, English)
Judge results already found for folder: toilet(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: sphinx(invisible, myth, mutual elements, NA, English)
Judge results already found for folder: starfish(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: slide(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: chalk(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: hourglass(invisible, time, mutual elements, NA, English)
Judge results already found for folder: cow(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: triangle(invisible, music, mutual elements, NA, English)
Judge results already found for folder: watermill(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: phonograph(invisible, music, mutual elements, NA, English)
Judge results already found for folder: scar(invisible, sports, mutual elements, NA, English)
Judge results already found for folder: battery(invisible, STEM, mutual elements, NA, English)
Judge results already found for folder: CD(invisible, music, mutual elements, NA, English)
Judge results already found for folder: fireextinguisher(invisible, STEM, mutual elements, NA, English)
Judge results already found for folder: elephant(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: hat(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: moon(invisible, sports, mutual elements, NA, English)
Judge results already found for folder: balloons(invisible, food, mutual elements, NA, English)
Judge results already found for folder: hairdryer(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: glasses(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: calculator(invisible, STEM, mutual elements, NA, English)
Judge results already found for folder: brush(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: microphone(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: baseballcap(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: helicopter(invisible, STEM, mutual elements, NA, English)
Judge results already found for folder: filmreel(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: collar(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: gully(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: crib(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: pliers(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: railtrack(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: fairy(invisible, myth, mutual elements, NA, English)
Judge results already found for folder: spade(invisible, culture, mutual elements, NA, English)
Judge results already found for folder: divingboard(invisible, sports, mutual elements, NA, English)
Judge results already found for folder: pan(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: horseshoe(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: blowfish(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: snail(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: TV(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: puzzle(invisible, art, mutual elements, NA, English)
Judge results already found for folder: rubberball(invisible, sports, mutual elements, NA, English)
Judge results already found for folder: honeycomb(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: croissant(invisible, food, mutual elements, NA, English)
Judge results already found for folder: octopus(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: accordion(invisible, music, mutual elements, NA, English)
Judge results already found for folder: banknote(invisible, business, mutual elements, NA, English)
Judge results already found for folder: lightbulb(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: drumsticks(invisible, music, mutual elements, NA, English)
Judge results already found for folder: nun(invisible, cartoon or game, mutual elements, NA, English)
Judge results already found for folder: fan(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: umbrella(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: clam(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: compass(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: stamp(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: broom(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: basketball(invisible, sports, mutual elements, NA, English)
Judge results already found for folder: ring(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: swan(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: doughnut(invisible, food, mutual elements, NA, English)
Judge results already found for folder: maze(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: veins(invisible, STEM, mutual elements, NA, English)
Judge results already found for folder: shuttlecock(invisible, sports, mutual elements, NA, English)
Judge results already found for folder: laptop(invisible, STEM, mutual elements, NA, English)
Judge results already found for folder: snake(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: cheese(invisible, food, mutual elements, NA, English)
Judge results already found for folder: eraser(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: computermouse(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: chopsticks(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: mummy(invisible, history, mutual elements, NA, English)
Judge results already found for folder: belt(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: cakeserver(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: spider(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: corkscrew(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: star(invisible, phenomenon, mutual elements, NA, English)
Judge results already found for folder: face(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: lollipop(invisible, food, mutual elements, NA, English)
Judge results already found for folder: hammer(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: heart(invisible, STEM, mutual elements, NA, English)
Judge results already found for folder: scepter(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: fries(invisible, food, mutual elements, NA, English)
Judge results already found for folder: t-shirt(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: tent(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: barbell(invisible, sports, mutual elements, NA, English)
Judge results already found for folder: mouse(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: stopsign(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: eye(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: lighthouse(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: syringe(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: kangaroo(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: puck(invisible, sports, mutual elements, NA, English)
Judge results already found for folder: flyswatter(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: urn(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: trafficlights(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: prison(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: seesaw(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: brain(invisible, STEM, mutual elements, NA, English)
Judge results already found for folder: turtle(invisible, animal, mutual elements, NA, English)
Judge results already found for folder: camera(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: cottoncandy(invisible, food, mutual elements, NA, English)
Judge results already found for folder: pizza(invisible, food, mutual elements, NA, English)
Judge results already found for folder: crosswalk(invisible, location, mutual elements, NA, English)
Judge results already found for folder: cane(invisible, stuff, mutual elements, NA, English)
Judge results already found for folder: onion(invisible, food, mutual elements, NA, English)
Finish: Judge results all saved to ./internvl_judge_new.json
Finish: Combined results all saved to ./internvl_test_and_judge_new.json
