Judge results for folder number 0 and 1(invisible, number, metaphor, NA, English) updated
Judge results already found for folder: Cold War(invisible, history, relation, NA, English)
Judge results already found for folder: Ancient Rome(invisible, history, relation, other, English)
Judge results already found for folder: World War II(invisible, history, metaphor, NA, English)
Judge results already found for folder: The Renaissance(invisible, history, metaphor, Non-English European, English)
Judge results already found for folder: The Information Age(invisible, history, mutual elements, NA, English)
Judge results already found for folder: The Age of Enlightenment(invisible, history, relation, NA, English)
Judge results already found for folder: The Victorian Era(invisible, history, relation, Non-English European, English)
Judge results already found for folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English)
Judge results already found for folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English)
Judge results already found for folder: The Silk Road(invisible, history, metaphor, East Asia, English)
Judge results already found for folder: The Reformation(invisible, history, metaphor, Non-English European, English)
Judge results already found for folder: Hollywood Golden Age(visible, movie, relation, USAEnglish, English)
Judge results already found for folder: Titanic(visible, movie, metaphor, USAEnglish, English)
Judge results already found for folder: Horror(visible, movie, mutual elements, NA, English)
Judge results already found for folder: Bollywood(visible, movie, metaphor, USAEnglish, English)
Judge results already found for folder: cinema(invisible, movie, mutual elements, NA, English)
Judge results already found for folder: Frozen(visible, movie, relation, USAEnglish, English)
Judge results already found for folder: Making movie(invisible, movie, mutual elements, NA, English)
Judge results already found for folder: Jurassic Park(invisible, movie, relation, USAEnglish, English)
Judge results already found for folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English)
Judge results already found for folder: Cannes Film Festival and Cinéma vérité(invisible, movie, metaphor, Non-English European, English)
Judge results already found for folder: Film Post-Production(visible, movie, mutual elements, NA, English)
Judge results already found for folder: Japanese cartoon(invisible, cartoon or game, mutual elements, East Asia, English)
Judge results already found for folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English)
Judge results already found for folder: Video Games(invisible, cartoon or game, mutual elements, NA, English)
Judge results already found for folder: Minecraft(invisible, cartoon or game, relation, NA, English)
Judge results already found for folder: Batman(visible, cartoon or game, relation, USAEnglish, English)
Judge results already found for folder: Mario(invisible, cartoon or game, relation, East Asia, English)
Judge results already found for folder: anime(invisible, cartoon or game, metaphor, East Asia, English)
Judge results already found for folder: Controller(invisible, cartoon or game, metaphor, NA, English)
Judge results already found for folder: Multiplayer(invisible, cartoon or game, mutual elements, NA, English)
Judge results already found for folder: Role-Play Game(RPG)(invisible, cartoon or game, metaphor, NA, English)
Judge results already found for folder: Stardew Valley(invisible, cartoon or game, relation, NA, English)
Judge results already found for folder: World-building game(invisible, cartoon or game, mutual elements, NA, English)
Judge results already found for folder: Beethoven(invisible, music, relation, Non-English European, English)
Judge results already found for folder: Rock Music(invisible, music, mutual elements, NA, English)
Judge results already found for folder: Hip hop music(invisible, music, metaphor, NA, English)
Judge results already found for folder: Grand Piano(invisible, music, relation, NA, English)
Judge results already found for folder: String and Spectrum(invisible, music, relation, NA, English)
Judge results already found for folder: Trumpet(invisible, music, meatphor, NA, English)
Judge results already found for folder: Rock Music and Electric Instruments(invisible, music, relation, NA, English)
Judge results already found for folder: K-pop(invisible, music, mutual elements, East Asia, English)
Judge results already found for folder: Tango(invisible, music, metaphor, USAEnglish, English)
Judge results already found for folder: El Niño(invisible, phenomenon, relation, NA, English)
Judge results already found for folder: Nuclear Fission(invisible, phenomenon, mutual elements, NA, English)
Judge results already found for folder: Ocean Tides(invisible, phenomenon, relation, NA, English)
Judge results already found for folder: Glacier Melting(invisible, phenomenon, relation, NA, English)
Judge results already found for folder: Superconductivity(invisible, phenomenon, mutual elements, NA, English)
Judge results already found for folder: Hurricane(invisible, phenomenon, metaphor, NA, English)
Judge results already found for folder: Halo Effect(invisible, phenomenon, relation, NA, English)
Judge results already found for folder: Reality TV(invisible, phenomenon, mutual elements, NA, English)
Judge results already found for folder: Podcast Boom(invisible, phenomenon, metaphor, NA, English)
Judge results already found for folder: The Space Race(invisible, phenomenon, relation, NA, English)
Judge results already found for folder: Cognitive Dissonance(invisible, phenomenon, metaphor, NA, English)
Judge results already found for folder: The Gold Rush(invisible, phenomenon, metaphor, USAEnglish, English)
Judge results already found for folder: Le Petit Prince(invisible, art, relation, Latin American, French)
Judge results already found for folder: Victor Hugo(invisible, art, relation, Latin American, French)
Judge results already found for folder: Les Misérables(invisible, art, relation, Latin American, French)
Judge results already found for folder: Madame Bovary(invisible, art, relation, Latin American, French)
Judge results already found for folder: Les Fleurs du mal(invisible, art, relation, Latin American, French)
Judge results already found for folder: Germinal(invisible, art, relation, Latin American, French)
Judge results already found for folder: La Peste(invisible, art, relation, Latin American, French)
Judge results already found for folder: Chercher la petite bête(invisible, art, relation, Latin American, French)
Judge results already found for folder: Raconter des salades(invisible, art, relation, Latin American, French)
Judge results already found for folder: Avoir un coup de foudre(invisible, art, relation, Latin American, French)
Judge results already found for folder: Don Quijote de la Mancha(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: Cien años de soledad(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: La Casa de los Espíritus(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: El amor en los tiempos del cólera(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: La sombra del viento(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: Pedro Páramo(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: ¡Es un pez gordo(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: Dar en el clavo(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: Echar leña al fuego(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: Pedir peras al olmo(invisible, art, relation, Latin American, Spanish)
Judge results already found for folder: Faust(invisible, art, relation, Latin American, German)
Judge results already found for folder: Der Prozess(invisible, art, relation, Latin American, German)
Judge results already found for folder: Die Verwandlung(invisible, art, relation, Latin American, German)
Judge results already found for folder: Die Räuber(invisible, art, relation, Latin American, German)
Judge results already found for folder: Der Steppenwolf(invisible, art, relation, Latin American, German)
Judge results already found for folder: Nibelungenlied(invisible, art, relation, Latin American, German)
Judge results already found for folder: Ich verstehe nur Bahnhof(invisible, art, relation, Latin American, German)
Judge results already found for folder: Die Katze im Sack kaufen(invisible, art, relation, Latin American, German)
Judge results already found for folder: Hals- und Beinbruch(invisible, art, relation, Latin American, German)
Judge results already found for folder: Kopf in den Sand stecken(invisible, art, relation, Latin American, German)
Finish: Judge results all saved to ./gemini-2.0-flash-thinking-exp-01-21_judge_new_ds.json
Finish: Combined results all saved to ./gemini-2.0-flash-thinking-exp-01-21_test_and_judge_new_ds.json
