Judge results for folder Kanban(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 6 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 7 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 8 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 1 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 2 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 3 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 4 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 5 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 6 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 7 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 8 updated.
Judge results for folder Sundial(invisible, time, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Sundial(invisible, time, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Sundial(invisible, time, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Sundial(invisible, time, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Sundial(invisible, time, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Sundial(invisible, time, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Sundial(invisible, time, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Sundial(invisible, time, metaphor, NA, English), judgeid 8 updated.
Judge results for folder Time Management(invisible, time, relation, NA, English), judgeid 1 updated.
Judge results for folder Time Management(invisible, time, relation, NA, English), judgeid 2 updated.
Judge results for folder Time Management(invisible, time, relation, NA, English), judgeid 3 updated.
Judge results for folder Time Management(invisible, time, relation, NA, English), judgeid 4 updated.
Judge results for folder Time Management(invisible, time, relation, NA, English), judgeid 5 updated.
Judge results for folder Time Management(invisible, time, relation, NA, English), judgeid 6 updated.
Judge results for folder Time Management(invisible, time, relation, NA, English), judgeid 7 updated.
Judge results for folder Time Management(invisible, time, relation, NA, English), judgeid 8 updated.
Judge results for folder Seiton(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Seiton(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Seiton(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Seiton(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Seiton(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Seiton(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Seiton(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Seiton(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Saving(invisible, business, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Saving(invisible, business, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Saving(invisible, business, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Saving(invisible, business, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Saving(invisible, business, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Saving(invisible, business, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Saving(invisible, business, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Saving(invisible, business, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Six Sigma(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Six Sigma(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Six Sigma(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Six Sigma(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Six Sigma(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Six Sigma(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Six Sigma(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Six Sigma(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Seiso(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Seiso(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Seiso(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Seiso(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Seiso(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Seiso(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Seiso(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Seiso(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Time Travel(invisible, time, relation, NA, English), judgeid 1 updated.
Judge results for folder Time Travel(invisible, time, relation, NA, English), judgeid 2 updated.
Judge results for folder Time Travel(invisible, time, relation, NA, English), judgeid 3 updated.
Judge results for folder Time Travel(invisible, time, relation, NA, English), judgeid 4 updated.
Judge results for folder Time Travel(invisible, time, relation, NA, English), judgeid 5 updated.
Judge results for folder Time Travel(invisible, time, relation, NA, English), judgeid 6 updated.
Judge results for folder Time Travel(invisible, time, relation, NA, English), judgeid 7 updated.
Judge results for folder Time Travel(invisible, time, relation, NA, English), judgeid 8 updated.
Judge results for folder Time Loop(invisible, time, relation, NA, English), judgeid 1 updated.
Judge results for folder Time Loop(invisible, time, relation, NA, English), judgeid 2 updated.
Judge results for folder Time Loop(invisible, time, relation, NA, English), judgeid 3 updated.
Judge results for folder Time Loop(invisible, time, relation, NA, English), judgeid 4 updated.
Judge results for folder Time Loop(invisible, time, relation, NA, English), judgeid 5 updated.
Judge results for folder Time Loop(invisible, time, relation, NA, English), judgeid 6 updated.
Judge results for folder Time Loop(invisible, time, relation, NA, English), judgeid 7 updated.
Judge results for folder Time Loop(invisible, time, relation, NA, English), judgeid 8 updated.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Clock Tower(invisible, time, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Clock Tower(invisible, time, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Clock Tower(invisible, time, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Clock Tower(invisible, time, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Clock Tower(invisible, time, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Clock Tower(invisible, time, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Clock Tower(invisible, time, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Clock Tower(invisible, time, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), judgeid 1 updated.
Judge results for folder 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), judgeid 2 updated.
Judge results for folder 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), judgeid 3 updated.
Judge results for folder 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), judgeid 4 updated.
Judge results for folder 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), judgeid 5 updated.
Judge results for folder 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), judgeid 6 updated.
Judge results for folder 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), judgeid 7 updated.
Judge results for folder 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), judgeid 8 updated.
Judge results for folder E-commerce(invisible, business, relation, NA, English), judgeid 1 updated.
Judge results for folder E-commerce(invisible, business, relation, NA, English), judgeid 2 updated.
Judge results for folder E-commerce(invisible, business, relation, NA, English), judgeid 3 updated.
Judge results for folder E-commerce(invisible, business, relation, NA, English), judgeid 4 updated.
Judge results for folder E-commerce(invisible, business, relation, NA, English), judgeid 5 updated.
Judge results for folder E-commerce(invisible, business, relation, NA, English), judgeid 6 updated.
Judge results for folder E-commerce(invisible, business, relation, NA, English), judgeid 7 updated.
Judge results for folder E-commerce(invisible, business, relation, NA, English), judgeid 8 updated.
Judge results for folder Kaizen(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Kaizen(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Kaizen(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Kaizen(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Kaizen(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Kaizen(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Kaizen(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Kaizen(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder metronome(invisible, time, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder metronome(invisible, time, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder metronome(invisible, time, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder metronome(invisible, time, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder metronome(invisible, time, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder metronome(invisible, time, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder metronome(invisible, time, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder metronome(invisible, time, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Seiketsu(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Seiketsu(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Seiketsu(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Seiketsu(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Seiketsu(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Seiketsu(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Seiketsu(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Seiketsu(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), judgeid 1 updated.
Judge results for folder One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), judgeid 2 updated.
Judge results for folder One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), judgeid 3 updated.
Judge results for folder One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), judgeid 4 updated.
Judge results for folder One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), judgeid 5 updated.
Judge results for folder One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), judgeid 6 updated.
Judge results for folder One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), judgeid 7 updated.
Judge results for folder One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), judgeid 8 updated.
Judge results for folder Nemawashi(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Nemawashi(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Nemawashi(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Nemawashi(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Nemawashi(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Nemawashi(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Nemawashi(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Nemawashi(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 1 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 2 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 3 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 4 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 5 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 6 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 7 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 1 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 2 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 3 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 4 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 5 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 6 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 7 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 8 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 1 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 2 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 3 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 4 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 5 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 6 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 7 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 8 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 1 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 2 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 3 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 4 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 5 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 6 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 7 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 8 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 1 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 2 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 3 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 4 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 5 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 6 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 7 updated.
