Judge results for folder Kanban(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Leap Year(invisible, time, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Leap Year(invisible, time, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Leap Year(invisible, time, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Leap Year(invisible, time, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Leap Year(invisible, time, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Leap Year(invisible, time, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Leap Year(invisible, time, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Leap Year(invisible, time, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Sunset(invisible, time, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Sunset(invisible, time, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Sunset(invisible, time, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Sunset(invisible, time, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Sunset(invisible, time, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Sunset(invisible, time, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Sunset(invisible, time, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Sunset(invisible, time, metaphor, NA, English), judgeid 8 updated.
Judge results for folder 三日坊主(invisible, time, mutual elements, East Asia, Japanese), judgeid 1 updated.
Judge results for folder 三日坊主(invisible, time, mutual elements, East Asia, Japanese), judgeid 2 updated.
Judge results for folder 三日坊主(invisible, time, mutual elements, East Asia, Japanese), judgeid 3 updated.
Judge results for folder 三日坊主(invisible, time, mutual elements, East Asia, Japanese), judgeid 4 updated.
Judge results for folder 三日坊主(invisible, time, mutual elements, East Asia, Japanese), judgeid 5 updated.
Judge results for folder 三日坊主(invisible, time, mutual elements, East Asia, Japanese), judgeid 6 updated.
Judge results for folder 三日坊主(invisible, time, mutual elements, East Asia, Japanese), judgeid 7 updated.
Judge results for folder 三日坊主(invisible, time, mutual elements, East Asia, Japanese), judgeid 8 updated.
Judge results for folder 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), judgeid 1 updated.
Judge results for folder 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), judgeid 2 updated.
Judge results for folder 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), judgeid 3 updated.
Judge results for folder 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), judgeid 4 updated.
Judge results for folder 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), judgeid 5 updated.
Judge results for folder 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), judgeid 6 updated.
Judge results for folder 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), judgeid 7 updated.
Judge results for folder 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), judgeid 8 updated.
Judge results for folder Supply Chain(invisible, business, relation, NA, English), judgeid 1 updated.
Judge results for folder Supply Chain(invisible, business, relation, NA, English), judgeid 2 updated.
Judge results for folder Supply Chain(invisible, business, relation, NA, English), judgeid 3 updated.
Judge results for folder Supply Chain(invisible, business, relation, NA, English), judgeid 4 updated.
Judge results for folder Supply Chain(invisible, business, relation, NA, English), judgeid 5 updated.
Judge results for folder Supply Chain(invisible, business, relation, NA, English), judgeid 6 updated.
Judge results for folder Supply Chain(invisible, business, relation, NA, English), judgeid 7 updated.
Judge results for folder Supply Chain(invisible, business, relation, NA, English), judgeid 8 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 1 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 2 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 3 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 4 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 5 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 6 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 7 updated.
Judge results for folder One Hundred Years of Solitude(invisible, time, metaphor, NA, English), judgeid 8 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Shitsuke(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Daylight Saving Time(invisible, time, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Poka-Yoke(invisible, business, relation, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Aging Tree Rings(invisible, time, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 2 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 3 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 4 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 5 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 6 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 7 updated.
Judge results for folder Kintsugi(invisible, business, metaphor, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 1 updated.
Judge results for folder Time Warp(invisible, time, relation, NA, English), judgeid 2 updated.
Missing score for key 3 in response.
Missing score for key 4 in response.
Missing score for key 5 in response.
Missing score for key 6 in response.
Missing score for key 7 in response.
Missing score for key 8 in response.
Missing score for key 9 in response.
Missing score for key 10 in response.
Missing score for key 11 in response.
Missing score for key 12 in response.
Missing score for key 13 in response.
Missing score for key 14 in response.
Missing score for key 15 in response.
Missing score for key 16 in response.
Missing score for key 17 in response.
Missing score for key 18 in response.
Missing score for key 19 in response.
Missing score for key 20 in response.
Missing score for key 21 in response.
Missing score for key 22 in response.
Missing score for key 23 in response.
Missing score for key 24 in response.
Missing score for key 25 in response.
Missing score for key 26 in response.
Missing score for key 27 in response.
Missing score for key 28 in response.
Missing score for key 29 in response.
Missing score for key 30 in response.
Missing score for key 31 in response.
Missing score for key 32 in response.
Missing score for key 33 in response.
Missing score for key 34 in response.
Missing score for key 35 in response.
Missing score for key 36 in response.
Missing score for key 37 in response.
Missing score for key 38 in response.
Missing score for key 39 in response.
Missing score for key 40 in response.
Missing score for key 41 in response.
Missing score for key 42 in response.
Missing score for key 43 in response.
Missing score for key 44 in response.
Missing score for key 45 in response.
Missing score for key 46 in response.
Missing score for key 47 in response.
Missing score for key 48 in response.
Missing score for key 49 in response.
Missing score for key 50 in response.
Missing score for key 51 in response.
Missing score for key 52 in response.
Missing score for key 53 in response.
Missing score for key 54 in response.
Missing score for key 55 in response.
Missing score for key 56 in response.
Missing score for key 57 in response.
Missing score for key 58 in response.
Missing score for key 59 in response.
Missing score for key 60 in response.
Missing score for key 61 in response.
Missing score for key 62 in response.
Missing score for key 63 in response.
Missing score for key 64 in response.
Missing score for key 65 in response.
Missing score for key 66 in response.
Missing score for key 67 in response.
Missing score for key 68 in response.
Missing score for key 69 in response.
Missing score for key 70 in response.
Missing score for key 71 in response.
Missing score for key 72 in response.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Lean Manufacturing(invisible, business, relation, East Asia, Japanese), judgeid 2 updated.
Missing score for key 3 in response.
Missing score for key 4 in response.
Missing score for key 5 in response.
Missing score for key 6 in response.
Missing score for key 7 in response.
Missing score for key 8 in response.
Missing score for key 9 in response.
Missing score for key 10 in response.
Missing score for key 11 in response.
Missing score for key 12 in response.
Missing score for key 13 in response.
Missing score for key 14 in response.
Missing score for key 15 in response.
Missing score for key 16 in response.
Missing score for key 17 in response.
Missing score for key 18 in response.
Missing score for key 19 in response.
Missing score for key 20 in response.
Missing score for key 21 in response.
Missing score for key 22 in response.
Missing score for key 23 in response.
Missing score for key 24 in response.
Missing score for key 25 in response.
Missing score for key 26 in response.
Missing score for key 27 in response.
Missing score for key 28 in response.
Missing score for key 29 in response.
Missing score for key 30 in response.
Missing score for key 31 in response.
Missing score for key 32 in response.
Missing score for key 33 in response.
Missing score for key 34 in response.
Missing score for key 35 in response.
Missing score for key 36 in response.
Missing score for key 37 in response.
Missing score for key 38 in response.
Missing score for key 39 in response.
Missing score for key 40 in response.
Missing score for key 41 in response.
Missing score for key 42 in response.
Missing score for key 43 in response.
Missing score for key 44 in response.
Missing score for key 45 in response.
Missing score for key 46 in response.
Missing score for key 47 in response.
Missing score for key 48 in response.
Missing score for key 49 in response.
Missing score for key 50 in response.
Missing score for key 51 in response.
Missing score for key 52 in response.
Missing score for key 53 in response.
Missing score for key 54 in response.
Missing score for key 55 in response.
Missing score for key 56 in response.
Missing score for key 57 in response.
Missing score for key 58 in response.
Missing score for key 59 in response.
Missing score for key 60 in response.
Missing score for key 61 in response.
Missing score for key 62 in response.
Missing score for key 63 in response.
Missing score for key 64 in response.
Missing score for key 65 in response.
Missing score for key 66 in response.
Missing score for key 67 in response.
Missing score for key 68 in response.
Missing score for key 69 in response.
Missing score for key 70 in response.
Missing score for key 71 in response.
Missing score for key 72 in response.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 1 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 2 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 3 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 4 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 5 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 6 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 7 updated.
Judge results for folder 一期一会(invisible, time, mutual elements, East Asia, Japanese), judgeid 8 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 1 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 2 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 3 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 4 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 5 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 6 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 7 updated.
Judge results for folder Financial Market(invisible, business, relation, NA, English), judgeid 8 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 1 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 2 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 3 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 4 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 5 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 6 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 7 updated.
Judge results for folder Entrepreneurship(visible, business, relation, NA, English), judgeid 8 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 1 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 2 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 3 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 4 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 5 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 6 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 7 updated.
Judge results for folder 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), judgeid 8 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 1 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 2 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 3 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 4 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 5 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 6 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 7 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 8 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 8 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 8 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 8 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 8 updated.
