Error loading image 2_Factory production line.jpg in folder Kanban(invisible, business, relation, East Asia, Japanese): cannot identify image file '/U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/wzd/images/Kanban(invisible, business, relation, East Asia, Japanese)/2_Factory production line.jpg'
Not enough valid images are required for processing.
Successfully processed folder: Fossils(invisible, time, relation, NA, English), testid: 0
Successfully processed folder: 三日坊主(invisible, time, mutual elements, East Asia, Japanese), testid: 1
Successfully processed folder: 三日坊主(invisible, time, mutual elements, East Asia, Japanese), testid: 2
Successfully processed folder: 三日坊主(invisible, time, mutual elements, East Asia, Japanese), testid: 3
Successfully processed folder: 三日坊主(invisible, time, mutual elements, East Asia, Japanese), testid: 4
Successfully processed folder: 三日坊主(invisible, time, mutual elements, East Asia, Japanese), testid: 5
Successfully processed folder: 三日坊主(invisible, time, mutual elements, East Asia, Japanese), testid: 6
Successfully processed folder: 三日坊主(invisible, time, mutual elements, East Asia, Japanese), testid: 7
Successfully processed folder: 三日坊主(invisible, time, mutual elements, East Asia, Japanese), testid: 8
Successfully processed folder: 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), testid: 0
Successfully processed folder: 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), testid: 1
Successfully processed folder: 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), testid: 2
Successfully processed folder: 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), testid: 3
Successfully processed folder: 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), testid: 4
Successfully processed folder: 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), testid: 5
Successfully processed folder: 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), testid: 6
Successfully processed folder: 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), testid: 7
Successfully processed folder: 서두르면 탈 난다(invisible, time, mutual elements, East Asia, Korean), testid: 8
Successfully processed folder: Supply Chain(invisible, business, relation, NA, English), testid: 0
Successfully processed folder: Supply Chain(invisible, business, relation, NA, English), testid: 1
Successfully processed folder: Supply Chain(invisible, business, relation, NA, English), testid: 2
Successfully processed folder: Supply Chain(invisible, business, relation, NA, English), testid: 3
Successfully processed folder: Supply Chain(invisible, business, relation, NA, English), testid: 4
Successfully processed folder: Supply Chain(invisible, business, relation, NA, English), testid: 5
Successfully processed folder: Supply Chain(invisible, business, relation, NA, English), testid: 6
Successfully processed folder: Supply Chain(invisible, business, relation, NA, English), testid: 7
Successfully processed folder: Supply Chain(invisible, business, relation, NA, English), testid: 8
Successfully processed folder: One Hundred Years of Solitude(invisible, time, metaphor, NA, English), testid: 0
Successfully processed folder: One Hundred Years of Solitude(invisible, time, metaphor, NA, English), testid: 1
Successfully processed folder: One Hundred Years of Solitude(invisible, time, metaphor, NA, English), testid: 2
Successfully processed folder: One Hundred Years of Solitude(invisible, time, metaphor, NA, English), testid: 3
Successfully processed folder: One Hundred Years of Solitude(invisible, time, metaphor, NA, English), testid: 4
Successfully processed folder: One Hundred Years of Solitude(invisible, time, metaphor, NA, English), testid: 5
Successfully processed folder: One Hundred Years of Solitude(invisible, time, metaphor, NA, English), testid: 6
Successfully processed folder: One Hundred Years of Solitude(invisible, time, metaphor, NA, English), testid: 7
Successfully processed folder: One Hundred Years of Solitude(invisible, time, metaphor, NA, English), testid: 8
Successfully processed folder: Shitsuke(invisible, business, relation, East Asia, Japanese), testid: 0
Successfully processed folder: Shitsuke(invisible, business, relation, East Asia, Japanese), testid: 1
Successfully processed folder: Shitsuke(invisible, business, relation, East Asia, Japanese), testid: 2
Successfully processed folder: Shitsuke(invisible, business, relation, East Asia, Japanese), testid: 3
Successfully processed folder: Shitsuke(invisible, business, relation, East Asia, Japanese), testid: 4
Successfully processed folder: Shitsuke(invisible, business, relation, East Asia, Japanese), testid: 5
Successfully processed folder: Shitsuke(invisible, business, relation, East Asia, Japanese), testid: 6
Successfully processed folder: Shitsuke(invisible, business, relation, East Asia, Japanese), testid: 7
Successfully processed folder: Shitsuke(invisible, business, relation, East Asia, Japanese), testid: 8
Successfully processed folder: Daylight Saving Time(invisible, time, mutual elements, NA, English), testid: 0
Successfully processed folder: Daylight Saving Time(invisible, time, mutual elements, NA, English), testid: 1
Successfully processed folder: Daylight Saving Time(invisible, time, mutual elements, NA, English), testid: 2
Successfully processed folder: Daylight Saving Time(invisible, time, mutual elements, NA, English), testid: 3
Successfully processed folder: Daylight Saving Time(invisible, time, mutual elements, NA, English), testid: 4
Successfully processed folder: Daylight Saving Time(invisible, time, mutual elements, NA, English), testid: 5
Successfully processed folder: Daylight Saving Time(invisible, time, mutual elements, NA, English), testid: 6
Successfully processed folder: Daylight Saving Time(invisible, time, mutual elements, NA, English), testid: 7
Successfully processed folder: Daylight Saving Time(invisible, time, mutual elements, NA, English), testid: 8
Successfully processed folder: Poka-Yoke(invisible, business, relation, East Asia, Japanese), testid: 0
Successfully processed folder: Poka-Yoke(invisible, business, relation, East Asia, Japanese), testid: 1
Successfully processed folder: Poka-Yoke(invisible, business, relation, East Asia, Japanese), testid: 2
Successfully processed folder: Poka-Yoke(invisible, business, relation, East Asia, Japanese), testid: 3
Successfully processed folder: Poka-Yoke(invisible, business, relation, East Asia, Japanese), testid: 4
Successfully processed folder: Poka-Yoke(invisible, business, relation, East Asia, Japanese), testid: 5
Successfully processed folder: Poka-Yoke(invisible, business, relation, East Asia, Japanese), testid: 6
Successfully processed folder: Poka-Yoke(invisible, business, relation, East Asia, Japanese), testid: 7
Successfully processed folder: Poka-Yoke(invisible, business, relation, East Asia, Japanese), testid: 8
Successfully processed folder: Aging Tree Rings(invisible, time, mutual elements, NA, English), testid: 0
Successfully processed folder: Aging Tree Rings(invisible, time, mutual elements, NA, English), testid: 1
Successfully processed folder: Aging Tree Rings(invisible, time, mutual elements, NA, English), testid: 2
Successfully processed folder: Aging Tree Rings(invisible, time, mutual elements, NA, English), testid: 3
Successfully processed folder: Aging Tree Rings(invisible, time, mutual elements, NA, English), testid: 4
Successfully processed folder: Aging Tree Rings(invisible, time, mutual elements, NA, English), testid: 5
Successfully processed folder: Aging Tree Rings(invisible, time, mutual elements, NA, English), testid: 6
Successfully processed folder: Aging Tree Rings(invisible, time, mutual elements, NA, English), testid: 7
Successfully processed folder: Aging Tree Rings(invisible, time, mutual elements, NA, English), testid: 8
Successfully processed folder: Kintsugi(invisible, business, metaphor, East Asia, Japanese), testid: 0
Successfully processed folder: Kintsugi(invisible, business, metaphor, East Asia, Japanese), testid: 1
Successfully processed folder: Kintsugi(invisible, business, metaphor, East Asia, Japanese), testid: 2
Successfully processed folder: Kintsugi(invisible, business, metaphor, East Asia, Japanese), testid: 3
Successfully processed folder: Kintsugi(invisible, business, metaphor, East Asia, Japanese), testid: 4
Successfully processed folder: Kintsugi(invisible, business, metaphor, East Asia, Japanese), testid: 5
Successfully processed folder: Kintsugi(invisible, business, metaphor, East Asia, Japanese), testid: 6
Successfully processed folder: Kintsugi(invisible, business, metaphor, East Asia, Japanese), testid: 7
Successfully processed folder: Kintsugi(invisible, business, metaphor, East Asia, Japanese), testid: 8
Successfully processed folder: Time Warp(invisible, time, relation, NA, English), testid: 0
Successfully processed folder: Time Warp(invisible, time, relation, NA, English), testid: 1
Successfully processed folder: Time Warp(invisible, time, relation, NA, English), testid: 2
Successfully processed folder: Time Warp(invisible, time, relation, NA, English), testid: 3
Successfully processed folder: Time Warp(invisible, time, relation, NA, English), testid: 4
Successfully processed folder: Time Warp(invisible, time, relation, NA, English), testid: 5
Successfully processed folder: Time Warp(invisible, time, relation, NA, English), testid: 6
Successfully processed folder: Time Warp(invisible, time, relation, NA, English), testid: 7
Successfully processed folder: Time Warp(invisible, time, relation, NA, English), testid: 8
Successfully processed folder: Sundial(invisible, time, metaphor, NA, English), testid: 0
Successfully processed folder: Sundial(invisible, time, metaphor, NA, English), testid: 1
Successfully processed folder: Sundial(invisible, time, metaphor, NA, English), testid: 2
Successfully processed folder: Sundial(invisible, time, metaphor, NA, English), testid: 3
Successfully processed folder: Sundial(invisible, time, metaphor, NA, English), testid: 4
Successfully processed folder: Sundial(invisible, time, metaphor, NA, English), testid: 5
Successfully processed folder: Sundial(invisible, time, metaphor, NA, English), testid: 6
Successfully processed folder: Sundial(invisible, time, metaphor, NA, English), testid: 7
Successfully processed folder: Sundial(invisible, time, metaphor, NA, English), testid: 8
Successfully processed folder: Time Management(invisible, time, relation, NA, English), testid: 0
Successfully processed folder: Time Management(invisible, time, relation, NA, English), testid: 1
Successfully processed folder: Time Management(invisible, time, relation, NA, English), testid: 2
Successfully processed folder: Time Management(invisible, time, relation, NA, English), testid: 3
Successfully processed folder: Time Management(invisible, time, relation, NA, English), testid: 4
Successfully processed folder: Time Management(invisible, time, relation, NA, English), testid: 5
Successfully processed folder: Time Management(invisible, time, relation, NA, English), testid: 6
Successfully processed folder: Time Management(invisible, time, relation, NA, English), testid: 7
Successfully processed folder: Time Management(invisible, time, relation, NA, English), testid: 8
Successfully processed folder: Seiton(invisible, business, relation, East Asia, Japanese), testid: 0
Successfully processed folder: Seiton(invisible, business, relation, East Asia, Japanese), testid: 1
Successfully processed folder: Seiton(invisible, business, relation, East Asia, Japanese), testid: 2
Successfully processed folder: Seiton(invisible, business, relation, East Asia, Japanese), testid: 3
Successfully processed folder: Seiton(invisible, business, relation, East Asia, Japanese), testid: 4
Successfully processed folder: Seiton(invisible, business, relation, East Asia, Japanese), testid: 5
Successfully processed folder: Seiton(invisible, business, relation, East Asia, Japanese), testid: 6
Successfully processed folder: Seiton(invisible, business, relation, East Asia, Japanese), testid: 7
Successfully processed folder: Seiton(invisible, business, relation, East Asia, Japanese), testid: 8
Successfully processed folder: Saving(invisible, business, mutual elements, NA, English), testid: 0
Successfully processed folder: Saving(invisible, business, mutual elements, NA, English), testid: 1
Successfully processed folder: Saving(invisible, business, mutual elements, NA, English), testid: 2
Successfully processed folder: Saving(invisible, business, mutual elements, NA, English), testid: 3
Successfully processed folder: Saving(invisible, business, mutual elements, NA, English), testid: 4
Successfully processed folder: Saving(invisible, business, mutual elements, NA, English), testid: 5
Successfully processed folder: Saving(invisible, business, mutual elements, NA, English), testid: 6
Successfully processed folder: Saving(invisible, business, mutual elements, NA, English), testid: 7
Successfully processed folder: Saving(invisible, business, mutual elements, NA, English), testid: 8
Successfully processed folder: Six Sigma(invisible, business, relation, East Asia, Japanese), testid: 0
Successfully processed folder: Six Sigma(invisible, business, relation, East Asia, Japanese), testid: 1
Successfully processed folder: Six Sigma(invisible, business, relation, East Asia, Japanese), testid: 2
Successfully processed folder: Six Sigma(invisible, business, relation, East Asia, Japanese), testid: 3
Successfully processed folder: Six Sigma(invisible, business, relation, East Asia, Japanese), testid: 4
Successfully processed folder: Six Sigma(invisible, business, relation, East Asia, Japanese), testid: 5
Successfully processed folder: Six Sigma(invisible, business, relation, East Asia, Japanese), testid: 6
Successfully processed folder: Six Sigma(invisible, business, relation, East Asia, Japanese), testid: 7
Successfully processed folder: Six Sigma(invisible, business, relation, East Asia, Japanese), testid: 8
Successfully processed folder: Seiso(invisible, business, relation, East Asia, Japanese), testid: 0
Successfully processed folder: Seiso(invisible, business, relation, East Asia, Japanese), testid: 1
Successfully processed folder: Seiso(invisible, business, relation, East Asia, Japanese), testid: 2
Successfully processed folder: Seiso(invisible, business, relation, East Asia, Japanese), testid: 3
Successfully processed folder: Seiso(invisible, business, relation, East Asia, Japanese), testid: 4
Successfully processed folder: Seiso(invisible, business, relation, East Asia, Japanese), testid: 5
Successfully processed folder: Seiso(invisible, business, relation, East Asia, Japanese), testid: 6
Successfully processed folder: Seiso(invisible, business, relation, East Asia, Japanese), testid: 7
Successfully processed folder: Seiso(invisible, business, relation, East Asia, Japanese), testid: 8
Successfully processed folder: Time Travel(invisible, time, relation, NA, English), testid: 0
Successfully processed folder: Time Travel(invisible, time, relation, NA, English), testid: 1
Successfully processed folder: Time Travel(invisible, time, relation, NA, English), testid: 2
Successfully processed folder: Time Travel(invisible, time, relation, NA, English), testid: 3
Successfully processed folder: Time Travel(invisible, time, relation, NA, English), testid: 4
Successfully processed folder: Time Travel(invisible, time, relation, NA, English), testid: 5
Successfully processed folder: Time Travel(invisible, time, relation, NA, English), testid: 6
Successfully processed folder: Time Travel(invisible, time, relation, NA, English), testid: 7
Successfully processed folder: Time Travel(invisible, time, relation, NA, English), testid: 8
Successfully processed folder: Time Loop(invisible, time, relation, NA, English), testid: 0
Successfully processed folder: Time Loop(invisible, time, relation, NA, English), testid: 1
Successfully processed folder: Time Loop(invisible, time, relation, NA, English), testid: 2
Successfully processed folder: Time Loop(invisible, time, relation, NA, English), testid: 3
Successfully processed folder: Time Loop(invisible, time, relation, NA, English), testid: 4
Successfully processed folder: Time Loop(invisible, time, relation, NA, English), testid: 5
Successfully processed folder: Time Loop(invisible, time, relation, NA, English), testid: 6
Successfully processed folder: Time Loop(invisible, time, relation, NA, English), testid: 7
Successfully processed folder: Time Loop(invisible, time, relation, NA, English), testid: 8
Successfully processed folder: Lean Manufacturing(invisible, business, relation, East Asia, Japanese), testid: 0
Successfully processed folder: Lean Manufacturing(invisible, business, relation, East Asia, Japanese), testid: 1
Successfully processed folder: Lean Manufacturing(invisible, business, relation, East Asia, Japanese), testid: 2
Successfully processed folder: Lean Manufacturing(invisible, business, relation, East Asia, Japanese), testid: 3
Successfully processed folder: Lean Manufacturing(invisible, business, relation, East Asia, Japanese), testid: 4
Successfully processed folder: Lean Manufacturing(invisible, business, relation, East Asia, Japanese), testid: 5
Successfully processed folder: Lean Manufacturing(invisible, business, relation, East Asia, Japanese), testid: 6
Successfully processed folder: Lean Manufacturing(invisible, business, relation, East Asia, Japanese), testid: 7
Successfully processed folder: Lean Manufacturing(invisible, business, relation, East Asia, Japanese), testid: 8
Successfully processed folder: Clock Tower(invisible, time, mutual elements, NA, English), testid: 0
Successfully processed folder: Clock Tower(invisible, time, mutual elements, NA, English), testid: 1
Successfully processed folder: Clock Tower(invisible, time, mutual elements, NA, English), testid: 2
Successfully processed folder: Clock Tower(invisible, time, mutual elements, NA, English), testid: 3
Successfully processed folder: Clock Tower(invisible, time, mutual elements, NA, English), testid: 4
Successfully processed folder: Clock Tower(invisible, time, mutual elements, NA, English), testid: 5
Successfully processed folder: Clock Tower(invisible, time, mutual elements, NA, English), testid: 6
Successfully processed folder: Clock Tower(invisible, time, mutual elements, NA, English), testid: 7
Successfully processed folder: Clock Tower(invisible, time, mutual elements, NA, English), testid: 8
Successfully processed folder: 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), testid: 0
Successfully processed folder: 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), testid: 1
Successfully processed folder: 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), testid: 2
Successfully processed folder: 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), testid: 3
Successfully processed folder: 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), testid: 4
Successfully processed folder: 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), testid: 5
Successfully processed folder: 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), testid: 6
Successfully processed folder: 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), testid: 7
Successfully processed folder: 십 년이면 강산이 변한다(invisible, time, mutual elements, East Asia, Korean), testid: 8
Successfully processed folder: E-commerce(invisible, business, relation, NA, English), testid: 0
Successfully processed folder: E-commerce(invisible, business, relation, NA, English), testid: 1
Successfully processed folder: E-commerce(invisible, business, relation, NA, English), testid: 2
Successfully processed folder: E-commerce(invisible, business, relation, NA, English), testid: 3
Successfully processed folder: E-commerce(invisible, business, relation, NA, English), testid: 4
Successfully processed folder: E-commerce(invisible, business, relation, NA, English), testid: 5
Successfully processed folder: E-commerce(invisible, business, relation, NA, English), testid: 6
Successfully processed folder: E-commerce(invisible, business, relation, NA, English), testid: 7
Successfully processed folder: E-commerce(invisible, business, relation, NA, English), testid: 8
Successfully processed folder: Kaizen(invisible, business, relation, East Asia, Japanese), testid: 0
Successfully processed folder: Kaizen(invisible, business, relation, East Asia, Japanese), testid: 1
Successfully processed folder: Kaizen(invisible, business, relation, East Asia, Japanese), testid: 2
Successfully processed folder: Kaizen(invisible, business, relation, East Asia, Japanese), testid: 3
Successfully processed folder: Kaizen(invisible, business, relation, East Asia, Japanese), testid: 4
Successfully processed folder: Kaizen(invisible, business, relation, East Asia, Japanese), testid: 5
Successfully processed folder: Kaizen(invisible, business, relation, East Asia, Japanese), testid: 6
Successfully processed folder: Kaizen(invisible, business, relation, East Asia, Japanese), testid: 7
Successfully processed folder: Kaizen(invisible, business, relation, East Asia, Japanese), testid: 8
Successfully processed folder: metronome(invisible, time, mutual elements, NA, English), testid: 0
Successfully processed folder: metronome(invisible, time, mutual elements, NA, English), testid: 1
Successfully processed folder: metronome(invisible, time, mutual elements, NA, English), testid: 2
Successfully processed folder: metronome(invisible, time, mutual elements, NA, English), testid: 3
Successfully processed folder: metronome(invisible, time, mutual elements, NA, English), testid: 4
Successfully processed folder: metronome(invisible, time, mutual elements, NA, English), testid: 5
Successfully processed folder: metronome(invisible, time, mutual elements, NA, English), testid: 6
Successfully processed folder: metronome(invisible, time, mutual elements, NA, English), testid: 7
Successfully processed folder: metronome(invisible, time, mutual elements, NA, English), testid: 8
Successfully processed folder: Seiketsu(invisible, business, relation, East Asia, Japanese), testid: 0
Successfully processed folder: Seiketsu(invisible, business, relation, East Asia, Japanese), testid: 1
Successfully processed folder: Seiketsu(invisible, business, relation, East Asia, Japanese), testid: 2
Successfully processed folder: Seiketsu(invisible, business, relation, East Asia, Japanese), testid: 3
Successfully processed folder: Seiketsu(invisible, business, relation, East Asia, Japanese), testid: 4
Successfully processed folder: Seiketsu(invisible, business, relation, East Asia, Japanese), testid: 5
Successfully processed folder: Seiketsu(invisible, business, relation, East Asia, Japanese), testid: 6
Successfully processed folder: Seiketsu(invisible, business, relation, East Asia, Japanese), testid: 7
Successfully processed folder: Seiketsu(invisible, business, relation, East Asia, Japanese), testid: 8
Successfully processed folder: One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), testid: 0
Successfully processed folder: One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), testid: 1
Successfully processed folder: One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), testid: 2
Successfully processed folder: One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), testid: 3
Successfully processed folder: One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), testid: 4
Successfully processed folder: One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), testid: 5
Successfully processed folder: One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), testid: 6
Successfully processed folder: One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), testid: 7
Successfully processed folder: One Hundred Years of Solitude1(invisible, time, metaphor, NA, English), testid: 8
Successfully processed folder: Nemawashi(invisible, business, relation, East Asia, Japanese), testid: 0
Successfully processed folder: Nemawashi(invisible, business, relation, East Asia, Japanese), testid: 1
Successfully processed folder: Nemawashi(invisible, business, relation, East Asia, Japanese), testid: 2
Successfully processed folder: Nemawashi(invisible, business, relation, East Asia, Japanese), testid: 3
Successfully processed folder: Nemawashi(invisible, business, relation, East Asia, Japanese), testid: 4
Successfully processed folder: Nemawashi(invisible, business, relation, East Asia, Japanese), testid: 5
Successfully processed folder: Nemawashi(invisible, business, relation, East Asia, Japanese), testid: 6
Successfully processed folder: Nemawashi(invisible, business, relation, East Asia, Japanese), testid: 7
Successfully processed folder: Nemawashi(invisible, business, relation, East Asia, Japanese), testid: 8
Successfully processed folder: 一期一会(invisible, time, mutual elements, East Asia, Japanese), testid: 0
Successfully processed folder: 一期一会(invisible, time, mutual elements, East Asia, Japanese), testid: 1
Successfully processed folder: 一期一会(invisible, time, mutual elements, East Asia, Japanese), testid: 2
Successfully processed folder: 一期一会(invisible, time, mutual elements, East Asia, Japanese), testid: 3
Successfully processed folder: 一期一会(invisible, time, mutual elements, East Asia, Japanese), testid: 4
Successfully processed folder: 一期一会(invisible, time, mutual elements, East Asia, Japanese), testid: 5
Successfully processed folder: 一期一会(invisible, time, mutual elements, East Asia, Japanese), testid: 6
Successfully processed folder: 一期一会(invisible, time, mutual elements, East Asia, Japanese), testid: 7
Successfully processed folder: 一期一会(invisible, time, mutual elements, East Asia, Japanese), testid: 8
Successfully processed folder: Financial Market(invisible, business, relation, NA, English), testid: 0
Successfully processed folder: Financial Market(invisible, business, relation, NA, English), testid: 1
Successfully processed folder: Financial Market(invisible, business, relation, NA, English), testid: 2
Successfully processed folder: Financial Market(invisible, business, relation, NA, English), testid: 3
Successfully processed folder: Financial Market(invisible, business, relation, NA, English), testid: 4
Successfully processed folder: Financial Market(invisible, business, relation, NA, English), testid: 5
Successfully processed folder: Financial Market(invisible, business, relation, NA, English), testid: 6
Successfully processed folder: Financial Market(invisible, business, relation, NA, English), testid: 7
Successfully processed folder: Financial Market(invisible, business, relation, NA, English), testid: 8
Successfully processed folder: Entrepreneurship(visible, business, relation, NA, English), testid: 0
Successfully processed folder: Entrepreneurship(visible, business, relation, NA, English), testid: 1
Successfully processed folder: Entrepreneurship(visible, business, relation, NA, English), testid: 2
Successfully processed folder: Entrepreneurship(visible, business, relation, NA, English), testid: 3
Successfully processed folder: Entrepreneurship(visible, business, relation, NA, English), testid: 4
Successfully processed folder: Entrepreneurship(visible, business, relation, NA, English), testid: 5
Successfully processed folder: Entrepreneurship(visible, business, relation, NA, English), testid: 6
Successfully processed folder: Entrepreneurship(visible, business, relation, NA, English), testid: 7
Successfully processed folder: Entrepreneurship(visible, business, relation, NA, English), testid: 8
Successfully processed folder: 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), testid: 0
Successfully processed folder: 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), testid: 1
Successfully processed folder: 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), testid: 2
Successfully processed folder: 물에 빠진 사람은 물을 건너라(invisible, business, relation, East Asia, Korean), testid: 3
