Successfully processed folder: Elements of Slavic Folklore(myth, stuff, relation, other, Russian), testid: 0
Successfully processed folder: Individual and Family(stuff, stuff, relation, NA, chinese), testid: 1
Successfully processed folder: Individual and Family(stuff, stuff, relation, NA, chinese), testid: 2
Successfully processed folder: Individual and Family(stuff, stuff, relation, NA, chinese), testid: 3
Successfully processed folder: Surface and Interior(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Surface and Interior(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Surface and Interior(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Surface and Interior(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Scientific Research(STEM, STEM, relation, NA, English), testid: 0
Successfully processed folder: Scientific Research(STEM, STEM, relation, NA, English), testid: 1
Successfully processed folder: Scientific Research(STEM, STEM, relation, NA, English), testid: 2
Successfully processed folder: Scientific Research(STEM, STEM, relation, NA, English), testid: 3
Successfully processed folder: Fluid Dynamics in Sports(stuff, sports, metaphor, NA, English), testid: 0
Successfully processed folder: Fluid Dynamics in Sports(stuff, sports, metaphor, NA, English), testid: 1
Successfully processed folder: Fluid Dynamics in Sports(stuff, sports, metaphor, NA, English), testid: 2
Successfully processed folder: Fluid Dynamics in Sports(stuff, sports, metaphor, NA, English), testid: 3
Successfully processed folder: Symbolic Representation of Power(sports, sports, metaphor, NA, Spanish), testid: 0
Successfully processed folder: Symbolic Representation of Power(sports, sports, metaphor, NA, Spanish), testid: 1
Successfully processed folder: Symbolic Representation of Power(sports, sports, metaphor, NA, Spanish), testid: 2
Successfully processed folder: Symbolic Representation of Power(sports, sports, metaphor, NA, Spanish), testid: 3
Successfully processed folder: Sports Equipment and Outdoor Clothing for Protection.(sports, sports, relation, NA, Spanish), testid: 0
Successfully processed folder: Sports Equipment and Outdoor Clothing for Protection.(sports, sports, relation, NA, Spanish), testid: 1
Successfully processed folder: Sports Equipment and Outdoor Clothing for Protection.(sports, sports, relation, NA, Spanish), testid: 2
Successfully processed folder: Sports Equipment and Outdoor Clothing for Protection.(sports, sports, relation, NA, Spanish), testid: 3
Successfully processed folder: Greek Mythology and Insect Names(myth, myth, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Greek Mythology and Insect Names(myth, myth, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Greek Mythology and Insect Names(myth, myth, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Greek Mythology and Insect Names(myth, myth, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Symbols of Water in Greek Mythology(myth, myth, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Symbols of Water in Greek Mythology(myth, myth, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Symbols of Water in Greek Mythology(myth, myth, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Symbols of Water in Greek Mythology(myth, myth, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Tools for Creative Expression and Food Containment(stuff, stuff, metaphor, NA, English), testid: 0
Successfully processed folder: Tools for Creative Expression and Food Containment(stuff, stuff, metaphor, NA, English), testid: 1
Successfully processed folder: Tools for Creative Expression and Food Containment(stuff, stuff, metaphor, NA, English), testid: 2
Successfully processed folder: Tools for Creative Expression and Food Containment(stuff, stuff, metaphor, NA, English), testid: 3
Successfully processed folder: Containers for Knowledge and Carrying Items(stuff, culture, metaphor, NA, English), testid: 0
Successfully processed folder: Containers for Knowledge and Carrying Items(stuff, culture, metaphor, NA, English), testid: 1
Successfully processed folder: Containers for Knowledge and Carrying Items(stuff, culture, metaphor, NA, English), testid: 2
Successfully processed folder: Containers for Knowledge and Carrying Items(stuff, culture, metaphor, NA, English), testid: 3
Successfully processed folder: Elements of Performance in Sports and Fashion(sports, sports, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Elements of Performance in Sports and Fashion(sports, sports, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Elements of Performance in Sports and Fashion(sports, sports, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Elements of Performance in Sports and Fashion(sports, sports, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Settings for Activity and Nourishment(sports, stuff, metaphor, NA, English), testid: 0
Successfully processed folder: Settings for Activity and Nourishment(sports, stuff, metaphor, NA, English), testid: 1
Successfully processed folder: Settings for Activity and Nourishment(sports, stuff, metaphor, NA, English), testid: 2
Successfully processed folder: Settings for Activity and Nourishment(sports, stuff, metaphor, NA, English), testid: 3
Successfully processed folder: Containers for Flow and Energy Storage(stuff, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Containers for Flow and Energy Storage(stuff, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Containers for Flow and Energy Storage(stuff, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Containers for Flow and Energy Storage(stuff, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Household Items with Functional Properties(stuff, stuff, metaphor, NA, English), testid: 0
Successfully processed folder: Household Items with Functional Properties(stuff, stuff, metaphor, NA, English), testid: 1
Successfully processed folder: Household Items with Functional Properties(stuff, stuff, metaphor, NA, English), testid: 2
Successfully processed folder: Household Items with Functional Properties(stuff, stuff, metaphor, NA, English), testid: 3
Successfully processed folder: Artifacts and Display(stuff, time, relation, NA, English), testid: 0
Successfully processed folder: Artifacts and Display(stuff, time, relation, NA, English), testid: 1
Successfully processed folder: Artifacts and Display(stuff, time, relation, NA, English), testid: 2
Successfully processed folder: Artifacts and Display(stuff, time, relation, NA, English), testid: 3
Successfully processed folder: Symbolism in Mythology and Nature(myth, myth, metaphor, other, Russian), testid: 0
Successfully processed folder: Symbolism in Mythology and Nature(myth, myth, metaphor, other, Russian), testid: 1
Successfully processed folder: Symbolism in Mythology and Nature(myth, myth, metaphor, other, Russian), testid: 2
Successfully processed folder: Symbolism in Mythology and Nature(myth, myth, metaphor, other, Russian), testid: 3
Successfully processed folder: Protection in Mythology and Daily Life(myth, stuff, metaphor, other, Russian), testid: 0
Successfully processed folder: Protection in Mythology and Daily Life(myth, stuff, metaphor, other, Russian), testid: 1
Successfully processed folder: Protection in Mythology and Daily Life(myth, stuff, metaphor, other, Russian), testid: 2
Successfully processed folder: Protection in Mythology and Daily Life(myth, stuff, metaphor, other, Russian), testid: 3
Successfully processed folder: Storage of Resources in Folklore and Everyday Life(myth, stuff, metaphor, other, Russian), testid: 0
Successfully processed folder: Storage of Resources in Folklore and Everyday Life(myth, stuff, metaphor, other, Russian), testid: 1
Successfully processed folder: Storage of Resources in Folklore and Everyday Life(myth, stuff, metaphor, other, Russian), testid: 2
Successfully processed folder: Storage of Resources in Folklore and Everyday Life(myth, stuff, metaphor, other, Russian), testid: 3
Successfully processed folder: Geological Features and Artistic Representations(myth, art, metaphor, Non-English European, Spanish), testid: 0
Successfully processed folder: Geological Features and Artistic Representations(myth, art, metaphor, Non-English European, Spanish), testid: 1
Successfully processed folder: Geological Features and Artistic Representations(myth, art, metaphor, Non-English European, Spanish), testid: 2
Successfully processed folder: Geological Features and Artistic Representations(myth, art, metaphor, Non-English European, Spanish), testid: 3
Successfully processed folder: Literature(animal, animal, mutual elements, East Asia, English), testid: 0
Successfully processed folder: Literature(animal, animal, mutual elements, East Asia, English), testid: 1
Successfully processed folder: Literature(animal, animal, mutual elements, East Asia, English), testid: 2
Successfully processed folder: Literature(animal, animal, mutual elements, East Asia, English), testid: 3
Successfully processed folder: Tools and Structure(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Tools and Structure(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Tools and Structure(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Tools and Structure(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Tools for Assembly and Consumption(stuff, stuff, metaphor, NA, English), testid: 0
Successfully processed folder: Tools for Assembly and Consumption(stuff, stuff, metaphor, NA, English), testid: 1
Successfully processed folder: Tools for Assembly and Consumption(stuff, stuff, metaphor, NA, English), testid: 2
Successfully processed folder: Tools for Assembly and Consumption(stuff, stuff, metaphor, NA, English), testid: 3
Successfully processed folder: Opposition in Hygiene(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Opposition in Hygiene(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Opposition in Hygiene(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Opposition in Hygiene(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Opposite Effects or Powers(stuff, myth, relation, Non-English European, English), testid: 0
Successfully processed folder: Opposite Effects or Powers(stuff, myth, relation, Non-English European, English), testid: 1
Successfully processed folder: Opposite Effects or Powers(stuff, myth, relation, Non-English European, English), testid: 2
Successfully processed folder: Opposite Effects or Powers(stuff, myth, relation, Non-English European, English), testid: 3
Successfully processed folder: Short-lived Beauty(stuff, animal, mutual elements, NA, English), testid: 0
Successfully processed folder: Short-lived Beauty(stuff, animal, mutual elements, NA, English), testid: 1
Successfully processed folder: Short-lived Beauty(stuff, animal, mutual elements, NA, English), testid: 2
Successfully processed folder: Short-lived Beauty(stuff, animal, mutual elements, NA, English), testid: 3
Successfully processed folder: Misleading Names(animal, food, relation, USAEnglish, English), testid: 0
Successfully processed folder: Misleading Names(animal, food, relation, USAEnglish, English), testid: 1
Successfully processed folder: Misleading Names(animal, food, relation, USAEnglish, English), testid: 2
Successfully processed folder: Misleading Names(animal, food, relation, USAEnglish, English), testid: 3
Successfully processed folder: Similar Shapes(animal, stuff, relation, NA, English), testid: 0
Successfully processed folder: Similar Shapes(animal, stuff, relation, NA, English), testid: 1
Successfully processed folder: Similar Shapes(animal, stuff, relation, NA, English), testid: 2
Successfully processed folder: Similar Shapes(animal, stuff, relation, NA, English), testid: 3
Successfully processed folder: Common Pairing(stuff, food, relation, East Asia, Chinese), testid: 0
Successfully processed folder: Common Pairing(stuff, food, relation, East Asia, Chinese), testid: 1
Successfully processed folder: Common Pairing(stuff, food, relation, East Asia, Chinese), testid: 2
Successfully processed folder: Common Pairing(stuff, food, relation, East Asia, Chinese), testid: 3
Successfully processed folder: Unexpected Similarity(stuff, animal, relation, NA, English), testid: 0
Successfully processed folder: Unexpected Similarity(stuff, animal, relation, NA, English), testid: 1
Successfully processed folder: Unexpected Similarity(stuff, animal, relation, NA, English), testid: 2
Successfully processed folder: Unexpected Similarity(stuff, animal, relation, NA, English), testid: 3
Successfully processed folder: Concrete to Abstract(stuff, STEM, relation, NA, English), testid: 0
Successfully processed folder: Concrete to Abstract(stuff, STEM, relation, NA, English), testid: 1
Successfully processed folder: Concrete to Abstract(stuff, STEM, relation, NA, English), testid: 2
Successfully processed folder: Concrete to Abstract(stuff, STEM, relation, NA, English), testid: 3
Successfully processed folder: Concretely Present One(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Concretely Present One(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Concretely Present One(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Concretely Present One(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Concretely Present Tow(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Concretely Present Tow(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Concretely Present Tow(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Concretely Present Tow(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Concretely Present Three(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Concretely Present Three(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Concretely Present Three(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Concretely Present Three(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Concretely Present Four(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Concretely Present Four(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Concretely Present Four(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Concretely Present Four(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: The Person or Event That Creates Sports One(sports, sports, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: The Person or Event That Creates Sports One(sports, sports, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: The Person or Event That Creates Sports One(sports, sports, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: The Person or Event That Creates Sports One(sports, sports, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: The Person or Event That Creates Sports Tow(sports, sports, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: The Person or Event That Creates Sports Tow(sports, sports, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: The Person or Event That Creates Sports Tow(sports, sports, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: The Person or Event That Creates Sports Tow(sports, sports, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: The Person or Event That Creates Sports Three(sports, sports, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: The Person or Event That Creates Sports Three(sports, sports, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: The Person or Event That Creates Sports Three(sports, sports, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: The Person or Event That Creates Sports Three(sports, sports, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: The Person or Event That Creates Sports(sports, sports, mutual elements, Non-English European, English), testid: 0
Successfully processed folder: The Person or Event That Creates Sports(sports, sports, mutual elements, Non-English European, English), testid: 1
Successfully processed folder: The Person or Event That Creates Sports(sports, sports, mutual elements, Non-English European, English), testid: 2
Successfully processed folder: The Person or Event That Creates Sports(sports, sports, mutual elements, Non-English European, English), testid: 3
Successfully processed folder: Items and Proverbs English One(stuff, culture, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Items and Proverbs English One(stuff, culture, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Items and Proverbs English One(stuff, culture, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Items and Proverbs English One(stuff, culture, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Items and Proverbs English Tow(stuff, culture, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Items and Proverbs English Tow(stuff, culture, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Items and Proverbs English Tow(stuff, culture, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Items and Proverbs English Tow(stuff, culture, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Items and Proverbs English Three(stuff, culture, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Items and Proverbs English Three(stuff, culture, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Items and Proverbs English Three(stuff, culture, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Items and Proverbs English Three(stuff, culture, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Items and Proverbs English Four(stuff, culture, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Items and Proverbs English Four(stuff, culture, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Items and Proverbs English Four(stuff, culture, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Items and Proverbs English Four(stuff, culture, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Items and Proverbs English Five(stuff, culture, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Items and Proverbs English Five(stuff, culture, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Items and Proverbs English Five(stuff, culture, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Items and Proverbs English Five(stuff, culture, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Items and Proverbs English Six(stuff, culture, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Items and Proverbs English Six(stuff, culture, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Items and Proverbs English Six(stuff, culture, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Items and Proverbs English Six(stuff, culture, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Items and Proverbs Russia One(stuff, culture, metaphor, other, Russian), testid: 0
Successfully processed folder: Items and Proverbs Russia One(stuff, culture, metaphor, other, Russian), testid: 1
Successfully processed folder: Items and Proverbs Russia One(stuff, culture, metaphor, other, Russian), testid: 2
Successfully processed folder: Items and Proverbs Russia One(stuff, culture, metaphor, other, Russian), testid: 3
Successfully processed folder: Items and Proverbs Russia Tow(stuff, culture, metaphor, other, Russian), testid: 0
Successfully processed folder: Items and Proverbs Russia Tow(stuff, culture, metaphor, other, Russian), testid: 1
Successfully processed folder: Items and Proverbs Russia Tow(stuff, culture, metaphor, other, Russian), testid: 2
Successfully processed folder: Items and Proverbs Russia Tow(stuff, culture, metaphor, other, Russian), testid: 3
Successfully processed folder: Items and Proverbs Russia Three(stuff, culture, metaphor, other, Russian), testid: 0
Successfully processed folder: Items and Proverbs Russia Three(stuff, culture, metaphor, other, Russian), testid: 1
Successfully processed folder: Items and Proverbs Russia Three(stuff, culture, metaphor, other, Russian), testid: 2
Successfully processed folder: Items and Proverbs Russia Three(stuff, culture, metaphor, other, Russian), testid: 3
Successfully processed folder: Items and Proverbs Russia Four(stuff, culture, metaphor, other, Russian), testid: 0
Successfully processed folder: Items and Proverbs Russia Four(stuff, culture, metaphor, other, Russian), testid: 1
Successfully processed folder: Items and Proverbs Russia Four(stuff, culture, metaphor, other, Russian), testid: 2
Successfully processed folder: Items and Proverbs Russia Four(stuff, culture, metaphor, other, Russian), testid: 3
Successfully processed folder: Internet Hot Spot Chinese One(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese One(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese One(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese One(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Internet Hot Spot Chinese Two(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese Two(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese Two(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese Two(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Internet Hot Spot Chinese Three(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese Three(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese Three(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese Three(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Internet Hot Spot Chinese Four(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese Four(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese Four(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese Four(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Internet Hot Spot Chinese Five(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese Five(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese Five(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese Five(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Internet Hot Spot Chinese Six(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese Six(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese Six(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese Six(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Internet Hot Spot Chinese Seven(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese Seven(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese Seven(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese Seven(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Internet Hot Spot Chinese Eight(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese Eight(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese Eight(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese Eight(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Internet Hot Spot Chinese(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Internet Hot Spot Chinese Ten(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Internet Hot Spot Chinese Ten(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Internet Hot Spot Chinese Ten(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Internet Hot Spot Chinese Ten(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Proverbs or idioms and Stuffs Chinese One(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese One(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Proverbs or idioms and Stuffs Chinese One(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Proverbs or idioms and Stuffs Chinese One(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Tow(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Tow(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Tow(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Tow(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Three(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Three(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Three(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Three(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Four(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Four(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Four(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Four(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Five(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Five(stuff, culture, metaphor, East Asia, chinese), testid: 1
