Successfully processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English), testid: 0
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 6
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 7
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 8
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 9
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 10
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 11
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 12
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 13
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 14
Successfully processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English), testid: 15
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 1
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 2
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 3
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 4
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 5
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 6
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 7
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 8
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 9
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 10
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 11
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 12
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 13
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 14
Successfully processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English), testid: 15
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 0
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 1
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 2
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 3
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 4
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 5
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 6
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 7
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 8
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 9
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 10
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 11
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 12
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 13
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 14
Successfully processed folder: Hanoi(invisible, country, mutual elements, NA, English), testid: 15
Image not found: 1_business pitch deck.jpg in folder Shark Tank(invisible, business, mutual elements, NA, English)
Image not found: 2_business pitch deck.jpg in folder Shark Tank(invisible, business, mutual elements, NA, English)
Not enough valid images for processing.
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 0
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 1
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 2
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 3
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 4
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 5
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 6
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 7
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 8
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 9
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 10
Successfully processed folder: Leverage(invisible, business, mutual elements, NA, English), testid: 11
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 0
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 1
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 2
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 3
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 4
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 5
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 6
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 7
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 8
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 9
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 10
Successfully processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese), testid: 11
Successfully processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese), testid: 0
Successfully processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese), testid: 1
Successfully processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese), testid: 2
Successfully processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese), testid: 3
Successfully processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese), testid: 4
Successfully processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese), testid: 5
Successfully processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese), testid: 6
Successfully processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese), testid: 7
Successfully processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian), testid: 0
Successfully processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian), testid: 1
Successfully processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian), testid: 2
Successfully processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian), testid: 3
Successfully processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian), testid: 4
Successfully processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian), testid: 5
Successfully processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian), testid: 6
Successfully processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian), testid: 7
Successfully processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian), testid: 8
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 0
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 1
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 2
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 3
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 4
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 5
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 6
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 7
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 8
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 9
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 10
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 11
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 12
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 13
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 14
Successfully processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian), testid: 15
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 1
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 2
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 3
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 4
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 5
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 6
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 7
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 8
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 9
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 10
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 11
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 12
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 13
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 14
Successfully processed folder: Venice(visible, city, mutual elements, NA, English), testid: 15
Successfully processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian), testid: 0
Successfully processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian), testid: 1
Successfully processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian), testid: 2
Successfully processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian), testid: 3
Successfully processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian), testid: 4
Successfully processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian), testid: 5
Successfully processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian), testid: 6
Successfully processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian), testid: 7
Successfully processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian), testid: 8
Successfully processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian), testid: 0
Successfully processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian), testid: 1
Successfully processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian), testid: 2
Successfully processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian), testid: 3
Successfully processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian), testid: 4
Successfully processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian), testid: 5
Successfully processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian), testid: 0
Successfully processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian), testid: 1
Successfully processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian), testid: 2
Successfully processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian), testid: 3
Successfully processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian), testid: 4
Successfully processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian), testid: 5
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 2
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 3
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 4
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 5
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/fxt/internlm-xcomposer2d5-7b_multi_results.json
Skipping already processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Santorini(visible, city, mutual elements, NA, English)
Skipping already processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: Electronics(invisible, STEM, relation, NA, English)
Skipping already processed folder: Geology(invisible, STEM, relation, NA, English)
Skipping already processed folder: Montreal(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Proprioception(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English)
Skipping already processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English)
Skipping already processed folder: Hanoi(invisible, country, mutual elements, NA, English)
Successfully processed folder: Shark Tank(invisible, business, mutual elements, NA, English), testid: 0
Successfully processed folder: Shark Tank(invisible, business, mutual elements, NA, English), testid: 1
Successfully processed folder: Shark Tank(invisible, business, mutual elements, NA, English), testid: 2
Successfully processed folder: Shark Tank(invisible, business, mutual elements, NA, English), testid: 3
Successfully processed folder: Shark Tank(invisible, business, mutual elements, NA, English), testid: 4
Successfully processed folder: Shark Tank(invisible, business, mutual elements, NA, English), testid: 5
Successfully processed folder: Shark Tank(invisible, business, mutual elements, NA, English), testid: 6
Successfully processed folder: Shark Tank(invisible, business, mutual elements, NA, English), testid: 7
Skipping already processed folder: Leverage(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Venice(visible, city, mutual elements, NA, English)
Skipping already processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: Sole(invisible, country, relation, Non-English European, Italian)
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/fxt/internlm-xcomposer2d5-7b_multi_results.json
Skipping already processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Santorini(visible, city, mutual elements, NA, English)
Skipping already processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: Electronics(invisible, STEM, relation, NA, English)
Skipping already processed folder: Geology(invisible, STEM, relation, NA, English)
Skipping already processed folder: Montreal(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Proprioception(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English)
Skipping already processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English)
Skipping already processed folder: Hanoi(invisible, country, mutual elements, NA, English)
Skipping already processed folder: Shark Tank(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Leverage(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Venice(visible, city, mutual elements, NA, English)
Skipping already processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: Sole(invisible, country, relation, Non-English European, Italian)
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/fxt/internlm-xcomposer2d5-7b_multi_results.json
Skipping already processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English)
Successfully processed folder: Santorini(visible, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Santorini(visible, city, mutual elements, NA, English), testid: 1
Skipping already processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: Electronics(invisible, STEM, relation, NA, English)
Skipping already processed folder: Geology(invisible, STEM, relation, NA, English)
Skipping already processed folder: Montreal(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Proprioception(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English)
Skipping already processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English)
Skipping already processed folder: Hanoi(invisible, country, mutual elements, NA, English)
Skipping already processed folder: Shark Tank(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Leverage(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Venice(visible, city, mutual elements, NA, English)
Skipping already processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian)
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 0
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 1
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 2
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 3
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 4
Successfully processed folder: Sole(invisible, country, relation, Non-English European, Italian), testid: 5
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/fxt/internlm-xcomposer2d5-7b_multi_results.json
Skipping already processed folder: Kuala Lumpur(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Santorini(visible, city, mutual elements, NA, English)
Skipping already processed folder: Newton's Laws of Motion(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: Electronics(invisible, STEM, relation, NA, English)
Skipping already processed folder: Geology(invisible, STEM, relation, NA, English)
Skipping already processed folder: Montreal(invisible, city, mutual elements, NA, English)
Skipping already processed folder: Proprioception(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: AmericanCulture(visible, country, mutual elements, USAEnglish, English)
Skipping already processed folder: AmericanIdentity(visible, country, relation, USAEnglish, English)
Skipping already processed folder: Hanoi(invisible, country, mutual elements, NA, English)
Skipping already processed folder: Shark Tank(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Leverage(invisible, business, mutual elements, NA, English)
Skipping already processed folder: Umami(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Iki(invisible, sense, mutual elements, East Asia, Japanese)
Skipping already processed folder: Agrodolce(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Sapido(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Venice(visible, city, mutual elements, NA, English)
Skipping already processed folder: Occhio non vede, cuore non duole(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: A lume di naso(invisible, sense, mutual elements, Non-English European, Italian)
Skipping already processed folder: Ho visto del vino e ho bevuto(invisible, country, metaphor, Non-English European, Italian)
Skipping already processed folder: Sole(invisible, country, relation, Non-English European, Italian)
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/fxt/internlm-xcomposer2d5-7b_multi_results.json
