Judge results for folder Golden fleece(invisible, myth, metaphor, Non-English European, English) updated
Judge results for folder Blockchain Technology(invisible, STEM, mutual elements, other, English) updated
Judge results for folder Fibonacci sequence(invisible, STEM, relation, USAEnglish, English) updated
Judge results for folder Bernoulli Principle(invisible, STEM, relation, USAEnglish, English) updated
Judge results for folder Gravitational waves(invisible, STEM, metaphor, other, English) updated
Judge results for folder Nanotech(invisible, STEM, metaphor, other, English) updated
Judge results for folder Garfield(invisible, cartoon or game, mutual elements, USAEnglish, English) updated
Judge results for folder Homer Simpson(invisible, cartoon or game, mutual elements, USAEnglish, English) updated
Judge results for folder Scooby-Doo(invisible, cartoon or game, mutual elements, USAEnglish, English) updated
Judge results for folder Popeye(invisible, cartoon or game, mutual elements, USAEnglish, English) updated
Judge results for folder Ninja Turtles(invisible, cartoon or game, mutual elements, USAEnglish, English) updated
Judge results for folder Powerpuff Girls(invisible, cartoon or game, mutual elements, USAEnglish, English) updated
Judge results for folder Dragon Ball(invisible, cartoon or game, mutual elements, East Asia, English) updated
Judge results for folder Codename KND(invisible, cartoon or game, mutual elements, USAEnglish, English) updated
Judge results for folder Danny Phantom(invisible, cartoon or game, mutual elements, USAEnglish, English) updated
Judge results for folder Rock, Paper, Scissors(invisible, cartoon or game, mutual elements, NA, English) updated
Judge results for folder Chess knight's move(invisible, cartoon or game, relation, USAEnglish, English) updated
Judge results for folder Pacman ghost patterns(invisible, cartoon or game, relation, East Asia, English) updated
Judge results for folder Snake and Ladder Karma(invisible, cartoon or game, relation, other, English) updated
Judge results for folder Hide and Seek Counting(invisible, cartoon or game, relation, NA, English) updated
Judge results for folder Hopscotch pattern(visible, cartoon or game, relation, USAEnglish, English) updated
Judge results for folder Marbles Circle(invisible, cartoon or game, relation, NA, English) updated
Judge results for folder Blind Man's Buff(invisible, cartoon or game, relation, USAEnglish, English) updated
Judge results for folder Strategic Decision(invisible, cartoon or game, relation, NA, English) updated
Judge results for folder Predicting the Future(invisible, cartoon or game, relation, NA, English) updated
Judge results for folder Naruto's Ramen(invisible, cartoon or game, relation, East Asia, English) updated
Judge results for folder Pink Panther(invisible, cartoon or game, relation, USAEnglish, English) updated
Judge results for folder Phineas & Ferb(invisible, cartoon or game, metaphor, USAEnglish, English) updated
Judge results for folder Ms.Frizzle(invisible, cartoon or game, metaphor, USAEnglish, English) updated
Judge results for folder Scooby Snacks(invisible, cartoon or game, metaphor, USAEnglish, English) updated
Judge results for folder What is up, Doc(invisible, cartoon or game, metaphor, USAEnglish, English) updated
Judge results for folder Zoinks!(invisible, cartoon or game, metaphor, USAEnglish, English) updated
Judge results for folder Steven Universe(invisible, cartoon or game, metaphor, USAEnglish, English) updated
Judge results for folder Tower Defense(invisible, cartoon or game, metaphor, NA, English) updated
Judge results for folder Compass Rose D-pade(invisible, cartoon or game, metaphor, NA, English) updated
Judge results for folder Power-up Mushroom(invisible, cartoon or game, metaphor, East Asia, English) updated
Judge results for folder Morse Code MIDI(invisible, music, metaphor, NA, English) updated
Judge results for folder Treble Clef(invisible, music, metaphor, USAEnglish, English) updated
Judge results for folder Quarter Note(invisible, music, metaphor, USAEnglish, English) updated
Judge results for folder タイコ(invisible, music, metaphor, East Asia, Japanese) updated
Judge results for folder Indian Tabla(invisible, music, metaphor, other, English) updated
Judge results for folder The Beatles(invisible, music, metaphor, USAEnglish, English) updated
Judge results for folder Bollywood Music(invisible, music, metaphor, other, English) updated
Judge results for folder Woodstock(invisible, music, metaphor, USAEnglish, English) updated
Judge results for folder Grammy Awards(invisible, music, metaphor, USAEnglish, English) updated
Judge results for folder Rock and Roll(invisible, music, metaphor, USAEnglish, English) updated
Judge results for folder Vinyl Record(invisible, music, relation, NA, English) updated
Judge results for folder Piano Keys(invisible, music, relation, USAEnglish, English) updated
Judge results for folder Microphone(invisible, music, relation, NA, English) updated
Judge results for folder Saxophone(invisible, music, relation, NA, English) updated
Judge results for folder Orchestra(invisible, music, relation, USAEnglish, English) updated
Judge results for folder Music Box(invisible, music, relation, USAEnglish, English) updated
Judge results for folder Bach's Cello Suite(invisible, music, relation, USAEnglish, English) updated
Judge results for folder Sitar(invisible, music, relation, South Asia and South-East Asia, English) updated
Judge results for folder Opera Mask(invisible, music, relation, Non-English European, English) updated
Judge results for folder Headphones(invisible, music, relation, NA, English) updated
Judge results for folder Choral Group(invisible, music, relation, NA, English) updated
Judge results for folder Fedora Hat(visible, music, mutual elements, USAEnglish, English) updated
Judge results for folder Hakka Folk Songs(invisible, music, mutual elements, East Asia, English) updated
Judge results for folder Beethoven's Fifth Symphony(invisible, music, mutual elements, USAEnglish, English) updated
Judge results for folder Chopin’s Nocturnes(invisible, music, mutual elements, USAEnglish, English) updated
Judge results for folder Queer Anthems(invisible, music, mutual elements, NA, English) updated
Judge results for folder Didgeridoo(visible, music, mutual elements, other, English) updated
Judge results for folder American Bluegrass(visible, music, mutual elements, USAEnglish, English) updated
Judge results for folder Montreux Jazz Festival(invisible, music, mutual elements, USAEnglish, English) updated
Judge results for folder Orff Approach(invisible, music, mutual elements, Non-English European, English) updated
Judge results for folder The Dinner Party(invisible, art, mutual elements, USAEnglish, English) updated
Judge results for folder Slavic Embroidery(invisible, art, mutual elements, Non-English European, English) updated
Judge results for folder Elgin Marbles(invisible, art, relation, Non-English European, English) updated
Judge results for folder Terracotta Army(invisible, art, relation, East Asia, English) updated
Judge results for folder The Bauhaus Movement(invisible, art, mutual elements, Non-English European, English) updated
Judge results for folder Statue of Liberty(invisible, art, mutual elements, USAEnglish, English) updated
Judge results for folder The Louvre(visible, art, relation, Non-English European, English) updated
Judge results for folder Warhol’s Campbell’s Soup Cans(invisible, art, relation, USAEnglish, English) updated
Judge results for folder Berlin Wall Art(invisible, art, relation, Non-English European, English) updated
Judge results for folder St. Peter’s Basilica(invisible, art, relation, Non-English European, English) updated
Judge results for folder Baroque Influence(invisible, art, relation, Non-English European, English) updated
Judge results for folder 文化大革命(invisible, art, mutual elements, East Asia, Chinese) updated
Judge results for folder 一寸光阴一寸金(invisible, art, metaphor, East Asia, Chinese) updated
Judge results for folder 画蛇添足(invisible, art, relation, East Asia, Chinese) updated
Judge results for folder Kachina Dolls(visible, art, relation, USAEnglish, English) updated
Judge results for folder Arabic Calligraphy(invisible, art, mutual elements, other, English) updated
Judge results for folder Shadow Puppetry(visible, art, mutual elements, East Asia, English) updated
Judge results for folder NFT Art(invisible, art, mutual elements, NA, English) updated
Judge results for folder Matryoshka Dolls(invisible, art, relation, other, English) updated
Judge results for folder Maya Stelae(invisible, art, relation, other, English) updated
Judge results for folder ঠাকুর ঘরে কে আমি কলা খাই না(invisible, art, metaphor, other, Bengali) updated
Judge results for folder চোর পালালে বুদ্ধি বাড়ে(invisible, art, metaphor, other, Bengali) updated
Judge results for folder না থাকলে বাঘ, কুকুরেই রাজা(invisible, art, metaphor, other, Bengali) updated
Judge results for folder ঘোড়া ডুবলে খুরা বুঝা যায়(invisible, art, metaphor, South Asia and South-East Asia, Bengali) updated
Judge results for folder घर की मुर्गी दाल बराबर(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Judge results for folder बूंद बूंद से सागर भरता है(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Judge results for folder जितना लम्बा सोने का काला, उतना ही अधिक है गधे का भाला(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Judge results for folder सांप निकल जाने पर लकीर पीटना(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Judge results for folder नौ सौ चूहे खाकर बिल्ली चली हज को(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Judge results for folder भगवद गीता(invisible, art, relation, South Asia and South-East Asia, Hindi) updated
Judge results for folder चाचा चौधरी(invisible, cartoon or game, relation, South Asia and South-East Asia, Hindi) updated
Judge results for folder पंचतंत्र(invisible, cartoon or game, mutual elements, South Asia and South-East Asia, Hindi) updated
Judge results for folder शिवाजी का सामना(invisible, cartoon or game, mutual elements, South Asia and South-East Asia, Hindi) updated
Judge results for folder गणेश चतुर्थी(invisible, art, mutual elements, South Asia and South-East Asia, Hindi) updated
Judge results for folder ऊँट के मुँह में जीरा।(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Judge results for folder नाच ना जाने आँगन टेढ़ा।(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Judge results for folder अधजल गगरी छलकत जाए।(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Judge results for folder अंधे के हाथ बटेर लगना।(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Judge results for folder बोया पेड़ बबूल का, तो आम कहाँ से होय।(invisible, art, metaphor, South Asia and South-East Asia, Hindi) updated
Finish: Judge results all saved to ./Qwen/Qwen2.5-VL-7B-Instruct_judge_new.json
Finish: Combined results all saved to ./Qwen/Qwen2.5-VL-7B-Instruct_test_and_judge_new.json
Judge results already found for folder: Golden fleece(invisible, myth, metaphor, Non-English European, English)
Judge results already found for folder: Pandora's box(invisible, myth, metaphor, Non-English European, English)
Judge results already found for folder: Medusa's gaze(invisible, myth, metaphor, Non-English European, English)
Judge results already found for folder: Trojan Horse(visible, myth, relation, Non-English European, English)
Judge results already found for folder: Phoenix Rising(invisible, myth, relation, USAEnglish, English)
Judge results already found for folder: Banshee's Wail(invisible, myth, relation, USAEnglish, English)
Judge results already found for folder: Narcissus' reflection(invisible, myth, mutual elements, Non-English European, English)
Judge results already found for folder: Loch Ness Monster(invisible, myth, mutual elements, Non-English European, English)
Judge results already found for folder: Hole in one(visible, sport, mutual elements, other, English)
Judge results already found for folder: Slam dunk(visible, sport, mutual elements, other, English)
Judge results already found for folder: Grand Slam(invisible, sport, relation, other, English)
Judge results already found for folder: Alley-oop(visible, sport, relation, other, English)
Judge results already found for folder: Hattrick(invisible, sport, relation, USAEnglish, English)
Judge results already found for folder: Buzzer-beater(invisible, sport, metaphor, other, English)
Judge results already found for folder: Photo finish(invisible, sport, metaphor, other, English)
Judge results already found for folder: Echolocation(invisible, animal, mutual elements, other, English)
Judge results already found for folder: Hibernation(visible, animal, mutual elements, other, English)
Judge results already found for folder: Bioluminescence(visible, animal, mutual elements, other, English)
Judge results already found for folder: Symbiosis(invisible, animal, relation, other, English)
Judge results already found for folder: Metamorphosis(invisible, animal, relation, other, English)
Judge results already found for folder: Nocturnal(invisible, animal, metaphor, other, English)
Judge results already found for folder: Endangered species(invisible, animal, metaphor, other, English)
Judge results already found for folder: Prime number(invisible, STEM, mutual elements, other, English)
Judge results already found for folder: Quantum computing(invisible, STEM, mutual elements, other, English)
Judge results already found for folder: Palindromic Number(visible, STEM, relation, other, English)
Judge results already found for folder: Perfect Number(invisible, STEM, relation, other, English)
Judge results already found for folder: Bayes' theorem(invisible, STEM, metaphor, other, English)
Judge results already found for folder: π (pi)(invisible, STEM, metaphor, other, English)
Judge results already found for folder: Mise en place(invisible, food, mutual elements, other, English)
Judge results already found for folder: Kosher(invisible, food, mutual elements, USAEnglish, English)
Judge results already found for folder: Halal(invisible, food, relation, other, English)
Judge results already found for folder: Sous-vide(visible, food, relation, other, English)
Judge results already found for folder: Blanching(visible, food, metaphor, other, English)
Judge results already found for folder: Koji Fermentation(visible, food, metaphor, East Asia, English)
Judge results already found for folder: Archipelago(visible, country, mutual elements, Non-English European, English)
Judge results already found for folder: Geopolitics(invisible, country, mutual elements, other, English)
Judge results already found for folder: Secession(invisible, country, relation, USAEnglish, English)
Judge results already found for folder: Sanctions(invisible, country, relation, other, English)
Judge results already found for folder: Inflation(invisible, country, metaphor, other, English)
Judge results already found for folder: Exclave(invisible, country, metaphor, other, English)
Judge results already found for folder: Woodstock(invisible, city, mutual elements, USAEnglish, English)
Judge results already found for folder: Skyscraper(visible, city, mutual elements, other, English)
Judge results already found for folder: Liberty Bell(invisible, city, relation, USAEnglish, English)
Judge results already found for folder: Motor City(visible, city, relation, USAEnglish, English)
Judge results already found for folder: 鸟巢(invisible, city, metaphor, East Asia, Chinese)
Judge results already found for folder: CRISPR gene editing(visible, STEM, mutual elements, other, English)
Judge results already found for folder: Blockchain Technology(invisible, STEM, mutual elements, other, English)
Judge results already found for folder: Fibonacci sequence(invisible, STEM, relation, USAEnglish, English)
Judge results already found for folder: Bernoulli Principle(invisible, STEM, relation, USAEnglish, English)
Judge results already found for folder: Gravitational waves(invisible, STEM, metaphor, other, English)
Judge results already found for folder: Nanotech(invisible, STEM, metaphor, other, English)
Judge results already found for folder: Garfield(invisible, cartoon or game, mutual elements, USAEnglish, English)
Judge results already found for folder: Homer Simpson(invisible, cartoon or game, mutual elements, USAEnglish, English)
Judge results already found for folder: Scooby-Doo(invisible, cartoon or game, mutual elements, USAEnglish, English)
Judge results already found for folder: Popeye(invisible, cartoon or game, mutual elements, USAEnglish, English)
Judge results already found for folder: Ninja Turtles(invisible, cartoon or game, mutual elements, USAEnglish, English)
Judge results already found for folder: Powerpuff Girls(invisible, cartoon or game, mutual elements, USAEnglish, English)
Judge results already found for folder: Dragon Ball(invisible, cartoon or game, mutual elements, East Asia, English)
Judge results already found for folder: Codename KND(invisible, cartoon or game, mutual elements, USAEnglish, English)
Judge results already found for folder: Danny Phantom(invisible, cartoon or game, mutual elements, USAEnglish, English)
Judge results already found for folder: Rock, Paper, Scissors(invisible, cartoon or game, mutual elements, NA, English)
Judge results already found for folder: Chess knight's move(invisible, cartoon or game, relation, USAEnglish, English)
Judge results already found for folder: Pacman ghost patterns(invisible, cartoon or game, relation, East Asia, English)
Judge results already found for folder: Snake and Ladder Karma(invisible, cartoon or game, relation, other, English)
Judge results already found for folder: Hide and Seek Counting(invisible, cartoon or game, relation, NA, English)
Judge results already found for folder: Hopscotch pattern(visible, cartoon or game, relation, USAEnglish, English)
Judge results already found for folder: Marbles Circle(invisible, cartoon or game, relation, NA, English)
Judge results already found for folder: Blind Man's Buff(invisible, cartoon or game, relation, USAEnglish, English)
Judge results already found for folder: Strategic Decision(invisible, cartoon or game, relation, NA, English)
Judge results already found for folder: Predicting the Future(invisible, cartoon or game, relation, NA, English)
Judge results already found for folder: Naruto's Ramen(invisible, cartoon or game, relation, East Asia, English)
Judge results already found for folder: Pink Panther(invisible, cartoon or game, relation, USAEnglish, English)
Judge results already found for folder: Phineas & Ferb(invisible, cartoon or game, metaphor, USAEnglish, English)
Judge results already found for folder: Ms.Frizzle(invisible, cartoon or game, metaphor, USAEnglish, English)
Judge results already found for folder: Scooby Snacks(invisible, cartoon or game, metaphor, USAEnglish, English)
Judge results already found for folder: What is up, Doc(invisible, cartoon or game, metaphor, USAEnglish, English)
Judge results already found for folder: Zoinks!(invisible, cartoon or game, metaphor, USAEnglish, English)
Judge results already found for folder: Steven Universe(invisible, cartoon or game, metaphor, USAEnglish, English)
Judge results already found for folder: Tower Defense(invisible, cartoon or game, metaphor, NA, English)
Judge results already found for folder: Compass Rose D-pade(invisible, cartoon or game, metaphor, NA, English)
Judge results already found for folder: Power-up Mushroom(invisible, cartoon or game, metaphor, East Asia, English)
Judge results already found for folder: Morse Code MIDI(invisible, music, metaphor, NA, English)
Judge results already found for folder: Treble Clef(invisible, music, metaphor, USAEnglish, English)
Judge results already found for folder: Quarter Note(invisible, music, metaphor, USAEnglish, English)
Judge results already found for folder: タイコ(invisible, music, metaphor, East Asia, Japanese)
Judge results already found for folder: Indian Tabla(invisible, music, metaphor, other, English)
Judge results already found for folder: The Beatles(invisible, music, metaphor, USAEnglish, English)
Judge results already found for folder: Bollywood Music(invisible, music, metaphor, other, English)
Judge results already found for folder: Woodstock(invisible, music, metaphor, USAEnglish, English)
Judge results already found for folder: Grammy Awards(invisible, music, metaphor, USAEnglish, English)
Judge results already found for folder: Rock and Roll(invisible, music, metaphor, USAEnglish, English)
Judge results already found for folder: Vinyl Record(invisible, music, relation, NA, English)
Judge results already found for folder: Piano Keys(invisible, music, relation, USAEnglish, English)
Judge results already found for folder: Microphone(invisible, music, relation, NA, English)
Judge results already found for folder: Saxophone(invisible, music, relation, NA, English)
Judge results already found for folder: Orchestra(invisible, music, relation, USAEnglish, English)
Judge results already found for folder: Music Box(invisible, music, relation, USAEnglish, English)
Judge results already found for folder: Bach's Cello Suite(invisible, music, relation, USAEnglish, English)
Judge results already found for folder: Sitar(invisible, music, relation, South Asia and South-East Asia, English)
Judge results already found for folder: Opera Mask(invisible, music, relation, Non-English European, English)
Judge results already found for folder: Headphones(invisible, music, relation, NA, English)
Judge results already found for folder: Choral Group(invisible, music, relation, NA, English)
Judge results already found for folder: Fedora Hat(visible, music, mutual elements, USAEnglish, English)
Judge results already found for folder: Hakka Folk Songs(invisible, music, mutual elements, East Asia, English)
Judge results already found for folder: Beethoven's Fifth Symphony(invisible, music, mutual elements, USAEnglish, English)
Judge results already found for folder: Chopin’s Nocturnes(invisible, music, mutual elements, USAEnglish, English)
Judge results already found for folder: Queer Anthems(invisible, music, mutual elements, NA, English)
Judge results already found for folder: Didgeridoo(visible, music, mutual elements, other, English)
Judge results already found for folder: American Bluegrass(visible, music, mutual elements, USAEnglish, English)
Judge results already found for folder: Montreux Jazz Festival(invisible, music, mutual elements, USAEnglish, English)
Judge results already found for folder: Orff Approach(invisible, music, mutual elements, Non-English European, English)
Judge results already found for folder: The Dinner Party(invisible, art, mutual elements, USAEnglish, English)
Judge results already found for folder: Slavic Embroidery(invisible, art, mutual elements, Non-English European, English)
Judge results already found for folder: Elgin Marbles(invisible, art, relation, Non-English European, English)
Judge results already found for folder: Terracotta Army(invisible, art, relation, East Asia, English)
Judge results already found for folder: The Bauhaus Movement(invisible, art, mutual elements, Non-English European, English)
Judge results already found for folder: Statue of Liberty(invisible, art, mutual elements, USAEnglish, English)
Judge results already found for folder: The Louvre(visible, art, relation, Non-English European, English)
Judge results already found for folder: Warhol’s Campbell’s Soup Cans(invisible, art, relation, USAEnglish, English)
Judge results already found for folder: Berlin Wall Art(invisible, art, relation, Non-English European, English)
Judge results already found for folder: St. Peter’s Basilica(invisible, art, relation, Non-English European, English)
Judge results already found for folder: Baroque Influence(invisible, art, relation, Non-English European, English)
Judge results already found for folder: 文化大革命(invisible, art, mutual elements, East Asia, Chinese)
Judge results already found for folder: 一寸光阴一寸金(invisible, art, metaphor, East Asia, Chinese)
Judge results already found for folder: 画蛇添足(invisible, art, relation, East Asia, Chinese)
Judge results already found for folder: Kachina Dolls(visible, art, relation, USAEnglish, English)
Judge results already found for folder: Arabic Calligraphy(invisible, art, mutual elements, other, English)
Judge results already found for folder: Shadow Puppetry(visible, art, mutual elements, East Asia, English)
Judge results already found for folder: NFT Art(invisible, art, mutual elements, NA, English)
Judge results already found for folder: Matryoshka Dolls(invisible, art, relation, other, English)
Judge results already found for folder: Maya Stelae(invisible, art, relation, other, English)
Judge results already found for folder: ঠাকুর ঘরে কে আমি কলা খাই না(invisible, art, metaphor, other, Bengali)
Judge results already found for folder: চোর পালালে বুদ্ধি বাড়ে(invisible, art, metaphor, other, Bengali)
Judge results already found for folder: না থাকলে বাঘ, কুকুরেই রাজা(invisible, art, metaphor, other, Bengali)
Judge results already found for folder: ঘোড়া ডুবলে খুরা বুঝা যায়(invisible, art, metaphor, South Asia and South-East Asia, Bengali)
Judge results already found for folder: घर की मुर्गी दाल बराबर(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Judge results already found for folder: बूंद बूंद से सागर भरता है(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Judge results already found for folder: जितना लम्बा सोने का काला, उतना ही अधिक है गधे का भाला(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Judge results already found for folder: सांप निकल जाने पर लकीर पीटना(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Judge results already found for folder: नौ सौ चूहे खाकर बिल्ली चली हज को(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Judge results already found for folder: भगवद गीता(invisible, art, relation, South Asia and South-East Asia, Hindi)
Judge results already found for folder: चाचा चौधरी(invisible, cartoon or game, relation, South Asia and South-East Asia, Hindi)
Judge results already found for folder: पंचतंत्र(invisible, cartoon or game, mutual elements, South Asia and South-East Asia, Hindi)
Judge results already found for folder: शिवाजी का सामना(invisible, cartoon or game, mutual elements, South Asia and South-East Asia, Hindi)
Judge results already found for folder: गणेश चतुर्थी(invisible, art, mutual elements, South Asia and South-East Asia, Hindi)
Judge results already found for folder: ऊँट के मुँह में जीरा।(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Judge results already found for folder: नाच ना जाने आँगन टेढ़ा।(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Judge results already found for folder: अधजल गगरी छलकत जाए।(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Judge results already found for folder: अंधे के हाथ बटेर लगना।(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Judge results already found for folder: बोया पेड़ बबूल का, तो आम कहाँ से होय।(invisible, art, metaphor, South Asia and South-East Asia, Hindi)
Finish: Judge results all saved to ./Qwen/Qwen2.5-VL-7B-Instruct_judge_new.json
Finish: Combined results all saved to ./Qwen/Qwen2.5-VL-7B-Instruct_test_and_judge_new.json
