Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English)
Skipping already processed folder: Hollywood Golden Age(visible, movie, relation, USAEnglish, English)
Skipping already processed folder: Titanic(visible, movie, metaphor, USAEnglish, English)
Skipping already processed folder: Horror(visible, movie, mutual elements, NA, English)
Skipping already processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English)
Skipping already processed folder: cinema(invisible, movie, mutual elements, NA, English)
Skipping already processed folder: Frozen(visible, movie, relation, USAEnglish, English)
Skipping already processed folder: Making movie(invisible, movie, mutual elements, NA, English)
Skipping already processed folder: Jurassic Park(invisible, movie, relation, USAEnglish, English)
Skipping already processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English)
Skipping already processed folder: Cannes Film Festival and Cinéma vérité(invisible, movie, metaphor, Non-English European, English)
Skipping already processed folder: Film Post-Production(visible, movie, mutual elements, NA, English)
Skipping already processed folder: Japanese cartoon(invisible, cartoon or game, mutual elements, East Asia, English)
Skipping already processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English)
Skipping already processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Minecraft(invisible, cartoon or game, relation, NA, English)
Skipping already processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English)
Skipping already processed folder: Mario(invisible, cartoon or game, relation, East Asia, English)
Skipping already processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English)
Skipping already processed folder: Controller(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Multiplayer(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Role-Play Game(RPG)(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Stardew Valley(invisible, cartoon or game, relation, NA, English)
Skipping already processed folder: World-building game(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Beethoven(invisible, music, relation, Non-English European, English)
Skipping already processed folder: Rock Music(invisible, music, mutual elements, NA, English)
Skipping already processed folder: Hip hop music(invisible, music, metaphor, NA, English)
Skipping already processed folder: Grand Piano(invisible, music, relation, NA, English)
Skipping already processed folder: String and Spectrum(invisible, music, relation, NA, English)
Skipping already processed folder: Trumpet(invisible, music, meatphor, NA, English)
Skipping already processed folder: Rock Music and Electric Instruments(invisible, music, relation, NA, English)
Skipping already processed folder: K-pop(invisible, music, mutual elements, East Asia, English)
Skipping already processed folder: Tango(invisible, music, metaphor, USAEnglish, English)
Skipping already processed folder: El Niño(invisible, phenomenon, relation, NA, English)
Skipping already processed folder: Nuclear Fission(invisible, phenomenon, mutual elements, NA, English)
Skipping already processed folder: Ocean Tides(invisible, phenomenon, relation, NA, English)
Skipping already processed folder: Glacier Melting(invisible, phenomenon, relation, NA, English)
Skipping already processed folder: Superconductivity(invisible, phenomenon, mutual elements, NA, English)
Skipping already processed folder: Hurricane(invisible, phenomenon, metaphor, NA, English)
Skipping already processed folder: Halo Effect(invisible, phenomenon, relation, NA, English)
Skipping already processed folder: Reality TV(invisible, phenomenon, mutual elements, NA, English)
Skipping already processed folder: Podcast Boom(invisible, phenomenon, metaphor, NA, English)
Skipping already processed folder: The Space Race(invisible, phenomenon, relation, NA, English)
Skipping already processed folder: Cognitive Dissonance(invisible, phenomenon, metaphor, NA, English)
Skipping already processed folder: The Gold Rush(invisible, phenomenon, metaphor, USAEnglish, English)
Skipping already processed folder: Le Petit Prince(invisible, art, relation, Latin American, French)
Skipping already processed folder: Victor Hugo(invisible, art, relation, Latin American, French)
Skipping already processed folder: Les Misérables(invisible, art, relation, Latin American, French)
Skipping already processed folder: Madame Bovary(invisible, art, relation, Latin American, French)
Skipping already processed folder: Les Fleurs du mal(invisible, art, relation, Latin American, French)
Skipping already processed folder: Germinal(invisible, art, relation, Latin American, French)
Skipping already processed folder: La Peste(invisible, art, relation, Latin American, French)
Skipping already processed folder: Chercher la petite bête(invisible, art, relation, Latin American, French)
Skipping already processed folder: Raconter des salades(invisible, art, relation, Latin American, French)
Skipping already processed folder: Avoir un coup de foudre(invisible, art, relation, Latin American, French)
Skipping already processed folder: Don Quijote de la Mancha(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: Cien años de soledad(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: La Casa de los Espíritus(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: El amor en los tiempos del cólera(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: La sombra del viento(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: Pedro Páramo(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: ¡Es un pez gordo(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: Dar en el clavo(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: Echar leña al fuego(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: Pedir peras al olmo(invisible, art, relation, Latin American, Spanish)
Skipping already processed folder: Faust(invisible, art, relation, Latin American, German)
Skipping already processed folder: Der Prozess(invisible, art, relation, Latin American, German)
Skipping already processed folder: Die Verwandlung(invisible, art, relation, Latin American, German)
Skipping already processed folder: Die Räuber(invisible, art, relation, Latin American, German)
Skipping already processed folder: Der Steppenwolf(invisible, art, relation, Latin American, German)
Skipping already processed folder: Nibelungenlied(invisible, art, relation, Latin American, German)
Skipping already processed folder: Ich verstehe nur Bahnhof(invisible, art, relation, Latin American, German)
Skipping already processed folder: Die Katze im Sack kaufen(invisible, art, relation, Latin American, German)
Skipping already processed folder: Hals- und Beinbruch(invisible, art, relation, Latin American, German)
Skipping already processed folder: Kopf in den Sand stecken(invisible, art, relation, Latin American, German)
Results saved to D:\python\single_test_judge\InnovativeVolunteersHub-Week1Collection-lny\yi-vision_results.json
