Judge results for folder Sports Bar(visible, sports, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder Chinese Cured Meats(visible, food, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Julbord(visible, food, metaphor, Non-English European, English), judgeid 1 updated.
Judge results for folder Julbord(visible, food, metaphor, Non-English European, English), judgeid 2 updated.
Judge results for folder Julbord(visible, food, metaphor, Non-English European, English), judgeid 3 updated.
Judge results for folder Julbord(visible, food, metaphor, Non-English European, English), judgeid 4 updated.
Judge results for folder Julbord(visible, food, metaphor, Non-English European, English), judgeid 5 updated.
Judge results for folder Merienda(visible, food, metaphor, Non-English European, English), judgeid 1 updated.
Judge results for folder Merienda(visible, food, metaphor, Non-English European, English), judgeid 2 updated.
Judge results for folder Merienda(visible, food, metaphor, Non-English European, English), judgeid 3 updated.
Judge results for folder Merienda(visible, food, metaphor, Non-English European, English), judgeid 4 updated.
Judge results for folder Merienda(visible, food, metaphor, Non-English European, English), judgeid 5 updated.
Judge results for folder Biergarten culture(visible, food, relation, Non-English European, English), judgeid 1 updated.
Judge results for folder Biergarten culture(visible, food, relation, Non-English European, English), judgeid 2 updated.
Judge results for folder Biergarten culture(visible, food, relation, Non-English European, English), judgeid 3 updated.
Judge results for folder Biergarten culture(visible, food, relation, Non-English European, English), judgeid 4 updated.
Judge results for folder Biergarten culture(visible, food, relation, Non-English European, English), judgeid 5 updated.
Judge results for folder Aperitivo hour(visible, food, metaphor, Non-English European, English), judgeid 1 updated.
Judge results for folder Aperitivo hour(visible, food, metaphor, Non-English European, English), judgeid 2 updated.
Judge results for folder Aperitivo hour(visible, food, metaphor, Non-English European, English), judgeid 3 updated.
Judge results for folder Aperitivo hour(visible, food, metaphor, Non-English European, English), judgeid 4 updated.
Judge results for folder Aperitivo hour(visible, food, metaphor, Non-English European, English), judgeid 5 updated.
Judge results for folder Aperitivo hour(visible, food, metaphor, Non-English European, English), judgeid 6 updated.
Judge results for folder Aperitivo hour(visible, food, metaphor, Non-English European, English), judgeid 7 updated.
Judge results for folder Golden arches(visible, food, metaphor, USAEnglish, English), judgeid 1 updated.
Judge results for folder Golden arches(visible, food, metaphor, USAEnglish, English), judgeid 2 updated.
Judge results for folder Golden arches(visible, food, metaphor, USAEnglish, English), judgeid 3 updated.
Judge results for folder Golden arches(visible, food, metaphor, USAEnglish, English), judgeid 4 updated.
Judge results for folder Golden arches(visible, food, metaphor, USAEnglish, English), judgeid 5 updated.
Judge results for folder Hot dog cart(visible, food, metaphor, USAEnglish, English), judgeid 1 updated.
Judge results for folder Hot dog cart(visible, food, metaphor, USAEnglish, English), judgeid 2 updated.
Judge results for folder Hot dog cart(visible, food, metaphor, USAEnglish, English), judgeid 3 updated.
Judge results for folder Hot dog cart(visible, food, metaphor, USAEnglish, English), judgeid 4 updated.
Judge results for folder Hot dog cart(visible, food, metaphor, USAEnglish, English), judgeid 5 updated.
Judge results for folder Slow cooker revolution(invisible, food, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder Slow cooker revolution(invisible, food, relation, USAEnglish, English), judgeid 2 updated.
Judge results for folder Slow cooker revolution(invisible, food, relation, USAEnglish, English), judgeid 3 updated.
Judge results for folder Jewish delis(visible, food, metaphor, USAEnglish, English), judgeid 1 updated.
Judge results for folder Jewish delis(visible, food, metaphor, USAEnglish, English), judgeid 2 updated.
Judge results for folder Jewish delis(visible, food, metaphor, USAEnglish, English), judgeid 3 updated.
Judge results for folder Jewish delis(visible, food, metaphor, USAEnglish, English), judgeid 4 updated.
Judge results for folder Jewish delis(visible, food, metaphor, USAEnglish, English), judgeid 5 updated.
Judge results for folder Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), judgeid 1 updated.
Judge results for folder Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), judgeid 2 updated.
Judge results for folder Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), judgeid 3 updated.
Judge results for folder Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), judgeid 4 updated.
Judge results for folder Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), judgeid 5 updated.
Judge results for folder Berber bread(visible, food, relation, other, English), judgeid 1 updated.
Judge results for folder Berber bread(visible, food, relation, other, English), judgeid 2 updated.
Judge results for folder Berber bread(visible, food, relation, other, English), judgeid 3 updated.
Judge results for folder Kola nut rituals(visible, food, metaphor, other, English), judgeid 1 updated.
Judge results for folder Kola nut rituals(visible, food, metaphor, other, English), judgeid 2 updated.
Judge results for folder Kola nut rituals(visible, food, metaphor, other, English), judgeid 3 updated.
Judge results for folder Potjiekos cooking(visible, food, metaphor, other, English), judgeid 1 updated.
Judge results for folder Potjiekos cooking(visible, food, metaphor, other, English), judgeid 2 updated.
Judge results for folder Potjiekos cooking(visible, food, metaphor, other, English), judgeid 3 updated.
Judge results for folder Potjiekos cooking(visible, food, metaphor, other, English), judgeid 4 updated.
Judge results for folder Potjiekos cooking(visible, food, metaphor, other, English), judgeid 5 updated.
Judge results for folder Compass drawing(visible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Compass drawing(visible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Compass drawing(visible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Compass drawing(visible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Compass drawing(visible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Golden Ratio(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder Golden Ratio(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder Golden Ratio(visible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder Golden Ratio(visible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder Golden Ratio(visible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder Golden Ratio(visible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder Golden Ratio(visible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder Mirror reflection(visible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Mirror reflection(visible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Mirror reflection(visible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Mirror reflection(visible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Mirror reflection(visible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Pascal's triangle(visible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Pascal's triangle(visible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Pascal's triangle(visible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Pascal's triangle(visible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Pascal's triangle(visible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Prime Numbers(invisible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder Prime Numbers(invisible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder Prime Numbers(invisible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder Null set(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder Null set(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder Null set(visible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder Null set(visible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder Null set(visible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder Null set(visible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder Null set(visible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder Null set(visible, STEM, relation, NA, English), judgeid 8 updated.
Judge results for folder Asymptotes(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder Asymptotes(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder Asymptotes(visible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder Asymptotes(visible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder Asymptotes(visible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder Imaginary unit(visible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Square roots(visible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Square roots(visible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Square roots(visible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Square roots(visible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Square roots(visible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Modular arithmetic(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder Modular arithmetic(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder Euclid's Elements(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Euclid's Elements(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Euclid's Elements(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Euclid's Elements(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Euclid's Elements(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Mobius Strip(visible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Mobius Strip(visible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Mobius Strip(visible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Bobsleigh(visible, sports, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Bobsleigh(visible, sports, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Bobsleigh(visible, sports, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Bobsleigh(visible, sports, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Bobsleigh(visible, sports, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Bobsleigh(visible, sports, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Bobsleigh(visible, sports, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Bobsleigh(visible, sports, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Phoenix(visible, myth, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Phoenix(visible, myth, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Phoenix(visible, myth, mutual elements, Non-English European, English), judgeid 3 updated.
Judge results for folder Phoenix(visible, myth, mutual elements, Non-English European, English), judgeid 4 updated.
Judge results for folder Phoenix(visible, myth, mutual elements, Non-English European, English), judgeid 5 updated.
Judge results for folder The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), judgeid 1 updated.
Judge results for folder The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), judgeid 2 updated.
Judge results for folder The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), judgeid 3 updated.
Judge results for folder The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), judgeid 4 updated.
Judge results for folder The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), judgeid 5 updated.
Judge results for folder Sun Wukong(visible, myth, metaphor, East Asia, English), judgeid 1 updated.
Judge results for folder Sun Wukong(visible, myth, metaphor, East Asia, English), judgeid 2 updated.
Judge results for folder Sun Wukong(visible, myth, metaphor, East Asia, English), judgeid 3 updated.
Judge results for folder Sun Wukong(visible, myth, metaphor, East Asia, English), judgeid 4 updated.
Judge results for folder Sun Wukong(visible, myth, metaphor, East Asia, English), judgeid 5 updated.
Judge results for folder Sun Wukong(visible, myth, metaphor, East Asia, English), judgeid 6 updated.
Judge results for folder Sun Wukong(visible, myth, metaphor, East Asia, English), judgeid 7 updated.
Judge results for folder Windmill(visible, stuff, relation, Non-English European, English), judgeid 1 updated.
Judge results for folder Windmill(visible, stuff, relation, Non-English European, English), judgeid 2 updated.
Judge results for folder Windmill(visible, stuff, relation, Non-English European, English), judgeid 3 updated.
Judge results for folder Windmill(visible, stuff, relation, Non-English European, English), judgeid 4 updated.
Judge results for folder Windmill(visible, stuff, relation, Non-English European, English), judgeid 5 updated.
Judge results for folder Hollywood(visible, stuff, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Hollywood(visible, stuff, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Hollywood(visible, stuff, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Hollywood(visible, stuff, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Hollywood(visible, stuff, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder The White House(visible, stuff, metaphor, USAEnglish, English), judgeid 1 updated.
Judge results for folder The White House(visible, stuff, metaphor, USAEnglish, English), judgeid 2 updated.
Judge results for folder The White House(visible, stuff, metaphor, USAEnglish, English), judgeid 3 updated.
Judge results for folder The White House(visible, stuff, metaphor, USAEnglish, English), judgeid 4 updated.
Judge results for folder The White House(visible, stuff, metaphor, USAEnglish, English), judgeid 5 updated.
Judge results for folder The Sahara Desert(visible, stuff, metaphor, other, English), judgeid 1 updated.
Judge results for folder The Sahara Desert(visible, stuff, metaphor, other, English), judgeid 2 updated.
Judge results for folder The Sahara Desert(visible, stuff, metaphor, other, English), judgeid 3 updated.
Judge results for folder The Nile River(visible, stuff, relation, other, English), judgeid 1 updated.
Judge results for folder Wildlife(visible, stuff, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Wildlife(visible, stuff, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Wildlife(visible, stuff, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Wildlife(visible, stuff, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Wildlife(visible, stuff, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Confucius(visible, stuff, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Confucius(visible, stuff, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Confucius(visible, stuff, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Confucius(visible, stuff, relation, East Asia, English), judgeid 4 updated.
Judge results for folder Confucius(visible, stuff, relation, East Asia, English), judgeid 5 updated.
Judge results for folder Big Ben(visible, stuff, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Big Ben(visible, stuff, mutual elements, USAEnglish, English), judgeid 2 updated.
Judge results for folder Big Ben(visible, stuff, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Big Ben(visible, stuff, mutual elements, USAEnglish, English), judgeid 4 updated.
Judge results for folder Big Ben(visible, stuff, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), judgeid 1 updated.
Judge results for folder The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), judgeid 2 updated.
Judge results for folder The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), judgeid 3 updated.
Judge results for folder The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), judgeid 4 updated.
Judge results for folder The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), judgeid 5 updated.
Judge results for folder На волка шапка горит(visible, art, relation, NA, Russian), judgeid 1 updated.
Judge results for folder На волка шапка горит(visible, art, relation, NA, Russian), judgeid 2 updated.
Judge results for folder На волка шапка горит(visible, art, relation, NA, Russian), judgeid 3 updated.
Judge results for folder На волка шапка горит(visible, art, relation, NA, Russian), judgeid 4 updated.
Judge results for folder На волка шапка горит(visible, art, relation, NA, Russian), judgeid 5 updated.
Judge results for folder Медведь на ухо наступил(visible, art, relation, NA, Russian), judgeid 1 updated.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 1 updated.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 2 updated.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 3 updated.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 4 updated.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 5 updated.
Judge results for folder Mount Olympus(visible, myth, relation, Non-English European, English), judgeid 1 updated.
Judge results for folder Mount Olympus(visible, myth, relation, Non-English European, English), judgeid 2 updated.
Judge results for folder Mount Olympus(visible, myth, relation, Non-English European, English), judgeid 3 updated.
Judge results for folder Mount Olympus(visible, myth, relation, Non-English European, English), judgeid 4 updated.
Judge results for folder Mount Olympus(visible, myth, relation, Non-English European, English), judgeid 5 updated.
Judge results for folder Gumiho(visible, myth, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Gumiho(visible, myth, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Gumiho(visible, myth, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Chupacabra(visible, myth, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder Chupacabra(visible, myth, relation, USAEnglish, English), judgeid 2 updated.
Judge results for folder Chupacabra(visible, myth, relation, USAEnglish, English), judgeid 3 updated.
Judge results for folder Chupacabra(visible, myth, relation, USAEnglish, English), judgeid 4 updated.
Judge results for folder Chupacabra(visible, myth, relation, USAEnglish, English), judgeid 5 updated.
Judge results for folder Mount Fuji(visible, stuff, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Mount Fuji(visible, stuff, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), judgeid 3 updated.
Judge results for folder Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), judgeid 4 updated.
Judge results for folder Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), judgeid 5 updated.
Judge results for folder Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), judgeid 3 updated.
Judge results for folder Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), judgeid 4 updated.
Judge results for folder Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), judgeid 5 updated.
Judge results for folder Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), judgeid 3 updated.
