Successfully processed folder: Sports Bar(visible, sports, relation, USAEnglish, English), testid: 0
Successfully processed folder: Белка(visible, animal, relation, Non-English European, Russian), testid: 1
Successfully processed folder: Беркут(visible, animal, relation, Non-English European, Russian), testid: 0
Successfully processed folder: Беркут(visible, animal, relation, Non-English European, Russian), testid: 1
Successfully processed folder: Беркут(visible, animal, relation, Non-English European, Russian), testid: 2
Successfully processed folder: Беркут(visible, animal, relation, Non-English European, Russian), testid: 3
Successfully processed folder: Беркут(visible, animal, relation, Non-English European, Russian), testid: 4
Successfully processed folder: Беркут(visible, animal, relation, Non-English European, Russian), testid: 5
Successfully processed folder: حصان عربي(visible, animal, relation, Arabic-Islamic, Arabic), testid: 0
Successfully processed folder: حصان عربي(visible, animal, relation, Arabic-Islamic, Arabic), testid: 1
Successfully processed folder: نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), testid: 0
Successfully processed folder: نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), testid: 1
Successfully processed folder: نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), testid: 2
Successfully processed folder: نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), testid: 3
Successfully processed folder: نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), testid: 4
Successfully processed folder: نمر عربي(visible, animal, relation, Arabic-Islamic, Arabic), testid: 5
Successfully processed folder: British Fox Hunting(visible, animal, relation, USAEnglish, English), testid: 0
Successfully processed folder: British Fox Hunting(visible, animal, relation, USAEnglish, English), testid: 1
Successfully processed folder: British Fox Hunting(visible, animal, relation, USAEnglish, English), testid: 2
Successfully processed folder: British Fox Hunting(visible, animal, relation, USAEnglish, English), testid: 3
Successfully processed folder: British Fox Hunting(visible, animal, relation, USAEnglish, English), testid: 4
Successfully processed folder: British Fox Hunting(visible, animal, relation, USAEnglish, English), testid: 5
Successfully processed folder: British Fox Hunting(visible, animal, relation, USAEnglish, English), testid: 6
Successfully processed folder: British Fox Hunting(visible, animal, relation, USAEnglish, English), testid: 7
Successfully processed folder: Scottish Highland Cattle(visible, animal, relation, USAEnglish, English), testid: 0
Successfully processed folder: Scottish Highland Cattle(visible, animal, relation, USAEnglish, English), testid: 1
Successfully processed folder: Nordic Bear(visible, animal, relation, other, English), testid: 0
Successfully processed folder: Nordic Bear(visible, animal, relation, other, English), testid: 1
Successfully processed folder: Nordic Bear(visible, animal, relation, other, English), testid: 2
Successfully processed folder: Nordic Bear(visible, animal, relation, other, English), testid: 3
Successfully processed folder: Nordic Bear(visible, animal, relation, other, English), testid: 4
Successfully processed folder: Nordic Bear(visible, animal, relation, other, English), testid: 5
Successfully processed folder: White Storks in Poland(visible, animal, relation, Non-English European, English), testid: 0
Successfully processed folder: White Storks in Poland(visible, animal, relation, Non-English European, English), testid: 1
Successfully processed folder: White Storks in Poland(visible, animal, relation, Non-English European, English), testid: 2
Successfully processed folder: White Storks in Poland(visible, animal, relation, Non-English European, English), testid: 3
Successfully processed folder: White Storks in Poland(visible, animal, relation, Non-English European, English), testid: 4
Successfully processed folder: White Storks in Poland(visible, animal, relation, Non-English European, English), testid: 5
Successfully processed folder: Panda(visible, animal, relation, East Asia, English), testid: 0
Successfully processed folder: Panda(visible, animal, relation, East Asia, English), testid: 1
Successfully processed folder: Panda(visible, animal, relation, East Asia, English), testid: 2
Successfully processed folder: Panda(visible, animal, relation, East Asia, English), testid: 3
Successfully processed folder: Panda(visible, animal, relation, East Asia, English), testid: 4
Successfully processed folder: Panda(visible, animal, relation, East Asia, English), testid: 5
Successfully processed folder: Karasu (Crow in Japanese)(visible, animal, relation, East Asia, English), testid: 0
Successfully processed folder: Karasu (Crow in Japanese)(visible, animal, relation, East Asia, English), testid: 1
Successfully processed folder: Karasu (Crow in Japanese)(visible, animal, relation, East Asia, English), testid: 2
Successfully processed folder: Chinese Dragon(visible, animal, relation, East Asia, English), testid: 0
Successfully processed folder: Chinese Dragon(visible, animal, relation, East Asia, English), testid: 1
Successfully processed folder: Chinese Dragon(visible, animal, relation, East Asia, English), testid: 2
Successfully processed folder: Chinese Dragon(visible, animal, relation, East Asia, English), testid: 3
Successfully processed folder: Moraingy(visible, sports, relation, other, English), testid: 0
Successfully processed folder: Moraingy(visible, sports, relation, other, English), testid: 1
Successfully processed folder: Moraingy(visible, sports, relation, other, English), testid: 2
Successfully processed folder: Moraingy(visible, sports, relation, other, English), testid: 3
Successfully processed folder: Maradona 1986(invisible, sports, relation, NA, English), testid: 0
Successfully processed folder: Maradona 1986(invisible, sports, relation, NA, English), testid: 1
Successfully processed folder: Maradona 1986(invisible, sports, relation, NA, English), testid: 2
Successfully processed folder: Maradona 1986(invisible, sports, relation, NA, English), testid: 3
Successfully processed folder: Maradona 1986(invisible, sports, relation, NA, English), testid: 4
Successfully processed folder: Maradona 1986(invisible, sports, relation, NA, English), testid: 5
Successfully processed folder: Phillies home run(visible, sports, relation, USAEnglish, English), testid: 0
Successfully processed folder: Phillies home run(visible, sports, relation, USAEnglish, English), testid: 1
Successfully processed folder: Phillies home run(visible, sports, relation, USAEnglish, English), testid: 2
Successfully processed folder: Phillies home run(visible, sports, relation, USAEnglish, English), testid: 3
Successfully processed folder: Olympic spirit(invisible, sports, relation, NA, English), testid: 0
Successfully processed folder: Olympic spirit(invisible, sports, relation, NA, English), testid: 1
Successfully processed folder: Olympic spirit(invisible, sports, relation, NA, English), testid: 2
Successfully processed folder: Olympic spirit(invisible, sports, relation, NA, English), testid: 3
Successfully processed folder: Olympic spirit(invisible, sports, relation, NA, English), testid: 4
Successfully processed folder: Olympic spirit(invisible, sports, relation, NA, English), testid: 5
Successfully processed folder: Olympic Historic Moments(invisible, sports, relation, NA, English), testid: 0
Successfully processed folder: Olympic Historic Moments(invisible, sports, relation, NA, English), testid: 1
Successfully processed folder: Olympic Historic Moments(invisible, sports, relation, NA, English), testid: 2
Successfully processed folder: Olympic Historic Moments(invisible, sports, relation, NA, English), testid: 3
Successfully processed folder: Olympic Historic Moments(invisible, sports, relation, NA, English), testid: 4
Successfully processed folder: Olympic Historic Moments(invisible, sports, relation, NA, English), testid: 5
Successfully processed folder: Mooncake(visible, food, relation, East Asia, English), testid: 0
Successfully processed folder: Mooncake(visible, food, relation, East Asia, English), testid: 1
Successfully processed folder: Mooncake(visible, food, relation, East Asia, English), testid: 2
Successfully processed folder: Mooncake(visible, food, relation, East Asia, English), testid: 3
Successfully processed folder: Mooncake(visible, food, relation, East Asia, English), testid: 4
Successfully processed folder: Mooncake(visible, food, relation, East Asia, English), testid: 5
Successfully processed folder: longevity noodles(visible, food, relation, East Asia, English), testid: 0
Successfully processed folder: longevity noodles(visible, food, relation, East Asia, English), testid: 1
Successfully processed folder: longevity noodles(visible, food, relation, East Asia, English), testid: 2
Successfully processed folder: Pojangmacha(visible, food, relation, East Asia, English), testid: 0
Successfully processed folder: Pojangmacha(visible, food, relation, East Asia, English), testid: 1
Successfully processed folder: Pojangmacha(visible, food, relation, East Asia, English), testid: 2
Successfully processed folder: Pojangmacha(visible, food, relation, East Asia, English), testid: 3
Successfully processed folder: Pojangmacha(visible, food, relation, East Asia, English), testid: 4
Successfully processed folder: Pojangmacha(visible, food, relation, East Asia, English), testid: 5
Successfully processed folder: Dado(visible, food, relation, East Asia, English), testid: 0
Successfully processed folder: Dado(visible, food, relation, East Asia, English), testid: 1
Successfully processed folder: Dado(visible, food, relation, East Asia, English), testid: 2
Successfully processed folder: Dado(visible, food, relation, East Asia, English), testid: 3
Successfully processed folder: Dado(visible, food, relation, East Asia, English), testid: 4
Successfully processed folder: Dado(visible, food, relation, East Asia, English), testid: 5
Successfully processed folder: Chinese Cured Meats(visible, food, relation, East Asia, English), testid: 0
Successfully processed folder: Chinese Cured Meats(visible, food, relation, East Asia, English), testid: 1
Successfully processed folder: Chinese Cured Meats(visible, food, relation, East Asia, English), testid: 2
Successfully processed folder: Chinese Cured Meats(visible, food, relation, East Asia, English), testid: 3
Successfully processed folder: Julbord(visible, food, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Julbord(visible, food, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Julbord(visible, food, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Julbord(visible, food, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Julbord(visible, food, metaphor, Non-English European, English), testid: 4
Successfully processed folder: Julbord(visible, food, metaphor, Non-English European, English), testid: 5
Successfully processed folder: Merienda(visible, food, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Merienda(visible, food, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Merienda(visible, food, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Merienda(visible, food, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Merienda(visible, food, metaphor, Non-English European, English), testid: 4
Successfully processed folder: Merienda(visible, food, metaphor, Non-English European, English), testid: 5
Successfully processed folder: Biergarten culture(visible, food, relation, Non-English European, English), testid: 0
Successfully processed folder: Biergarten culture(visible, food, relation, Non-English European, English), testid: 1
Successfully processed folder: Biergarten culture(visible, food, relation, Non-English European, English), testid: 2
Successfully processed folder: Biergarten culture(visible, food, relation, Non-English European, English), testid: 3
Successfully processed folder: Biergarten culture(visible, food, relation, Non-English European, English), testid: 4
Successfully processed folder: Biergarten culture(visible, food, relation, Non-English European, English), testid: 5
Successfully processed folder: Aperitivo hour(visible, food, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Aperitivo hour(visible, food, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Aperitivo hour(visible, food, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Aperitivo hour(visible, food, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Aperitivo hour(visible, food, metaphor, Non-English European, English), testid: 4
Successfully processed folder: Aperitivo hour(visible, food, metaphor, Non-English European, English), testid: 5
Successfully processed folder: Aperitivo hour(visible, food, metaphor, Non-English European, English), testid: 6
Successfully processed folder: Aperitivo hour(visible, food, metaphor, Non-English European, English), testid: 7
Successfully processed folder: Golden arches(visible, food, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Golden arches(visible, food, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Golden arches(visible, food, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Golden arches(visible, food, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Golden arches(visible, food, metaphor, USAEnglish, English), testid: 4
Successfully processed folder: Golden arches(visible, food, metaphor, USAEnglish, English), testid: 5
Successfully processed folder: Hot dog cart(visible, food, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Hot dog cart(visible, food, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Hot dog cart(visible, food, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Hot dog cart(visible, food, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Hot dog cart(visible, food, metaphor, USAEnglish, English), testid: 4
Successfully processed folder: Hot dog cart(visible, food, metaphor, USAEnglish, English), testid: 5
Successfully processed folder: Slow cooker revolution(invisible, food, relation, USAEnglish, English), testid: 0
Successfully processed folder: Slow cooker revolution(invisible, food, relation, USAEnglish, English), testid: 1
Successfully processed folder: Slow cooker revolution(invisible, food, relation, USAEnglish, English), testid: 2
Successfully processed folder: Slow cooker revolution(invisible, food, relation, USAEnglish, English), testid: 3
Successfully processed folder: Jewish delis(visible, food, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Jewish delis(visible, food, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Jewish delis(visible, food, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Jewish delis(visible, food, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Jewish delis(visible, food, metaphor, USAEnglish, English), testid: 4
Successfully processed folder: Jewish delis(visible, food, metaphor, USAEnglish, English), testid: 5
Successfully processed folder: Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), testid: 0
Successfully processed folder: Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), testid: 1
Successfully processed folder: Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), testid: 2
Successfully processed folder: Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), testid: 3
Successfully processed folder: Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), testid: 4
Successfully processed folder: Indian hand-eaten meal(visible, food, relation, South Asia and South-East Asia, English), testid: 5
Successfully processed folder: Berber bread(visible, food, relation, other, English), testid: 0
Successfully processed folder: Berber bread(visible, food, relation, other, English), testid: 1
Successfully processed folder: Berber bread(visible, food, relation, other, English), testid: 2
Successfully processed folder: Berber bread(visible, food, relation, other, English), testid: 3
Successfully processed folder: Kola nut rituals(visible, food, metaphor, other, English), testid: 0
Successfully processed folder: Kola nut rituals(visible, food, metaphor, other, English), testid: 1
Successfully processed folder: Kola nut rituals(visible, food, metaphor, other, English), testid: 2
Successfully processed folder: Kola nut rituals(visible, food, metaphor, other, English), testid: 3
Successfully processed folder: Potjiekos cooking(visible, food, metaphor, other, English), testid: 0
Successfully processed folder: Potjiekos cooking(visible, food, metaphor, other, English), testid: 1
Successfully processed folder: Potjiekos cooking(visible, food, metaphor, other, English), testid: 2
Successfully processed folder: Potjiekos cooking(visible, food, metaphor, other, English), testid: 3
Successfully processed folder: Potjiekos cooking(visible, food, metaphor, other, English), testid: 4
Successfully processed folder: Potjiekos cooking(visible, food, metaphor, other, English), testid: 5
Successfully processed folder: Compass drawing(visible, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Compass drawing(visible, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Compass drawing(visible, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Compass drawing(visible, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Compass drawing(visible, STEM, metaphor, NA, English), testid: 4
Successfully processed folder: Compass drawing(visible, STEM, metaphor, NA, English), testid: 5
Successfully processed folder: Golden Ratio(visible, STEM, relation, NA, English), testid: 0
Successfully processed folder: Golden Ratio(visible, STEM, relation, NA, English), testid: 1
Successfully processed folder: Golden Ratio(visible, STEM, relation, NA, English), testid: 2
Successfully processed folder: Golden Ratio(visible, STEM, relation, NA, English), testid: 3
Successfully processed folder: Golden Ratio(visible, STEM, relation, NA, English), testid: 4
Successfully processed folder: Golden Ratio(visible, STEM, relation, NA, English), testid: 5
Successfully processed folder: Golden Ratio(visible, STEM, relation, NA, English), testid: 6
Successfully processed folder: Golden Ratio(visible, STEM, relation, NA, English), testid: 7
Successfully processed folder: Mirror reflection(visible, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Mirror reflection(visible, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Mirror reflection(visible, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Mirror reflection(visible, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Mirror reflection(visible, STEM, metaphor, NA, English), testid: 4
Successfully processed folder: Mirror reflection(visible, STEM, metaphor, NA, English), testid: 5
Successfully processed folder: Pascal's triangle(visible, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Pascal's triangle(visible, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Pascal's triangle(visible, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Pascal's triangle(visible, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Pascal's triangle(visible, STEM, metaphor, NA, English), testid: 4
Successfully processed folder: Pascal's triangle(visible, STEM, metaphor, NA, English), testid: 5
Successfully processed folder: Prime Numbers(invisible, STEM, relation, NA, English), testid: 0
Successfully processed folder: Prime Numbers(invisible, STEM, relation, NA, English), testid: 1
Successfully processed folder: Prime Numbers(invisible, STEM, relation, NA, English), testid: 2
Successfully processed folder: Prime Numbers(invisible, STEM, relation, NA, English), testid: 3
Successfully processed folder: Null set(visible, STEM, relation, NA, English), testid: 0
Successfully processed folder: Null set(visible, STEM, relation, NA, English), testid: 1
Successfully processed folder: Null set(visible, STEM, relation, NA, English), testid: 2
Successfully processed folder: Null set(visible, STEM, relation, NA, English), testid: 3
Successfully processed folder: Null set(visible, STEM, relation, NA, English), testid: 4
Successfully processed folder: Null set(visible, STEM, relation, NA, English), testid: 5
Successfully processed folder: Null set(visible, STEM, relation, NA, English), testid: 6
Successfully processed folder: Null set(visible, STEM, relation, NA, English), testid: 7
Successfully processed folder: Null set(visible, STEM, relation, NA, English), testid: 8
Successfully processed folder: Asymptotes(visible, STEM, relation, NA, English), testid: 0
Successfully processed folder: Asymptotes(visible, STEM, relation, NA, English), testid: 1
Successfully processed folder: Asymptotes(visible, STEM, relation, NA, English), testid: 2
Successfully processed folder: Asymptotes(visible, STEM, relation, NA, English), testid: 3
Successfully processed folder: Asymptotes(visible, STEM, relation, NA, English), testid: 4
Successfully processed folder: Asymptotes(visible, STEM, relation, NA, English), testid: 5
Successfully processed folder: Imaginary unit(visible, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Imaginary unit(visible, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Square roots(visible, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Square roots(visible, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Square roots(visible, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Square roots(visible, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Square roots(visible, STEM, metaphor, NA, English), testid: 4
Successfully processed folder: Square roots(visible, STEM, metaphor, NA, English), testid: 5
Successfully processed folder: Modular arithmetic(visible, STEM, relation, NA, English), testid: 0
Successfully processed folder: Modular arithmetic(visible, STEM, relation, NA, English), testid: 1
Successfully processed folder: Modular arithmetic(visible, STEM, relation, NA, English), testid: 2
Successfully processed folder: Euclid's Elements(invisible, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Euclid's Elements(invisible, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Euclid's Elements(invisible, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Euclid's Elements(invisible, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Euclid's Elements(invisible, STEM, mutual elements, NA, English), testid: 4
Successfully processed folder: Euclid's Elements(invisible, STEM, mutual elements, NA, English), testid: 5
Successfully processed folder: Mobius Strip(visible, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Mobius Strip(visible, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Mobius Strip(visible, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Mobius Strip(visible, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Bobsleigh(visible, sports, mutual elements, NA, English), testid: 0
Successfully processed folder: Bobsleigh(visible, sports, mutual elements, NA, English), testid: 1
Successfully processed folder: Bobsleigh(visible, sports, mutual elements, NA, English), testid: 2
Successfully processed folder: Bobsleigh(visible, sports, mutual elements, NA, English), testid: 3
Successfully processed folder: Bobsleigh(visible, sports, mutual elements, NA, English), testid: 4
Successfully processed folder: Bobsleigh(visible, sports, mutual elements, NA, English), testid: 5
Successfully processed folder: Bobsleigh(visible, sports, mutual elements, NA, English), testid: 6
Successfully processed folder: Bobsleigh(visible, sports, mutual elements, NA, English), testid: 7
Successfully processed folder: Bobsleigh(visible, sports, mutual elements, NA, English), testid: 8
Successfully processed folder: Phoenix(visible, myth, mutual elements, Non-English European, English), testid: 0
Successfully processed folder: Phoenix(visible, myth, mutual elements, Non-English European, English), testid: 1
Successfully processed folder: Phoenix(visible, myth, mutual elements, Non-English European, English), testid: 2
Successfully processed folder: Phoenix(visible, myth, mutual elements, Non-English European, English), testid: 3
Successfully processed folder: Phoenix(visible, myth, mutual elements, Non-English European, English), testid: 4
Successfully processed folder: Phoenix(visible, myth, mutual elements, Non-English European, English), testid: 5
Successfully processed folder: The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), testid: 0
Successfully processed folder: The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), testid: 1
Successfully processed folder: The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), testid: 2
Successfully processed folder: The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), testid: 3
Successfully processed folder: The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), testid: 4
Successfully processed folder: The Classic of Mountains and Seas(visible, myth, mutual elements, East Asia, English), testid: 5
Successfully processed folder: Sun Wukong(visible, myth, metaphor, East Asia, English), testid: 0
Successfully processed folder: Sun Wukong(visible, myth, metaphor, East Asia, English), testid: 1
Successfully processed folder: Sun Wukong(visible, myth, metaphor, East Asia, English), testid: 2
Successfully processed folder: Sun Wukong(visible, myth, metaphor, East Asia, English), testid: 3
Successfully processed folder: Sun Wukong(visible, myth, metaphor, East Asia, English), testid: 4
Successfully processed folder: Sun Wukong(visible, myth, metaphor, East Asia, English), testid: 5
Successfully processed folder: Sun Wukong(visible, myth, metaphor, East Asia, English), testid: 6
Successfully processed folder: Sun Wukong(visible, myth, metaphor, East Asia, English), testid: 7
Successfully processed folder: Windmill(visible, stuff, relation, Non-English European, English), testid: 0
Successfully processed folder: Windmill(visible, stuff, relation, Non-English European, English), testid: 1
Successfully processed folder: Windmill(visible, stuff, relation, Non-English European, English), testid: 2
Successfully processed folder: Windmill(visible, stuff, relation, Non-English European, English), testid: 3
Successfully processed folder: Windmill(visible, stuff, relation, Non-English European, English), testid: 4
Successfully processed folder: Windmill(visible, stuff, relation, Non-English European, English), testid: 5
Successfully processed folder: Hollywood(visible, stuff, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Hollywood(visible, stuff, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Hollywood(visible, stuff, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Hollywood(visible, stuff, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Hollywood(visible, stuff, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Hollywood(visible, stuff, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: The White House(visible, stuff, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: The White House(visible, stuff, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: The White House(visible, stuff, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: The White House(visible, stuff, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: The White House(visible, stuff, metaphor, USAEnglish, English), testid: 4
Successfully processed folder: The White House(visible, stuff, metaphor, USAEnglish, English), testid: 5
Successfully processed folder: The Sahara Desert(visible, stuff, metaphor, other, English), testid: 0
Successfully processed folder: The Sahara Desert(visible, stuff, metaphor, other, English), testid: 1
Successfully processed folder: The Sahara Desert(visible, stuff, metaphor, other, English), testid: 2
Successfully processed folder: The Sahara Desert(visible, stuff, metaphor, other, English), testid: 3
Successfully processed folder: The Nile River(visible, stuff, relation, other, English), testid: 0
Successfully processed folder: The Nile River(visible, stuff, relation, other, English), testid: 1
Successfully processed folder: Wildlife(visible, stuff, mutual elements, NA, English), testid: 0
Successfully processed folder: Wildlife(visible, stuff, mutual elements, NA, English), testid: 1
Successfully processed folder: Wildlife(visible, stuff, mutual elements, NA, English), testid: 2
Successfully processed folder: Wildlife(visible, stuff, mutual elements, NA, English), testid: 3
Successfully processed folder: Wildlife(visible, stuff, mutual elements, NA, English), testid: 4
Successfully processed folder: Wildlife(visible, stuff, mutual elements, NA, English), testid: 5
Successfully processed folder: Confucius(visible, stuff, relation, East Asia, English), testid: 0
Successfully processed folder: Confucius(visible, stuff, relation, East Asia, English), testid: 1
Successfully processed folder: Confucius(visible, stuff, relation, East Asia, English), testid: 2
Successfully processed folder: Confucius(visible, stuff, relation, East Asia, English), testid: 3
Successfully processed folder: Confucius(visible, stuff, relation, East Asia, English), testid: 4
Successfully processed folder: Confucius(visible, stuff, relation, East Asia, English), testid: 5
Successfully processed folder: Big Ben(visible, stuff, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Big Ben(visible, stuff, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Big Ben(visible, stuff, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Big Ben(visible, stuff, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Big Ben(visible, stuff, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Big Ben(visible, stuff, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), testid: 0
Successfully processed folder: The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), testid: 1
Successfully processed folder: The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), testid: 2
Successfully processed folder: The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), testid: 3
Successfully processed folder: The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), testid: 4
Successfully processed folder: The Eiffel Tower(visible, stuff, metaphor, Non-English European, English), testid: 5
Successfully processed folder: На волка шапка горит(visible, art, relation, NA, Russian), testid: 0
Successfully processed folder: На волка шапка горит(visible, art, relation, NA, Russian), testid: 1
